"","group","ASV"
"1","February_ColaDeBallena","ASV_26"
"2","February_ColaDeBallena","ASV_55"
"3","February_ColaDeBallena","ASV_67"
"4","February_ColaDeBallena","ASV_82"
"5","February_ColaDeBallena","ASV_110"
"6","February_ColaDeBallena","ASV_195"
"7","February_ColaDeBallena","ASV_249"
"8","February_ColaDeBallena","ASV_312"
"9","February_ColaDeBallena","ASV_429"
"10","February_ColaDeBallena","ASV_603"
"11","February_ColaDeBallena","ASV_659"
"12","February_ColaDeBallena","ASV_664"
"13","February_ColaDeBallena","ASV_707"
"14","February_ColaDeBallena","ASV_713"
"15","February_ColaDeBallena","ASV_748"
"16","February_ColaDeBallena","ASV_786"
"17","February_ColaDeBallena","ASV_811"
"18","February_ColaDeBallena","ASV_1012"
"19","February_ColaDeBallena","ASV_1041"
"20","February_ColaDeBallena","ASV_1047"
"21","February_ColaDeBallena","ASV_1062"
"22","February_ColaDeBallena","ASV_1096"
"23","February_ColaDeBallena","ASV_1155"
"24","February_ColaDeBallena","ASV_1180"
"25","February_ColaDeBallena","ASV_1204"
"26","February_ColaDeBallena","ASV_1268"
"27","February_ColaDeBallena","ASV_1313"
"28","February_ColaDeBallena","ASV_1365"
"29","February_ColaDeBallena","ASV_1368"
"30","February_ColaDeBallena","ASV_1501"
"31","February_ColaDeBallena","ASV_1509"
"32","February_ColaDeBallena","ASV_1620"
"33","February_ColaDeBallena","ASV_1622"
"34","February_ColaDeBallena","ASV_1652"
"35","February_ColaDeBallena","ASV_1823"
"36","February_ColaDeBallena","ASV_1846"
"37","February_ColaDeBallena","ASV_2050"
"38","February_ColaDeBallena","ASV_2109"
"39","February_ColaDeBallena","ASV_2184"
"40","February_ColaDeBallena","ASV_2225"
"41","February_ColaDeBallena","ASV_2228"
"42","February_ColaDeBallena","ASV_2255"
"43","February_ColaDeBallena","ASV_2269"
"44","February_ColaDeBallena","ASV_2330"
"45","February_ColaDeBallena","ASV_2473"
"46","February_ColaDeBallena","ASV_2528"
"47","February_ColaDeBallena","ASV_2541"
"48","February_ColaDeBallena","ASV_2609"
"49","February_ColaDeBallena","ASV_2665"
"50","February_ColaDeBallena","ASV_2681"
"51","February_ColaDeBallena","ASV_2700"
"52","February_ColaDeBallena","ASV_2715"
"53","February_ColaDeBallena","ASV_2769"
"54","February_ColaDeBallena","ASV_2926"
"55","February_ColaDeBallena","ASV_2932"
"56","February_ColaDeBallena","ASV_2958"
"57","February_ColaDeBallena","ASV_2967"
"58","February_ColaDeBallena","ASV_3004"
"59","February_ColaDeBallena","ASV_3044"
"60","February_ColaDeBallena","ASV_3062"
"61","February_ColaDeBallena","ASV_3163"
"62","February_ColaDeBallena","ASV_3178"
"63","February_ColaDeBallena","ASV_3198"
"64","February_ColaDeBallena","ASV_3237"
"65","February_ColaDeBallena","ASV_3310"
"66","February_ColaDeBallena","ASV_3378"
"67","February_ColaDeBallena","ASV_3445"
"68","February_ColaDeBallena","ASV_3447"
"69","February_ColaDeBallena","ASV_3483"
"70","February_ColaDeBallena","ASV_3517"
"71","February_ColaDeBallena","ASV_3531"
"72","February_ColaDeBallena","ASV_3532"
"73","February_ColaDeBallena","ASV_3566"
"74","February_ColaDeBallena","ASV_3589"
"75","February_ColaDeBallena","ASV_3604"
"76","February_ColaDeBallena","ASV_3689"
"77","February_ColaDeBallena","ASV_3706"
"78","February_ColaDeBallena","ASV_3711"
"79","February_ColaDeBallena","ASV_3731"
"80","February_ColaDeBallena","ASV_3742"
"81","February_ColaDeBallena","ASV_3786"
"82","February_ColaDeBallena","ASV_3832"
"83","February_ColaDeBallena","ASV_3847"
"84","February_ColaDeBallena","ASV_3850"
"85","February_ColaDeBallena","ASV_3907"
"86","February_ColaDeBallena","ASV_3911"
"87","February_ColaDeBallena","ASV_3940"
"88","February_ColaDeBallena","ASV_4045"
"89","February_ColaDeBallena","ASV_4057"
"90","February_ColaDeBallena","ASV_4116"
"91","February_ColaDeBallena","ASV_4187"
"92","February_ColaDeBallena","ASV_4282"
"93","February_ColaDeBallena","ASV_4313"
"94","February_ColaDeBallena","ASV_4417"
"95","February_ColaDeBallena","ASV_4439"
"96","February_ColaDeBallena","ASV_4496"
"97","February_ColaDeBallena","ASV_4531"
"98","February_ColaDeBallena","ASV_4564"
"99","February_ColaDeBallena","ASV_4707"
"100","February_ColaDeBallena","ASV_4722"
"101","February_ColaDeBallena","ASV_4733"
"102","February_ColaDeBallena","ASV_4906"
"103","February_ColaDeBallena","ASV_4944"
"104","February_ColaDeBallena","ASV_4948"
"105","February_ColaDeBallena","ASV_4991"
"106","February_ColaDeBallena","ASV_5010"
"107","February_ColaDeBallena","ASV_5058"
"108","February_ColaDeBallena","ASV_5224"
"109","February_ColaDeBallena","ASV_5304"
"110","February_ColaDeBallena","ASV_5396"
"111","February_ColaDeBallena","ASV_5409"
"112","February_ColaDeBallena","ASV_5509"
"113","February_ColaDeBallena","ASV_5513"
"114","February_ColaDeBallena","ASV_5556"
"115","February_ColaDeBallena","ASV_5641"
"116","February_ColaDeBallena","ASV_5652"
"117","February_ColaDeBallena","ASV_5667"
"118","February_ColaDeBallena","ASV_5671"
"119","February_ColaDeBallena","ASV_5707"
"120","February_ColaDeBallena","ASV_5775"
"121","February_ColaDeBallena","ASV_5785"
"122","February_ColaDeBallena","ASV_5817"
"123","February_ColaDeBallena","ASV_5840"
"124","February_ColaDeBallena","ASV_5842"
"125","February_ColaDeBallena","ASV_5856"
"126","February_ColaDeBallena","ASV_5943"
"127","February_ColaDeBallena","ASV_5951"
"128","February_ColaDeBallena","ASV_5991"
"129","February_ColaDeBallena","ASV_6002"
"130","February_ColaDeBallena","ASV_6003"
"131","February_ColaDeBallena","ASV_6004"
"132","February_ColaDeBallena","ASV_6058"
"133","February_ColaDeBallena","ASV_6161"
"134","February_ColaDeBallena","ASV_6203"
"135","February_ColaDeBallena","ASV_6251"
"136","February_ColaDeBallena","ASV_6342"
"137","February_ColaDeBallena","ASV_6391"
"138","February_ColaDeBallena","ASV_6402"
"139","February_ColaDeBallena","ASV_6424"
"140","February_ColaDeBallena","ASV_6441"
"141","February_ColaDeBallena","ASV_6489"
"142","February_ColaDeBallena","ASV_6527"
"143","February_ColaDeBallena","ASV_6535"
"144","February_ColaDeBallena","ASV_6586"
"145","February_ColaDeBallena","ASV_6684"
"146","February_ColaDeBallena","ASV_6706"
"147","February_ColaDeBallena","ASV_6725"
"148","February_ColaDeBallena","ASV_6733"
"149","February_ColaDeBallena","ASV_6741"
"150","February_ColaDeBallena","ASV_6936"
"151","February_ColaDeBallena","ASV_6948"
"152","February_ColaDeBallena","ASV_6997"
"153","February_ColaDeBallena","ASV_7004"
"154","February_ColaDeBallena","ASV_7069"
"155","February_ColaDeBallena","ASV_7083"
"156","February_ColaDeBallena","ASV_7108"
"157","February_ColaDeBallena","ASV_7123"
"158","February_ColaDeBallena","ASV_7144"
"159","February_ColaDeBallena","ASV_7186"
"160","February_ColaDeBallena","ASV_7263"
"161","February_ColaDeBallena","ASV_7328"
"162","February_ColaDeBallena","ASV_7443"
"163","February_ColaDeBallena","ASV_7471"
"164","February_ColaDeBallena","ASV_7484"
"165","February_ColaDeBallena","ASV_7541"
"166","February_ColaDeBallena","ASV_7560"
"167","February_ColaDeBallena","ASV_7724"
"168","February_ColaDeBallena","ASV_7742"
"169","February_ColaDeBallena","ASV_7773"
"170","February_ColaDeBallena","ASV_7782"
"171","February_ColaDeBallena","ASV_7808"
"172","February_ColaDeBallena","ASV_7814"
"173","February_ColaDeBallena","ASV_7897"
"174","February_ColaDeBallena","ASV_7903"
"175","February_ColaDeBallena","ASV_7930"
"176","February_ColaDeBallena","ASV_7953"
"177","February_ColaDeBallena","ASV_7963"
"178","February_ColaDeBallena","ASV_8066"
"179","February_ColaDeBallena","ASV_8146"
"180","February_ColaDeBallena","ASV_8248"
"181","February_ColaDeBallena","ASV_8288"
"182","February_ColaDeBallena","ASV_8289"
"183","February_ColaDeBallena","ASV_8301"
"184","February_ColaDeBallena","ASV_8338"
"185","February_ColaDeBallena","ASV_8340"
"186","February_ColaDeBallena","ASV_8403"
"187","February_ColaDeBallena","ASV_8414"
