"","Counts","Abundance"
"February_ColaDeBallena",69,"7.2%"
"February_EsteroZacatecas",78,"8.1%"
"September_ColaDeBallena",23,"2.4%"
"September_EsteroZacatecas",27,"2.8%"
"February_ColaDeBallena-February_EsteroZacatecas",39,"4%"
"February_ColaDeBallena-September_ColaDeBallena",117,"12.1%"
"February_ColaDeBallena-September_EsteroZacatecas",8,"0.8%"
"February_EsteroZacatecas-September_EsteroZacatecas",192,"19.9%"
"September_ColaDeBallena-September_EsteroZacatecas",31,"3.2%"
"February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena",36,"3.7%"
"February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas",38,"3.9%"
"February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas",57,"5.9%"
"February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas",46,"4.8%"
"February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas",204,"21.1%"
