"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae",0.072463768115942,0.179487179487179,0.391304347826087,0.0740740740740741,0.128205128205128,0.094017094017094,0.375,0.0989583333333333,0.225806451612903,0.0277777777777778,0.0789473684210526,0.12280701754386,0.195652173913043,0.102941176470588
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0.0289855072463768,0.0256410256410256,0.130434782608696,0.037037037037037,0.153846153846154,0.0341880341880342,0,0.0572916666666667,0.0645161290322581,0.0833333333333333,0.131578947368421,0.0701754385964912,0.108695652173913,0.151960784313725
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae",0.0144927536231884,0.0256410256410256,0.173913043478261,0.037037037037037,0,0.0256410256410256,0,0.046875,0.290322580645161,0,0,0.12280701754386,0.130434782608696,0.0784313725490196
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae",0.130434782608696,0.192307692307692,0,0,0.179487179487179,0.0598290598290598,0,0.0729166666666667,0,0.138888888888889,0.0526315789473684,0,0.0652173913043478,0.0392156862745098
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae",0,0,0,0.37037037037037,0.0256410256410256,0,0.125,0.0104166666666667,0.032258064516129,0,0.0526315789473684,0.0175438596491228,0,0.0343137254901961
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae",0,0.0256410256410256,0,0,0.0256410256410256,0.0512820512820513,0,0.0885416666666667,0,0.0277777777777778,0.105263157894737,0.0350877192982456,0.130434782608696,0.0637254901960784
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae",0.0144927536231884,0.0128205128205128,0,0,0.0512820512820513,0.00854700854700855,0.25,0.0104166666666667,0,0.0277777777777778,0.0789473684210526,0,0,0.0196078431372549
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae",0,0,0.0434782608695652,0.0740740740740741,0,0.0512820512820513,0.125,0.00520833333333333,0,0,0,0.105263157894737,0.0217391304347826,0.0441176470588235
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae",0.0144927536231884,0.0769230769230769,0,0,0,0,0,0.109375,0.032258064516129,0.0277777777777778,0.0263157894736842,0,0.0434782608695652,0.0441176470588235
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae",0,0.0128205128205128,0.0869565217391304,0.0740740740740741,0,0,0,0.015625,0.032258064516129,0,0,0.0701754385964912,0.0434782608695652,0.00980392156862745
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae",0,0.0128205128205128,0,0.037037037037037,0,0.0170940170940171,0.125,0.0364583333333333,0,0,0,0.0175438596491228,0,0.0147058823529412
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae",0,0.0128205128205128,0.0434782608695652,0.037037037037037,0,0,0,0.0104166666666667,0.032258064516129,0,0,0.0350877192982456,0.0434782608695652,0.0147058823529412
