"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__",0.0579710144927536,0.141025641025641,0.130434782608696,0.037037037037037,0.0512820512820513,0.0512820512820513,0.25,0.0364583333333333,0.0967741935483871,0,0,0.0701754385964912,0.0434782608695652,0.0343137254901961
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga",0.0144927536231884,0,0.130434782608696,0.037037037037037,0,0.0256410256410256,0,0.015625,0.225806451612903,0,0,0.0701754385964912,0.0652173913043478,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__",0,0,0.0434782608695652,0.0740740740740741,0,0.0512820512820513,0.125,0.00520833333333333,0,0,0,0.105263157894737,0.0217391304347826,0.0441176470588235
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius",0,0.0128205128205128,0.173913043478261,0.037037037037037,0,0.0341880341880342,0,0.0208333333333333,0.0967741935483871,0,0,0.0175438596491228,0.0434782608695652,0.00980392156862745
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__",0.0144927536231884,0.0128205128205128,0.0434782608695652,0,0.0512820512820513,0.0256410256410256,0,0.015625,0.032258064516129,0,0.0526315789473684,0.0350877192982456,0.0434782608695652,0.053921568627451
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__",0,0,0,0.259259259259259,0.0256410256410256,0,0,0.00520833333333333,0.032258064516129,0,0.0263157894736842,0,0,0.0147058823529412
"k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__",0,0.0256410256410256,0.0434782608695652,0,0,0,0,0.03125,0.0645161290322581,0,0,0.0350877192982456,0.0652173913043478,0.0784313725490196
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Pir4_lineage",0.0144927536231884,0,0,0,0,0,0.25,0,0,0,0.0526315789473684,0,0,0.0147058823529412
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__",0,0,0.0869565217391304,0.0740740740740741,0,0,0,0.015625,0,0,0,0.0526315789473684,0.0434782608695652,0.00980392156862745
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas",0,0.0128205128205128,0,0,0,0.0170940170940171,0,0.0520833333333333,0,0.0277777777777778,0.0263157894736842,0.0350877192982456,0.0869565217391304,0.0196078431372549
