"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0,1,1,""
"V2","All","Chao1","sed_pH",0.0141350698548044,0.9652237417357,1,""
"V3","All","se.chao1","sed_pH",-0.268566327241283,0.398650165089997,1,""
"V4","All","ACE","sed_pH",0.0141350698548044,0.9652237417357,1,""
"V5","All","se.ACE","sed_pH",0.0282701397096088,0.930503034736568,1,""
"V6","All","Shannon","sed_pH",0.12721562869324,0.693588197372695,1,""
"V7","All","Simpson","sed_pH",0.0848104191288263,0.793275590303797,1,""
"V8","All","InvSimpson","sed_pH",0.0848104191288263,0.793275590303797,1,""
"V9","All","Fisher","sed_pH",0,1,1,""
"V10","All","Pielou","sed_pH",0.12721562869324,0.693588197372695,1,""
"V11","All","Coverage","sed_pH",0.0566393860323831,0.861208496256276,1,""
"V12","All","PD","sed_pH",-0.0706753492740219,0.827225546701578,1,""
"V13","All","Observed","sed_EC",0,1,1,""
"V14","All","Chao1","sed_EC",0.0424052095644132,0.895893230569532,1,""
"V15","All","se.chao1","sed_EC",0.12721562869324,0.693588197372695,1,""
"V16","All","ACE","sed_EC",0.0424052095644132,0.895893230569532,1,""
"V17","All","se.ACE","sed_EC",-0.0424052095644132,0.895893230569532,1,""
"V18","All","Shannon","sed_EC",-0.0989454889836307,0.75965199667324,1,""
"V19","All","Simpson","sed_EC",-0.0565402794192176,0.861449282203162,1,""
"V20","All","InvSimpson","sed_EC",-0.0565402794192176,0.861449282203162,1,""
"V21","All","Fisher","sed_EC",0,1,1,""
"V22","All","Pielou","sed_EC",-0.169620838257653,0.598177877167388,1,""
"V23","All","Coverage","sed_EC",-0.198237851113341,0.536823980585864,1,""
"V24","All","PD","sed_EC",0.12721562869324,0.693588197372695,1,""
"V25","All","Observed","sed_OM",0,1,1,""
"V26","All","Chao1","sed_OM",-0.0424052095644132,0.895893230569532,1,""
"V27","All","se.chao1","sed_OM",-0.155485768402848,0.629428153779474,1,""
"V28","All","ACE","sed_OM",-0.0424052095644132,0.895893230569532,1,""
"V29","All","se.ACE","sed_OM",-0.0565402794192176,0.861449282203162,1,""
"V30","All","Shannon","sed_OM",-0.0706753492740219,0.827225546701578,1,""
"V31","All","Simpson","sed_OM",-0.0282701397096088,0.930503034736568,1,""
"V32","All","InvSimpson","sed_OM",-0.0282701397096088,0.930503034736568,1,""
"V33","All","Fisher","sed_OM",0,1,1,""
"V34","All","Pielou","sed_OM",0,1,1,""
"V35","All","Coverage","sed_OM",0.297356776670011,0.347914769451155,1,""
"V36","All","PD","sed_OM",0.0424052095644132,0.895893230569532,1,""
"V37","All","Observed","sed_orgN",0,1,1,""
"V38","All","Chao1","sed_orgN",-0.0424052095644132,0.895893230569532,1,""
"V39","All","se.chao1","sed_orgN",-0.155485768402848,0.629428153779474,1,""
