"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0.615793344976683,0.0330202624976604,0.225923447417772,""
"V2","All","Chao1","sed_pH",0.615793344976683,0.0330202624976604,0.225923447417772,""
"V3","All","se.chao1","sed_pH",0.886141642771325,0.000124116226801178,0.0134045524945272,"*"
"V4","All","ACE","sed_pH",0.615793344976683,0.0330202624976604,0.225923447417772,""
"V5","All","se.ACE","sed_pH",0.630812694854164,0.0278505213984102,0.225923447417772,""
"V6","All","Shannon","sed_pH",0.690890094364084,0.0128514405753641,0.179778778079038,""
"V7","All","Simpson","sed_pH",0.600773995099203,0.038844241963102,0.225923447417772,""
"V8","All","InvSimpson","sed_pH",0.600773995099203,0.038844241963102,0.225923447417772,""
"V9","All","Fisher","sed_pH",0.615793344976683,0.0330202624976604,0.225923447417772,""
"V10","All","Pielou","sed_pH",0.450580496324403,0.141559287849994,0.588015503376898,""
"V11","All","Coverage","sed_pH",-0.856102943016365,0.000379669896139515,0.0205021743915338,"*"
"V12","All","PD","sed_pH",0.675870744486604,0.0158360851287448,0.190033021544938,""
"V13","All","Observed","sed_EC",0.172097185863533,0.592764810295525,0.805457261465065,""
"V14","All","Chao1","sed_EC",0.172097185863533,0.592764810295525,0.805457261465065,""
"V15","All","se.chao1","sed_EC",0.0788778768541191,0.807487777892772,0.863452277350687,""
"V16","All","ACE","sed_EC",0.172097185863533,0.592764810295525,0.805457261465065,""
"V17","All","se.ACE","sed_EC",0.258145778795299,0.417886192325823,0.805457261465065,""
"V18","All","Shannon","sed_EC",0.394389384270595,0.204565127206476,0.656934520330307,""
"V19","All","Simpson","sed_EC",0.68838874345413,0.0133169465243732,0.179778778079038,""
"V20","All","InvSimpson","sed_EC",0.68838874345413,0.0133169465243732,0.179778778079038,""
"V21","All","Fisher","sed_EC",0.172097185863533,0.592764810295525,0.805457261465065,""
"V22","All","Pielou","sed_EC",0.731413039920013,0.00686596359446171,0.179778778079038,""
"V23","All","Coverage","sed_EC",-0.0932193090094135,0.773230416813338,0.843524091069096,""
"V24","All","PD","sed_EC",0.129072889397649,0.68931049982655,0.805457261465065,""
"V25","All","Observed","sed_OM",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V26","All","Chao1","sed_OM",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V27","All","se.chao1","sed_OM",-0.155485768402848,0.629428153779474,0.805457261465065,""
"V28","All","ACE","sed_OM",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V29","All","se.ACE","sed_OM",-0.268566327241283,0.398650165089997,0.797300330179994,""
"V30","All","Shannon","sed_OM",-0.395781955934523,0.202826937488818,0.656934520330307,""
"V31","All","Simpson","sed_OM",-0.593672933901784,0.0418376754477355,0.225923447417772,""
"V32","All","InvSimpson","sed_OM",-0.593672933901784,0.0418376754477355,0.225923447417772,""
"V33","All","Fisher","sed_OM",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V34","All","Pielou","sed_OM",-0.508862514772958,0.091115876569883,0.427848463893364,""
"V35","All","Coverage","sed_OM",0.12721562869324,0.693588197372695,0.805457261465065,""
"V36","All","PD","sed_OM",-0.155485768402848,0.629428153779474,0.805457261465065,""
"V37","All","Observed","sed_orgN",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V38","All","Chao1","sed_orgN",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V39","All","se.chao1","sed_orgN",-0.155485768402848,0.629428153779474,0.805457261465065,""
"V40","All","ACE","sed_orgN",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V41","All","se.ACE","sed_orgN",-0.268566327241283,0.398650165089997,0.797300330179994,""
"V42","All","Shannon","sed_orgN",-0.395781955934523,0.202826937488818,0.656934520330307,""
"V43","All","Simpson","sed_orgN",-0.593672933901784,0.0418376754477355,0.225923447417772,""
"V44","All","InvSimpson","sed_orgN",-0.593672933901784,0.0418376754477355,0.225923447417772,""
"V45","All","Fisher","sed_orgN",-0.183755908112457,0.567538685508492,0.805457261465065,""
"V46","All","Pielou","sed_orgN",-0.508862514772958,0.091115876569883,0.427848463893364,""
"V47","All","Coverage","sed_orgN",0.12721562869324,0.693588197372695,0.805457261465065,""
"V48","All","PD","sed_orgN",-0.155485768402848,0.629428153779474,0.805457261465065,""
"V49","All","Observed","sed_P",-0.0989454889836307,0.75965199667324,0.837167506537856,""
"V50","All","Chao1","sed_P",-0.0989454889836307,0.75965199667324,0.837167506537856,""
"V51","All","se.chao1","sed_P",0.0282701397096088,0.930503034736568,0.948059695769333,""
"V52","All","ACE","sed_P",-0.0989454889836307,0.75965199667324,0.837167506537856,""
"V53","All","se.ACE","sed_P",-0.0141350698548044,0.9652237417357,0.9652237417357,""
"V54","All","Shannon","sed_P",0.12721562869324,0.693588197372695,0.805457261465065,""
"V55","All","Simpson","sed_P",0.22616111767687,0.479683554189167,0.805457261465065,""
"V56","All","InvSimpson","sed_P",0.22616111767687,0.479683554189167,0.805457261465065,""
"V57","All","Fisher","sed_P",-0.0989454889836307,0.75965199667324,0.837167506537856,""
"V58","All","Pielou","sed_P",0.22616111767687,0.479683554189167,0.805457261465065,""
"V59","All","Coverage","sed_P",-0.0141350698548044,0.9652237417357,0.9652237417357,""
"V60","All","PD","sed_P",-0.0282701397096088,0.930503034736568,0.948059695769333,""
"V61","All","Observed","sed_K",0.339241676515305,0.280694884608785,0.673667723061084,""
"V62","All","Chao1","sed_K",0.339241676515305,0.280694884608785,0.673667723061084,""
"V63","All","se.chao1","sed_K",0.240296187531675,0.451872564605726,0.805457261465065,""
"V64","All","ACE","sed_K",0.339241676515305,0.280694884608785,0.673667723061084,""
"V65","All","se.ACE","sed_K",0.367511816224914,0.239892115759333,0.657785511058542,""
"V66","All","Shannon","sed_K",0.438187165498936,0.154210490169432,0.616841960677728,""
"V67","All","Simpson","sed_K",0.70675349274022,0.0101740072211519,0.179778778079038,""
"V68","All","InvSimpson","sed_K",0.70675349274022,0.0101740072211519,0.179778778079038,""
"V69","All","Fisher","sed_K",0.339241676515305,0.280694884608785,0.673667723061084,""
"V70","All","Pielou","sed_K",0.551267724337371,0.0631906733088287,0.324980605588262,""
"V71","All","Coverage","sed_K",-0.212026047822066,0.508254294944191,0.805457261465065,""
"V72","All","PD","sed_K",0.141350698548044,0.66124658021442,0.805457261465065,""
"V73","All","Observed","sed_sand",0.141350698548044,0.66124658021442,0.805457261465065,""
"V74","All","Chao1","sed_sand",0.141350698548044,0.66124658021442,0.805457261465065,""
"V75","All","se.chao1","sed_sand",0.0706753492740219,0.827225546701578,0.875885872978141,""
"V76","All","ACE","sed_sand",0.141350698548044,0.66124658021442,0.805457261465065,""
"V77","All","se.ACE","sed_sand",0.155485768402848,0.629428153779473,0.805457261465065,""
"V78","All","Shannon","sed_sand",0.12721562869324,0.693588197372695,0.805457261465065,""
"V79","All","Simpson","sed_sand",0.0282701397096088,0.930503034736568,0.948059695769333,""
"V80","All","InvSimpson","sed_sand",0.0282701397096088,0.930503034736568,0.948059695769333,""
"V81","All","Fisher","sed_sand",0.141350698548044,0.66124658021442,0.805457261465065,""
"V82","All","Pielou","sed_sand",0.0989454889836307,0.75965199667324,0.837167506537856,""
"V83","All","Coverage","sed_sand",-0.0848104191288263,0.793275590303796,0.8567376375281,""
"V84","All","PD","sed_sand",0.268566327241283,0.398650165089997,0.797300330179994,""
"V85","All","Observed","sed_silt",0.270348297794642,0.395406353338819,0.797300330179994,""
"V86","All","Chao1","sed_silt",0.270348297794642,0.395406353338819,0.797300330179994,""
"V87","All","se.chao1","sed_silt",0.450580496324403,0.141559287849994,0.588015503376898,""
"V88","All","ACE","sed_silt",0.270348297794642,0.395406353338819,0.797300330179994,""
"V89","All","se.ACE","sed_silt",0.255328947917161,0.423163445898926,0.805457261465065,""
"V90","All","Shannon","sed_silt",0.300386997549602,0.342785812396023,0.787678036995117,""
"V91","All","Simpson","sed_silt",0.360464397059522,0.249714869938891,0.657785511058542,""
"V92","All","InvSimpson","sed_silt",0.360464397059522,0.249714869938891,0.657785511058542,""
"V93","All","Fisher","sed_silt",0.270348297794642,0.395406353338819,0.797300330179994,""
"V94","All","Pielou","sed_silt",0.195251548407241,0.543099560205274,0.805457261465065,""
"V95","All","Coverage","sed_silt",-0.420541796569442,0.173430701125154,0.656934520330307,""
"V96","All","PD","sed_silt",0.150193498774801,0.641277028390405,0.805457261465065,""
"V97","All","Observed","sed_clay",-0.378484727175661,0.225060900483531,0.656934520330307,""
"V98","All","Chao1","sed_clay",-0.378484727175661,0.225060900483531,0.656934520330307,""
"V99","All","se.chao1","sed_clay",-0.407598936958404,0.188441500901326,0.656934520330307,""
"V100","All","ACE","sed_clay",-0.378484727175661,0.225060900483531,0.656934520330307,""
"V101","All","se.ACE","sed_clay",-0.371206174729975,0.234835760264541,0.657785511058542,""
"V102","All","Shannon","sed_clay",-0.334813412501546,0.287422740923071,0.674818609123732,""
"V103","All","Simpson","sed_clay",-0.18924236358783,0.555819682003371,0.805457261465065,""
"V104","All","InvSimpson","sed_clay",-0.18924236358783,0.555819682003371,0.805457261465065,""
"V105","All","Fisher","sed_clay",-0.378484727175661,0.225060900483531,0.656934520330307,""
"V106","All","Pielou","sed_clay",-0.174685258696459,0.587127815217763,0.805457261465065,""
"V107","All","Coverage","sed_clay",0.407598936958404,0.188441500901326,0.656934520330307,""
"V108","All","PD","sed_clay",-0.480384461415261,0.11393741215192,0.51271835468364,""
