"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",-0.202797202797203,0.528100236783455,0.983488273650462,""
"V2","All","Chao1","COND",-0.13986013986014,0.667150535987428,0.983488273650462,""
"V3","All","se.chao1","COND",0.125874125874126,0.699712220731721,0.983488273650462,""
"V4","All","ACE","COND",-0.13986013986014,0.667150535987428,0.983488273650462,""
"V5","All","se.ACE","COND",-0.027972027972028,0.9386633634935,0.983488273650462,""
"V6","All","Shannon","COND",0.153846153846154,0.635139955377586,0.983488273650462,""
"V7","All","Simpson","COND",0.300699300699301,0.342483375440193,0.983488273650462,""
"V8","All","InvSimpson","COND",0.300699300699301,0.342483375440193,0.983488273650462,""
"V9","All","Fisher","COND",-0.202797202797203,0.528100236783455,0.983488273650462,""
"V10","All","Pielou","COND",0.433566433566434,0.161446426349823,0.983488273650462,""
"V11","All","Coverage","COND",-0.111888111888112,0.732775446034506,0.983488273650462,""
"V12","All","PD","COND",-0.048951048951049,0.88633510886492,0.983488273650462,""
"V13","All","Observed","TDS",-0.160839160839161,0.619356169033867,0.983488273650462,""
"V14","All","Chao1","TDS",-0.0979020979020979,0.766288456385056,0.983488273650462,""
"V15","All","se.chao1","TDS",0.0979020979020979,0.766288456385056,0.983488273650462,""
"V16","All","ACE","TDS",-0.0979020979020979,0.766288456385056,0.983488273650462,""
"V17","All","se.ACE","TDS",0.00699300699300699,0.991230036057101,0.991230036057101,""
"V18","All","Shannon","TDS",0.174825174825175,0.588259894923335,0.983488273650462,""
"V19","All","Simpson","TDS",0.272727272727273,0.391232746026155,0.983488273650462,""
"V20","All","InvSimpson","TDS",0.272727272727273,0.391232746026155,0.983488273650462,""
"V21","All","Fisher","TDS",-0.160839160839161,0.619356169033867,0.983488273650462,""
"V22","All","Pielou","TDS",0.440559440559441,0.154215750256718,0.983488273650462,""
"V23","All","Coverage","TDS",-0.0979020979020979,0.766288456385056,0.983488273650462,""
"V24","All","PD","TDS",-0.020979020979021,0.956169154937949,0.983488273650462,""
"V25","All","Observed","ORP",0.027972027972028,0.9386633634935,0.983488273650462,""
"V26","All","Chao1","ORP",0.020979020979021,0.956169154937949,0.983488273650462,""
"V27","All","se.chao1","ORP",-0.237762237762238,0.457102206809002,0.983488273650462,""
"V28","All","ACE","ORP",0.020979020979021,0.956169154937949,0.983488273650462,""
"V29","All","se.ACE","ORP",0.027972027972028,0.9386633634935,0.983488273650462,""
"V30","All","Shannon","ORP",0.013986013986014,0.973693903956088,0.987407902603357,""
"V31","All","Simpson","ORP",-0.0839160839160839,0.800197517952335,0.983488273650462,""
"V32","All","InvSimpson","ORP",-0.0839160839160839,0.800197517952335,0.983488273650462,""
"V33","All","Fisher","ORP",0.027972027972028,0.9386633634935,0.983488273650462,""
"V34","All","Pielou","ORP",-0.034965034965035,0.921184082791962,0.983488273650462,""
"V35","All","Coverage","ORP",0.216783216783217,0.499114747625363,0.983488273650462,""
"V36","All","PD","ORP",-0.034965034965035,0.921184082791962,0.983488273650462,""
"V37","All","Observed","pH",0.469352733786692,0.123706328208118,0.983488273650462,""
"V38","All","Chao1","pH",0.413310616319624,0.181721477401602,0.983488273650462,""
"V39","All","se.chao1","pH",0.318739543093948,0.312601676218413,0.983488273650462,""
"V40","All","ACE","pH",0.413310616319624,0.181721477401602,0.983488273650462,""
"V41","All","se.ACE","pH",0.360771131194248,0.24928250596238,0.983488273650462,""
"V42","All","Shannon","pH",0.234676366893346,0.462836643549213,0.983488273650462,""
"V43","All","Simpson","pH",0.171628984742895,0.59378680601684,0.983488273650462,""
"V44","All","InvSimpson","pH",0.171628984742895,0.59378680601684,0.983488273650462,""
"V45","All","Fisher","pH",0.469352733786692,0.123706328208118,0.983488273650462,""
"V46","All","Pielou","pH",-0.10157633790906,0.753434083780813,0.983488273650462,""
"V47","All","Coverage","pH",-0.301226381385489,0.341372294714219,0.983488273650462,""
"V48","All","PD","pH",0.374781660561015,0.230002980006253,0.983488273650462,""
"V49","All","Observed","salinity",-0.237762237762238,0.457102206809002,0.983488273650462,""
"V50","All","Chao1","salinity",-0.188811188811189,0.557827775088338,0.983488273650462,""
"V51","All","se.chao1","salinity",0.216783216783217,0.499114747625363,0.983488273650462,""
"V52","All","ACE","salinity",-0.188811188811189,0.557827775088338,0.983488273650462,""
"V53","All","se.ACE","salinity",-0.0699300699300699,0.834447145237479,0.983488273650462,""
"V54","All","Shannon","salinity",0.153846153846154,0.635139955377586,0.983488273650462,""
"V55","All","Simpson","salinity",0.377622377622378,0.227443132465378,0.983488273650462,""
"V56","All","InvSimpson","salinity",0.377622377622378,0.227443132465378,0.983488273650462,""
"V57","All","Fisher","salinity",-0.237762237762238,0.457102206809002,0.983488273650462,""
"V58","All","Pielou","salinity",0.342657342657343,0.276230512588156,0.983488273650462,""
"V59","All","Coverage","salinity",-0.153846153846154,0.635139955377586,0.983488273650462,""
"V60","All","PD","salinity",-0.0909090909090909,0.783196910294608,0.983488273650462,""
"V61","All","Observed","temperature",-0.475524475524476,0.121319356446693,0.983488273650462,""
"V62","All","Chao1","temperature",-0.426573426573427,0.168899525405203,0.983488273650462,""
"V63","All","se.chao1","temperature",0.118881118881119,0.716184326595525,0.983488273650462,""
"V64","All","ACE","temperature",-0.426573426573427,0.168899525405203,0.983488273650462,""
"V65","All","se.ACE","temperature",-0.335664335664336,0.286690914249746,0.983488273650462,""
"V66","All","Shannon","temperature",-0.188811188811189,0.557827775088338,0.983488273650462,""
"V67","All","Simpson","temperature",0.111888111888112,0.732775446034506,0.983488273650462,""
"V68","All","InvSimpson","temperature",0.111888111888112,0.732775446034506,0.983488273650462,""
"V69","All","Fisher","temperature",-0.475524475524476,0.121319356446693,0.983488273650462,""
"V70","All","Pielou","temperature",-0.0629370629370629,0.851681911253293,0.983488273650462,""
"V71","All","Coverage","temperature",-0.020979020979021,0.956169154937949,0.983488273650462,""
"V72","All","PD","temperature",-0.363636363636364,0.246255228012161,0.983488273650462,""
