"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.657142857142857,0.175,0.35,""
"V2","All","Chao1","water_COND",0.771428571428571,0.102777777777778,0.321739130434783,""
"V3","All","se.chao1","water_COND",0.0857142857142857,0.919444444444444,0.932394366197183,""
"V4","All","ACE","water_COND",0.771428571428571,0.102777777777778,0.321739130434783,""
"V5","All","se.ACE","water_COND",0.657142857142857,0.175,0.35,""
"V6","All","Shannon","water_COND",0.657142857142857,0.175,0.35,""
"V7","All","Simpson","water_COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V8","All","InvSimpson","water_COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V9","All","Fisher","water_COND",0.657142857142857,0.175,0.35,""
"V10","All","Pielou","water_COND",0.485714285714286,0.355555555555556,0.595348837209303,""
"V11","All","Coverage","water_COND",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V12","All","PD","water_COND",0.428571428571429,0.419444444444444,0.616326530612244,""
"V13","All","Observed","water_TDS",0.657142857142857,0.175,0.35,""
"V14","All","Chao1","water_TDS",0.771428571428571,0.102777777777778,0.321739130434783,""
"V15","All","se.chao1","water_TDS",0.0857142857142857,0.919444444444444,0.932394366197183,""
"V16","All","ACE","water_TDS",0.771428571428571,0.102777777777778,0.321739130434783,""
"V17","All","se.ACE","water_TDS",0.657142857142857,0.175,0.35,""
"V18","All","Shannon","water_TDS",0.657142857142857,0.175,0.35,""
"V19","All","Simpson","water_TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V20","All","InvSimpson","water_TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V21","All","Fisher","water_TDS",0.657142857142857,0.175,0.35,""
"V22","All","Pielou","water_TDS",0.485714285714286,0.355555555555556,0.595348837209303,""
"V23","All","Coverage","water_TDS",-0.371428571428571,0.497222222222222,0.617241379310345,""
"V24","All","PD","water_TDS",0.428571428571429,0.419444444444444,0.616326530612244,""
"V25","All","Observed","water_ORP",-0.771428571428571,0.102777777777778,0.321739130434783,""
"V26","All","Chao1","water_ORP",-0.885714285714286,0.0333333333333333,0.321739130434783,""
"V27","All","se.chao1","water_ORP",-0.657142857142857,0.175,0.35,""
