"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V2","All","Chao1","COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V3","All","se.chao1","COND",0.485714285714286,0.355555555555556,0.636993761342047,""
"V4","All","ACE","COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V5","All","se.ACE","COND",0.542857142857143,0.297222222222222,0.636993761342047,""
"V6","All","Shannon","COND",0.657142857142857,0.175,0.636993761342047,""
"V7","All","Simpson","COND",0.371428571428571,0.497222222222222,0.675471698113207,""
"V8","All","InvSimpson","COND",0.371428571428571,0.497222222222222,0.675471698113207,""
"V9","All","Fisher","COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V10","All","Pielou","COND",0.542857142857143,0.297222222222222,0.636993761342047,""
"V11","All","Coverage","COND",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V12","All","PD","COND",0.485714285714286,0.355555555555556,0.636993761342047,""
"V13","All","Observed","TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V14","All","Chao1","TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V15","All","se.chao1","TDS",0.485714285714286,0.355555555555556,0.636993761342047,""
"V16","All","ACE","TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V17","All","se.ACE","TDS",0.542857142857143,0.297222222222222,0.636993761342047,""
"V18","All","Shannon","TDS",0.657142857142857,0.175,0.636993761342047,""
"V19","All","Simpson","TDS",0.371428571428571,0.497222222222222,0.675471698113207,""
"V20","All","InvSimpson","TDS",0.371428571428571,0.497222222222222,0.675471698113207,""
"V21","All","Fisher","TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V22","All","Pielou","TDS",0.542857142857143,0.297222222222222,0.636993761342047,""
"V23","All","Coverage","TDS",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V24","All","PD","TDS",0.485714285714286,0.355555555555556,0.636993761342047,""
"V25","All","Observed","ORP",-0.6,0.241666666666667,0.636993761342047,""
"V26","All","Chao1","ORP",-0.6,0.241666666666667,0.636993761342047,""
"V27","All","se.chao1","ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V28","All","ACE","ORP",-0.6,0.241666666666667,0.636993761342047,""
"V29","All","se.ACE","ORP",-0.657142857142857,0.175,0.636993761342047,""
"V30","All","Shannon","ORP",-0.714285714285714,0.136111111111111,0.636993761342047,""
"V31","All","Simpson","ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V32","All","InvSimpson","ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V33","All","Fisher","ORP",-0.6,0.241666666666667,0.636993761342047,""
"V34","All","Pielou","ORP",-0.542857142857143,0.297222222222222,0.636993761342047,""
"V35","All","Coverage","ORP",0.485714285714286,0.355555555555556,0.636993761342047,""
"V36","All","PD","ORP",-0.771428571428571,0.102777777777778,0.636993761342047,""
"V37","All","Observed","pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V38","All","Chao1","pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V39","All","se.chao1","pH",-0.550782483869826,0.257369331622575,0.636993761342047,""
"V40","All","ACE","pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V41","All","se.ACE","pH",-0.405839724956714,0.424662507561365,0.636993761342047,""
"V42","All","Shannon","pH",-0.463816828521959,0.35416429843623,0.636993761342047,""
"V43","All","Simpson","pH",0.0579771035652448,0.913131785162327,0.919444444444444,""
"V44","All","InvSimpson","pH",0.0579771035652448,0.913131785162327,0.919444444444444,""
"V45","All","Fisher","pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V46","All","Pielou","pH",-0.231908414260979,0.658373571260927,0.817291329841151,""
"V47","All","Coverage","pH",0.550782483869826,0.257369331622575,0.636993761342047,""
"V48","All","PD","pH",-0.637748139217693,0.17307111024126,0.636993761342047,""
"V49","All","Observed","salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V50","All","Chao1","salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V51","All","se.chao1","salinity",0.257142857142857,0.658333333333333,0.817291329841151,""
"V52","All","ACE","salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V53","All","se.ACE","salinity",0.314285714285714,0.563888888888889,0.738181818181818,""
"V54","All","Shannon","salinity",0.542857142857143,0.297222222222222,0.636993761342047,""
"V55","All","Simpson","salinity",0.6,0.241666666666667,0.636993761342047,""
"V56","All","InvSimpson","salinity",0.6,0.241666666666667,0.636993761342047,""
"V57","All","Fisher","salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V58","All","Pielou","salinity",0.657142857142857,0.175,0.636993761342047,""
"V59","All","Coverage","salinity",-0.257142857142857,0.658333333333333,0.817291329841151,""
"V60","All","PD","salinity",0.142857142857143,0.802777777777778,0.919444444444444,""
"V61","All","Observed","temperature",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V62","All","Chao1","temperature",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V63","All","se.chao1","temperature",0.2,0.713888888888889,0.856666666666667,""
"V64","All","ACE","temperature",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V65","All","se.ACE","temperature",0.314285714285714,0.563888888888889,0.738181818181818,""
"V66","All","Shannon","temperature",0.371428571428571,0.497222222222222,0.675471698113207,""
"V67","All","Simpson","temperature",0.6,0.241666666666667,0.636993761342047,""
"V68","All","InvSimpson","temperature",0.6,0.241666666666667,0.636993761342047,""
"V69","All","Fisher","temperature",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V70","All","Pielou","temperature",0.542857142857143,0.297222222222222,0.636993761342047,""
"V71","All","Coverage","temperature",-0.2,0.713888888888889,0.856666666666667,""
"V72","All","PD","temperature",-0.142857142857143,0.802777777777778,0.919444444444444,""
