"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V2","All","Chao1","water_COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V3","All","se.chao1","water_COND",0.485714285714286,0.355555555555556,0.636993761342047,""
"V4","All","ACE","water_COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V5","All","se.ACE","water_COND",0.542857142857143,0.297222222222222,0.636993761342047,""
"V6","All","Shannon","water_COND",0.657142857142857,0.175,0.636993761342047,""
"V7","All","Simpson","water_COND",0.371428571428571,0.497222222222222,0.675471698113207,""
"V8","All","InvSimpson","water_COND",0.371428571428571,0.497222222222222,0.675471698113207,""
"V9","All","Fisher","water_COND",0.428571428571429,0.419444444444444,0.636993761342047,""
"V10","All","Pielou","water_COND",0.542857142857143,0.297222222222222,0.636993761342047,""
"V11","All","Coverage","water_COND",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V12","All","PD","water_COND",0.485714285714286,0.355555555555556,0.636993761342047,""
"V13","All","Observed","water_TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V14","All","Chao1","water_TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V15","All","se.chao1","water_TDS",0.485714285714286,0.355555555555556,0.636993761342047,""
"V16","All","ACE","water_TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V17","All","se.ACE","water_TDS",0.542857142857143,0.297222222222222,0.636993761342047,""
"V18","All","Shannon","water_TDS",0.657142857142857,0.175,0.636993761342047,""
"V19","All","Simpson","water_TDS",0.371428571428571,0.497222222222222,0.675471698113207,""
"V20","All","InvSimpson","water_TDS",0.371428571428571,0.497222222222222,0.675471698113207,""
"V21","All","Fisher","water_TDS",0.428571428571429,0.419444444444444,0.636993761342047,""
"V22","All","Pielou","water_TDS",0.542857142857143,0.297222222222222,0.636993761342047,""
"V23","All","Coverage","water_TDS",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V24","All","PD","water_TDS",0.485714285714286,0.355555555555556,0.636993761342047,""
"V25","All","Observed","water_ORP",-0.6,0.241666666666667,0.636993761342047,""
"V26","All","Chao1","water_ORP",-0.6,0.241666666666667,0.636993761342047,""
"V27","All","se.chao1","water_ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V28","All","ACE","water_ORP",-0.6,0.241666666666667,0.636993761342047,""
"V29","All","se.ACE","water_ORP",-0.657142857142857,0.175,0.636993761342047,""
"V30","All","Shannon","water_ORP",-0.714285714285714,0.136111111111111,0.636993761342047,""
"V31","All","Simpson","water_ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V32","All","InvSimpson","water_ORP",-0.485714285714286,0.355555555555556,0.636993761342047,""
"V33","All","Fisher","water_ORP",-0.6,0.241666666666667,0.636993761342047,""
"V34","All","Pielou","water_ORP",-0.542857142857143,0.297222222222222,0.636993761342047,""
"V35","All","Coverage","water_ORP",0.485714285714286,0.355555555555556,0.636993761342047,""
"V36","All","PD","water_ORP",-0.771428571428571,0.102777777777778,0.636993761342047,""
"V37","All","Observed","water_pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V38","All","Chao1","water_pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V39","All","se.chao1","water_pH",-0.550782483869826,0.257369331622575,0.636993761342047,""
"V40","All","ACE","water_pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V41","All","se.ACE","water_pH",-0.405839724956714,0.424662507561365,0.636993761342047,""
"V42","All","Shannon","water_pH",-0.463816828521959,0.35416429843623,0.636993761342047,""
"V43","All","Simpson","water_pH",0.0579771035652448,0.913131785162327,0.919444444444444,""
"V44","All","InvSimpson","water_pH",0.0579771035652448,0.913131785162327,0.919444444444444,""
"V45","All","Fisher","water_pH",-0.492805380304581,0.320632582865828,0.636993761342047,""
"V46","All","Pielou","water_pH",-0.231908414260979,0.658373571260927,0.817291329841151,""
"V47","All","Coverage","water_pH",0.550782483869826,0.257369331622575,0.636993761342047,""
"V48","All","PD","water_pH",-0.637748139217693,0.17307111024126,0.636993761342047,""
"V49","All","Observed","water_salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V50","All","Chao1","water_salinity",0.0857142857142857,0.919444444444444,0.919444444444444,""
"V51","All","se.chao1","water_salinity",0.257142857142857,0.658333333333333,0.817291329841151,""
