"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0.447989200171303,0.144147151398381,0.331231752149471,""
"V2","All","Chao1","sed_pH",0.483263940342272,0.111474147935752,0.29778387491461,""
"V3","All","se.chao1","sed_pH",0.194011070940328,0.545715355931902,0.626992111070696,""
"V4","All","ACE","sed_pH",0.483263940342272,0.111474147935752,0.29778387491461,""
"V5","All","se.ACE","sed_pH",0.296307817436138,0.34969973588147,0.510238849264381,""
"V6","All","Shannon","sed_pH",0.398604563931947,0.199331595713868,0.391414769765414,""
"V7","All","Simpson","sed_pH",0.0811319023932282,0.802081433985741,0.824998046385334,""
"V8","All","InvSimpson","sed_pH",0.0811319023932282,0.802081433985741,0.824998046385334,""
"V9","All","Fisher","sed_pH",0.447989200171303,0.144147151398381,0.331231752149471,""
"V10","All","Pielou","sed_pH",0.352747401709688,0.260737130746158,0.453161820902242,""
"V11","All","Coverage","sed_pH",-0.23145454325646,0.469177954217125,0.612744757841575,""
"V12","All","PD","sed_pH",0.39507708991485,0.20370560898537,0.392860817328928,""
"V13","All","Observed","sed_EC",0.234676366893346,0.462836643549213,0.612744757841575,""
"V14","All","Chao1","sed_EC",0.210157940501504,0.512085328993753,0.626992111070696,""
"V15","All","se.chao1","sed_EC",0.0175131617084587,0.956918823900548,0.956918823900548,""
"V16","All","ACE","sed_EC",0.210157940501504,0.512085328993753,0.626992111070696,""
"V17","All","se.ACE","sed_EC",0.437829042711466,0.15458641247553,0.333488102047183,""
"V18","All","Shannon","sed_EC",0.350263234169173,0.264344395526308,0.453161820902242,""
"V19","All","Simpson","sed_EC",0.507881689545301,0.0918457918572557,0.29778387491461,""
"V20","All","InvSimpson","sed_EC",0.507881689545301,0.0918457918572557,0.29778387491461,""
"V21","All","Fisher","sed_EC",0.234676366893346,0.462836643549213,0.612744757841575,""
"V22","All","Pielou","sed_EC",0.374781660561015,0.230002980006253,0.435795120011848,""
"V23","All","Coverage","sed_EC",-0.0912280701754386,0.777966127211746,0.815731473192899,""
"V24","All","PD","sed_EC",0.322242175435639,0.307014178900402,0.482575868685601,""
"V25","All","Observed","sed_OM",0.195804195804196,0.54287352062982,0.626992111070696,""
"V26","All","Chao1","sed_OM",0.146853146853147,0.651073351116621,0.696197246738565,""
"V27","All","se.chao1","sed_OM",-0.230769230769231,0.470905693526396,0.612744757841575,""
"V28","All","ACE","sed_OM",0.146853146853147,0.651073351116621,0.696197246738565,""
"V29","All","se.ACE","sed_OM",0.356643356643357,0.256012537309024,0.453161820902242,""
"V30","All","Shannon","sed_OM",0.293706293706294,0.354332534211376,0.510238849264381,""
"V31","All","Simpson","sed_OM",0.475524475524476,0.121319356446693,0.29778387491461,""
"V32","All","InvSimpson","sed_OM",0.475524475524476,0.121319356446693,0.29778387491461,""
"V33","All","Fisher","sed_OM",0.195804195804196,0.54287352062982,0.626992111070696,""
"V34","All","Pielou","sed_OM",0.321678321678322,0.308312360549134,0.482575868685601,""
"V35","All","Coverage","sed_OM",0.20315267581812,0.526563052910977,0.626992111070696,""
"V36","All","PD","sed_OM",0.328671328671329,0.297385077720106,0.482575868685601,""
"V37","All","Observed","sed_orgN",0.195804195804196,0.54287352062982,0.626992111070696,""
"V38","All","Chao1","sed_orgN",0.146853146853147,0.651073351116621,0.696197246738565,""
"V39","All","se.chao1","sed_orgN",-0.230769230769231,0.470905693526396,0.612744757841575,""
"V40","All","ACE","sed_orgN",0.146853146853147,0.651073351116621,0.696197246738565,""
"V41","All","se.ACE","sed_orgN",0.356643356643357,0.256012537309024,0.453161820902242,""
"V42","All","Shannon","sed_orgN",0.293706293706294,0.354332534211376,0.510238849264381,""
"V43","All","Simpson","sed_orgN",0.475524475524476,0.121319356446693,0.29778387491461,""
"V44","All","InvSimpson","sed_orgN",0.475524475524476,0.121319356446693,0.29778387491461,""
"V45","All","Fisher","sed_orgN",0.195804195804196,0.54287352062982,0.626992111070696,""
"V46","All","Pielou","sed_orgN",0.321678321678322,0.308312360549134,0.482575868685601,""
"V47","All","Coverage","sed_orgN",0.20315267581812,0.526563052910977,0.626992111070696,""
"V48","All","PD","sed_orgN",0.328671328671329,0.297385077720106,0.482575868685601,""
"V49","All","Observed","sed_P",-0.48951048951049,0.109632452145995,0.29778387491461,""
"V50","All","Chao1","sed_P",-0.475524475524476,0.121319356446693,0.29778387491461,""
"V51","All","se.chao1","sed_P",0.251748251748252,0.430115288763099,0.611216462979141,""
"V52","All","ACE","sed_P",-0.475524475524476,0.121319356446693,0.29778387491461,""
"V53","All","se.ACE","sed_P",-0.671328671328671,0.0204418784224505,0.245302541069406,""
"V54","All","Shannon","sed_P",-0.699300699300699,0.0145393118705073,0.214348859847157,""
"V55","All","Simpson","sed_P",-0.846153846153846,0.00096954014644495,0.0286458816031739,"*"
"V56","All","InvSimpson","sed_P",-0.846153846153846,0.00096954014644495,0.0286458816031739,"*"
"V57","All","Fisher","sed_P",-0.48951048951049,0.109632452145995,0.29778387491461,""
"V58","All","Pielou","sed_P",-0.692307692307692,0.0158776933220116,0.214348859847157,""
"V59","All","Coverage","sed_P",-0.136602661325978,0.67205421721782,0.711586818230633,""
"V60","All","PD","sed_P",-0.643356643356643,0.0279545528218171,0.249902354983827,""
"V61","All","Observed","sed_K",0.636363636363636,0.0301142647296562,0.249902354983827,""
"V62","All","Chao1","sed_K",0.587412587412588,0.0488448583092957,0.280058741340528,""
"V63","All","se.chao1","sed_K",0.440559440559441,0.154215750256718,0.333488102047183,""
"V64","All","ACE","sed_K",0.587412587412588,0.0488448583092957,0.280058741340528,""
"V65","All","se.ACE","sed_K",0.629370629370629,0.0323947497201257,0.249902354983827,""
"V66","All","Shannon","sed_K",0.496503496503497,0.104092832873526,0.29778387491461,""
"V67","All","Simpson","sed_K",0.510489510489511,0.0936053800282637,0.29778387491461,""
"V68","All","InvSimpson","sed_K",0.510489510489511,0.0936053800282637,0.29778387491461,""
"V69","All","Fisher","sed_K",0.636363636363636,0.0301142647296562,0.249902354983827,""
"V70","All","Pielou","sed_K",0.461538461538462,0.133836315738433,0.321207157772239,""
"V71","All","Coverage","sed_K",-0.493871160178534,0.102705183346472,0.29778387491461,""
"V72","All","PD","sed_K",0.496503496503497,0.104092832873526,0.29778387491461,""
"V73","All","Observed","sed_sand",-0.352121407601999,0.261643428135117,0.453161820902242,""
