"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",-0.048951048951049,0.88633510886492,0.983488273650462,""
"V2","All","Chao1","water_COND",0.027972027972028,0.9386633634935,0.983488273650462,""
"V3","All","se.chao1","water_COND",0.601398601398601,0.0428068689875762,0.256841213925457,""
"V4","All","ACE","water_COND",0.027972027972028,0.9386633634935,0.983488273650462,""
"V5","All","se.ACE","water_COND",-0.230769230769231,0.470905693526396,0.770572953043194,""
"V6","All","Shannon","water_COND",-0.265734265734266,0.403976659275029,0.769732479765929,""
"V7","All","Simpson","water_COND",-0.608391608391608,0.0400020487886458,0.256841213925457,""
"V8","All","InvSimpson","water_COND",-0.608391608391608,0.0400020487886458,0.256841213925457,""
"V9","All","Fisher","water_COND",-0.048951048951049,0.88633510886492,0.983488273650462,""
"V10","All","Pielou","water_COND",-0.363636363636364,0.246255228012161,0.625887611914141,""
"V11","All","Coverage","water_COND",-0.535902748278835,0.0725074830303382,0.336915121739036,""
"V12","All","PD","water_COND",-0.230769230769231,0.470905693526396,0.770572953043194,""
"V13","All","Observed","water_TDS",-0.048951048951049,0.88633510886492,0.983488273650462,""
"V14","All","Chao1","water_TDS",0.027972027972028,0.9386633634935,0.983488273650462,""
"V15","All","se.chao1","water_TDS",0.601398601398601,0.0428068689875762,0.256841213925457,""
"V16","All","ACE","water_TDS",0.027972027972028,0.9386633634935,0.983488273650462,""
"V17","All","se.ACE","water_TDS",-0.230769230769231,0.470905693526396,0.770572953043194,""
"V18","All","Shannon","water_TDS",-0.265734265734266,0.403976659275029,0.769732479765929,""
"V19","All","Simpson","water_TDS",-0.608391608391608,0.0400020487886458,0.256841213925457,""
"V20","All","InvSimpson","water_TDS",-0.608391608391608,0.0400020487886458,0.256841213925457,""
"V21","All","Fisher","water_TDS",-0.048951048951049,0.88633510886492,0.983488273650462,""
"V22","All","Pielou","water_TDS",-0.363636363636364,0.246255228012161,0.625887611914141,""
"V23","All","Coverage","water_TDS",-0.535902748278835,0.0725074830303382,0.336915121739036,""
"V24","All","PD","water_TDS",-0.230769230769231,0.470905693526396,0.770572953043194,""
"V25","All","Observed","water_ORP",-0.0909090909090909,0.783196910294608,0.983488273650462,""
"V26","All","Chao1","water_ORP",-0.167832167832168,0.603727651288199,0.804970201717599,""
"V27","All","se.chao1","water_ORP",-0.671328671328671,0.0204418784224505,0.256841213925457,""
"V28","All","ACE","water_ORP",-0.167832167832168,0.603727651288199,0.804970201717599,""
"V29","All","se.ACE","water_ORP",0.0769230769230769,0.817283290706317,0.983488273650462,""
"V30","All","Shannon","water_ORP",0.258741258741259,0.416938426539878,0.769732479765929,""
"V31","All","Simpson","water_ORP",0.601398601398601,0.0428068689875762,0.256841213925457,""
"V32","All","InvSimpson","water_ORP",0.601398601398601,0.0428068689875762,0.256841213925457,""
"V33","All","Fisher","water_ORP",-0.0909090909090909,0.783196910294608,0.983488273650462,""
"V34","All","Pielou","water_ORP",0.41958041958042,0.176577010697551,0.577888398646531,""
"V35","All","Coverage","water_ORP",0.616463292137745,0.0327760380837606,0.256841213925457,""
"V36","All","PD","water_ORP",0.0629370629370629,0.851681911253292,0.983488273650462,""
"V37","All","Observed","water_pH",-0.504379057203609,0.0944845356273572,0.340144328258486,""
"V38","All","Chao1","water_pH",-0.518389586570376,0.084228780434759,0.336915121739036,""
"V39","All","se.chao1","water_pH",-0.304729013727181,0.335507821676454,0.7320170654759,""
"V40","All","ACE","water_pH",-0.518389586570376,0.084228780434759,0.336915121739036,""
"V41","All","se.ACE","water_pH",-0.409807983977933,0.185824490844045,0.58171144959875,""
"V42","All","Shannon","water_pH",-0.353765866510865,0.259266528676314,0.625887611914141,""
"V43","All","Simpson","water_pH",0.00350263234169173,0.991380381721317,0.991380381721317,""
"V44","All","InvSimpson","water_pH",0.00350263234169173,0.991380381721317,0.991380381721317,""
"V45","All","Fisher","water_pH",-0.504379057203609,0.0944845356273572,0.340144328258486,""
"V46","All","Pielou","water_pH",-0.26269742562688,0.409428194878364,0.769732479765929,""
"V47","All","Coverage","water_pH",0.370175438596491,0.236240068303226,0.625887611914141,""
"V48","All","PD","water_pH",-0.346760601827481,0.269479388463033,0.625887611914141,""
"V49","All","Observed","water_salinity",-0.0699300699300699,0.834447145237479,0.983488273650462,""
"V50","All","Chao1","water_salinity",-0.020979020979021,0.956169154937949,0.983488273650462,""
"V51","All","se.chao1","water_salinity",0.307692307692308,0.330862674250893,0.7320170654759,""
"V52","All","ACE","water_salinity",-0.020979020979021,0.956169154937949,0.983488273650462,""
"V53","All","se.ACE","water_salinity",-0.216783216783217,0.499114747625363,0.781223083239699,""
"V54","All","Shannon","water_salinity",-0.167832167832168,0.603727651288199,0.804970201717599,""
"V55","All","Simpson","water_salinity",-0.531468531468532,0.0793029394097802,0.336915121739036,""
"V56","All","InvSimpson","water_salinity",-0.531468531468532,0.0793029394097802,0.336915121739036,""
"V57","All","Fisher","water_salinity",-0.0699300699300699,0.834447145237479,0.983488273650462,""
"V58","All","Pielou","water_salinity",-0.223776223776224,0.484911140402735,0.775857824644376,""
"V59","All","Coverage","water_salinity",-0.273205322651955,0.390233673923637,0.769732479765929,""
"V60","All","PD","water_salinity",-0.27972027972028,0.378709233642039,0.769732479765929,""
"V61","All","Observed","water_temperature",-0.188811188811189,0.557827775088338,0.803271996127207,""
"V62","All","Chao1","water_temperature",-0.195804195804196,0.54287352062982,0.803271996127207,""
"V63","All","se.chao1","water_temperature",0.251748251748252,0.430115288763099,0.770572953043194,""
"V64","All","ACE","water_temperature",-0.195804195804196,0.54287352062982,0.803271996127207,""
"V65","All","se.ACE","water_temperature",-0.34965034965035,0.26600430932519,0.625887611914141,""
"V66","All","Shannon","water_temperature",-0.363636363636364,0.246255228012161,0.625887611914141,""
"V67","All","Simpson","water_temperature",-0.622377622377623,0.0348001228553438,0.256841213925457,""
"V68","All","InvSimpson","water_temperature",-0.622377622377623,0.0348001228553438,0.256841213925457,""
"V69","All","Fisher","water_temperature",-0.188811188811189,0.557827775088338,0.803271996127207,""
"V70","All","Pielou","water_temperature",-0.363636363636364,0.246255228012161,0.625887611914141,""
"V71","All","Coverage","water_temperature",-0.18213688176797,0.571015781266849,0.804970201717599,""
"V72","All","PD","water_temperature",-0.426573426573427,0.168899525405203,0.577888398646531,""
