"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",-0.0285714285714286,1,1,""
"V2","All","Chao1","sed_pH",-0.0285714285714286,1,1,""
"V3","All","se.chao1","sed_pH",-0.142857142857143,0.802777777777778,1,""
"V4","All","ACE","sed_pH",-0.0285714285714286,1,1,""
"V5","All","se.ACE","sed_pH",0.0857142857142857,0.919444444444444,1,""
"V6","All","Shannon","sed_pH",-0.0285714285714286,1,1,""
"V7","All","Simpson","sed_pH",0.0857142857142857,0.919444444444444,1,""
"V8","All","InvSimpson","sed_pH",0.0857142857142857,0.919444444444444,1,""
"V9","All","Fisher","sed_pH",-0.0285714285714286,1,1,""
"V10","All","Pielou","sed_pH",-0.0857142857142857,0.919444444444444,1,""
"V11","All","Coverage","sed_pH",0.0857142857142857,0.919444444444444,1,""
"V12","All","PD","sed_pH",-0.371428571428571,0.497222222222222,1,""
"V13","All","Observed","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V14","All","Chao1","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V15","All","se.chao1","sed_EC",-0.257142857142857,0.658333333333333,1,""
"V16","All","ACE","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V17","All","se.ACE","sed_EC",-0.0857142857142857,0.919444444444444,1,""
"V18","All","Shannon","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V19","All","Simpson","sed_EC",-0.0857142857142857,0.919444444444444,1,""
"V20","All","InvSimpson","sed_EC",-0.0857142857142857,0.919444444444444,1,""
"V21","All","Fisher","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V22","All","Pielou","sed_EC",-0.0857142857142857,0.919444444444444,1,""
"V23","All","Coverage","sed_EC",0.0857142857142857,0.919444444444444,1,""
"V24","All","PD","sed_EC",0.657142857142857,0.175,1,""
"V25","All","Observed","sed_OM",-0.142857142857143,0.802777777777778,1,""
"V26","All","Chao1","sed_OM",-0.142857142857143,0.802777777777778,1,""
"V27","All","se.chao1","sed_OM",-0.371428571428571,0.497222222222222,1,""
"V28","All","ACE","sed_OM",-0.142857142857143,0.802777777777778,1,""
"V29","All","se.ACE","sed_OM",-0.371428571428571,0.497222222222222,1,""
"V30","All","Shannon","sed_OM",-0.142857142857143,0.802777777777778,1,""
"V31","All","Simpson","sed_OM",-0.371428571428571,0.497222222222222,1,""
"V32","All","InvSimpson","sed_OM",-0.371428571428571,0.497222222222222,1,""
"V33","All","Fisher","sed_OM",-0.142857142857143,0.802777777777778,1,""
"V34","All","Pielou","sed_OM",0.0285714285714286,1,1,""
"V35","All","Coverage","sed_OM",0.542857142857143,0.297222222222222,1,""
"V36","All","PD","sed_OM",0.0857142857142857,0.919444444444444,1,""
"V37","All","Observed","sed_orgN",-0.142857142857143,0.802777777777778,1,""
"V38","All","Chao1","sed_orgN",-0.142857142857143,0.802777777777778,1,""
"V39","All","se.chao1","sed_orgN",-0.371428571428571,0.497222222222222,1,""
"V40","All","ACE","sed_orgN",-0.142857142857143,0.802777777777778,1,""
"V41","All","se.ACE","sed_orgN",-0.371428571428571,0.497222222222222,1,""
"V42","All","Shannon","sed_orgN",-0.142857142857143,0.802777777777778,1,""
"V43","All","Simpson","sed_orgN",-0.371428571428571,0.497222222222222,1,""
"V44","All","InvSimpson","sed_orgN",-0.371428571428571,0.497222222222222,1,""
"V45","All","Fisher","sed_orgN",-0.142857142857143,0.802777777777778,1,""
"V46","All","Pielou","sed_orgN",0.0285714285714286,1,1,""
"V47","All","Coverage","sed_orgN",0.542857142857143,0.297222222222222,1,""
"V48","All","PD","sed_orgN",0.0857142857142857,0.919444444444444,1,""
"V49","All","Observed","sed_P",-0.428571428571429,0.419444444444444,1,""
"V50","All","Chao1","sed_P",-0.428571428571429,0.419444444444444,1,""
"V51","All","se.chao1","sed_P",0.6,0.241666666666667,1,""
"V52","All","ACE","sed_P",-0.428571428571429,0.419444444444444,1,""
"V53","All","se.ACE","sed_P",-0.371428571428571,0.497222222222222,1,""
"V54","All","Shannon","sed_P",-0.428571428571429,0.419444444444444,1,""
"V55","All","Simpson","sed_P",-0.371428571428571,0.497222222222222,1,""
"V56","All","InvSimpson","sed_P",-0.371428571428571,0.497222222222222,1,""
"V57","All","Fisher","sed_P",-0.428571428571429,0.419444444444444,1,""
"V58","All","Pielou","sed_P",-0.314285714285714,0.563888888888889,1,""
"V59","All","Coverage","sed_P",-0.485714285714286,0.355555555555556,1,""
"V60","All","PD","sed_P",-0.314285714285714,0.563888888888889,1,""
"V61","All","Observed","sed_K",0.6,0.241666666666667,1,""
"V62","All","Chao1","sed_K",0.6,0.241666666666667,1,""
"V63","All","se.chao1","sed_K",-0.314285714285714,0.563888888888889,1,""
"V64","All","ACE","sed_K",0.6,0.241666666666667,1,""
"V65","All","se.ACE","sed_K",0.542857142857143,0.297222222222222,1,""
"V66","All","Shannon","sed_K",0.6,0.241666666666667,1,""
"V67","All","Simpson","sed_K",0.542857142857143,0.297222222222222,1,""
"V68","All","InvSimpson","sed_K",0.542857142857143,0.297222222222222,1,""
"V69","All","Fisher","sed_K",0.6,0.241666666666667,1,""
"V70","All","Pielou","sed_K",0.657142857142857,0.175,1,""
"V71","All","Coverage","sed_K",0.371428571428571,0.497222222222222,1,""
"V72","All","PD","sed_K",0.257142857142857,0.658333333333333,1,""
"V73","All","Observed","sed_sand",0.333947207395404,0.51770020830544,1,""
"V74","All","Chao1","sed_sand",0.333947207395404,0.51770020830544,1,""
"V75","All","se.chao1","sed_sand",0.698253251826754,0.122839463373396,1,""
"V76","All","ACE","sed_sand",0.333947207395404,0.51770020830544,1,""
"V77","All","se.ACE","sed_sand",0.57681790368297,0.2307322519546,1,""
"V78","All","Shannon","sed_sand",0.333947207395404,0.51770020830544,1,""
"V79","All","Simpson","sed_sand",0.57681790368297,0.2307322519546,1,""
"V80","All","InvSimpson","sed_sand",0.57681790368297,0.2307322519546,1,""
"V81","All","Fisher","sed_sand",0.333947207395404,0.51770020830544,1,""
"V82","All","Pielou","sed_sand",0.333947207395404,0.51770020830544,1,""
"V83","All","Coverage","sed_sand",-0.698253251826754,0.122839463373396,1,""
"V84","All","PD","sed_sand",-0.151794185179729,0.774057503165657,1,""
"V85","All","Observed","sed_silt",0.0857142857142857,0.919444444444444,1,""
"V86","All","Chao1","sed_silt",0.0857142857142857,0.919444444444444,1,""
"V87","All","se.chao1","sed_silt",0.542857142857143,0.297222222222222,1,""
"V88","All","ACE","sed_silt",0.0857142857142857,0.919444444444444,1,""
"V89","All","se.ACE","sed_silt",-0.0285714285714286,1,1,""
"V90","All","Shannon","sed_silt",0.0857142857142857,0.919444444444444,1,""
"V91","All","Simpson","sed_silt",-0.0285714285714286,1,1,""
"V92","All","InvSimpson","sed_silt",-0.0285714285714286,1,1,""
"V93","All","Fisher","sed_silt",0.0857142857142857,0.919444444444444,1,""
"V94","All","Pielou","sed_silt",0.2,0.713888888888889,1,""
"V95","All","Coverage","sed_silt",-0.428571428571429,0.419444444444444,1,""
"V96","All","PD","sed_silt",0.2,0.713888888888889,1,""
"V97","All","Observed","sed_clay",-0.314285714285714,0.563888888888889,1,""
"V98","All","Chao1","sed_clay",-0.314285714285714,0.563888888888889,1,""
"V99","All","se.chao1","sed_clay",-0.885714285714286,0.0333333333333333,1,""
"V100","All","ACE","sed_clay",-0.314285714285714,0.563888888888889,1,""
"V101","All","se.ACE","sed_clay",-0.428571428571429,0.419444444444444,1,""
"V102","All","Shannon","sed_clay",-0.314285714285714,0.563888888888889,1,""
"V103","All","Simpson","sed_clay",-0.428571428571429,0.419444444444444,1,""
"V104","All","InvSimpson","sed_clay",-0.428571428571429,0.419444444444444,1,""
"V105","All","Fisher","sed_clay",-0.314285714285714,0.563888888888889,1,""
"V106","All","Pielou","sed_clay",-0.428571428571429,0.419444444444444,1,""
"V107","All","Coverage","sed_clay",0.771428571428571,0.102777777777778,1,""
"V108","All","PD","sed_clay",0.0285714285714286,1,1,""
