"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",0.657142857142857,0.175,0.547826086956522,""
"V2","All","Chao1","COND",0.657142857142857,0.175,0.547826086956522,""
"V3","All","se.chao1","COND",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V4","All","ACE","COND",0.657142857142857,0.175,0.547826086956522,""
"V5","All","se.ACE","COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V6","All","Shannon","COND",0.657142857142857,0.175,0.547826086956522,""
"V7","All","Simpson","COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V8","All","InvSimpson","COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V9","All","Fisher","COND",0.657142857142857,0.175,0.547826086956522,""
"V10","All","Pielou","COND",0.714285714285714,0.136111111111111,0.547826086956522,""
"V11","All","Coverage","COND",-0.0285714285714286,1,1,""
"V12","All","PD","COND",0.428571428571429,0.419444444444444,0.686363636363636,""
"V13","All","Observed","TDS",0.657142857142857,0.175,0.547826086956522,""
"V14","All","Chao1","TDS",0.657142857142857,0.175,0.547826086956522,""
"V15","All","se.chao1","TDS",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V16","All","ACE","TDS",0.657142857142857,0.175,0.547826086956522,""
"V17","All","se.ACE","TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V18","All","Shannon","TDS",0.657142857142857,0.175,0.547826086956522,""
"V19","All","Simpson","TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V20","All","InvSimpson","TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V21","All","Fisher","TDS",0.657142857142857,0.175,0.547826086956522,""
"V22","All","Pielou","TDS",0.714285714285714,0.136111111111111,0.547826086956522,""
"V23","All","Coverage","TDS",-0.0285714285714286,1,1,""
"V24","All","PD","TDS",0.428571428571429,0.419444444444444,0.686363636363636,""
"V25","All","Observed","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V26","All","Chao1","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V27","All","se.chao1","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V28","All","ACE","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V29","All","se.ACE","ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V30","All","Shannon","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V31","All","Simpson","ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V32","All","InvSimpson","ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V33","All","Fisher","ORP",-0.6,0.241666666666667,0.600000000000001,""
"V34","All","Pielou","ORP",-0.714285714285714,0.136111111111111,0.547826086956522,""
"V35","All","Coverage","ORP",0.485714285714286,0.355555555555556,0.62439024390244,""
"V36","All","PD","ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V37","All","Observed","pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V38","All","Chao1","pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V39","All","se.chao1","pH",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V40","All","ACE","pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V41","All","se.ACE","pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V42","All","Shannon","pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V43","All","Simpson","pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V44","All","InvSimpson","pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V45","All","Fisher","pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V46","All","Pielou","pH",-0.428571428571429,0.419444444444444,0.686363636363636,""
"V47","All","Coverage","pH",-0.142857142857143,0.802777777777778,0.959420289855072,""
"V48","All","PD","pH",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V49","All","Observed","salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
