"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.657142857142857,0.175,0.547826086956522,""
"V2","All","Chao1","water_COND",0.657142857142857,0.175,0.547826086956522,""
"V3","All","se.chao1","water_COND",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V4","All","ACE","water_COND",0.657142857142857,0.175,0.547826086956522,""
"V5","All","se.ACE","water_COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V6","All","Shannon","water_COND",0.657142857142857,0.175,0.547826086956522,""
"V7","All","Simpson","water_COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V8","All","InvSimpson","water_COND",0.485714285714286,0.355555555555556,0.62439024390244,""
"V9","All","Fisher","water_COND",0.657142857142857,0.175,0.547826086956522,""
"V10","All","Pielou","water_COND",0.714285714285714,0.136111111111111,0.547826086956522,""
"V11","All","Coverage","water_COND",-0.0285714285714286,1,1,""
"V12","All","PD","water_COND",0.428571428571429,0.419444444444444,0.686363636363636,""
"V13","All","Observed","water_TDS",0.657142857142857,0.175,0.547826086956522,""
"V14","All","Chao1","water_TDS",0.657142857142857,0.175,0.547826086956522,""
"V15","All","se.chao1","water_TDS",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V16","All","ACE","water_TDS",0.657142857142857,0.175,0.547826086956522,""
"V17","All","se.ACE","water_TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V18","All","Shannon","water_TDS",0.657142857142857,0.175,0.547826086956522,""
"V19","All","Simpson","water_TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V20","All","InvSimpson","water_TDS",0.485714285714286,0.355555555555556,0.62439024390244,""
"V21","All","Fisher","water_TDS",0.657142857142857,0.175,0.547826086956522,""
"V22","All","Pielou","water_TDS",0.714285714285714,0.136111111111111,0.547826086956522,""
"V23","All","Coverage","water_TDS",-0.0285714285714286,1,1,""
"V24","All","PD","water_TDS",0.428571428571429,0.419444444444444,0.686363636363636,""
"V25","All","Observed","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V26","All","Chao1","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V27","All","se.chao1","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V28","All","ACE","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V29","All","se.ACE","water_ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V30","All","Shannon","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V31","All","Simpson","water_ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V32","All","InvSimpson","water_ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V33","All","Fisher","water_ORP",-0.6,0.241666666666667,0.600000000000001,""
"V34","All","Pielou","water_ORP",-0.714285714285714,0.136111111111111,0.547826086956522,""
"V35","All","Coverage","water_ORP",0.485714285714286,0.355555555555556,0.62439024390244,""
"V36","All","PD","water_ORP",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V37","All","Observed","water_pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V38","All","Chao1","water_pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V39","All","se.chao1","water_pH",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V40","All","ACE","water_pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V41","All","se.ACE","water_pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V42","All","Shannon","water_pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V43","All","Simpson","water_pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V44","All","InvSimpson","water_pH",-0.0857142857142857,0.919444444444444,0.959420289855072,""
"V45","All","Fisher","water_pH",-0.371428571428571,0.497222222222222,0.691273686620261,""
"V46","All","Pielou","water_pH",-0.428571428571429,0.419444444444444,0.686363636363636,""
"V47","All","Coverage","water_pH",-0.142857142857143,0.802777777777778,0.959420289855072,""
"V48","All","PD","water_pH",-0.485714285714286,0.355555555555556,0.62439024390244,""
"V49","All","Observed","water_salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
"V50","All","Chao1","water_salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
"V51","All","se.chao1","water_salinity",0.0857142857142857,0.919444444444444,0.959420289855072,""
"V52","All","ACE","water_salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
"V53","All","se.ACE","water_salinity",0.714285714285714,0.136111111111111,0.547826086956522,""
"V54","All","Shannon","water_salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
"V55","All","Simpson","water_salinity",0.714285714285714,0.136111111111111,0.547826086956522,""
"V56","All","InvSimpson","water_salinity",0.714285714285714,0.136111111111111,0.547826086956522,""
"V57","All","Fisher","water_salinity",0.885714285714286,0.0333333333333333,0.479999999999999,""
"V58","All","Pielou","water_salinity",0.828571428571429,0.0583333333333333,0.547826086956522,""
"V59","All","Coverage","water_salinity",-0.142857142857143,0.802777777777778,0.959420289855072,""
"V60","All","PD","water_salinity",0.771428571428571,0.102777777777778,0.547826086956522,""
"V61","All","Observed","water_temperature",0.231908414260979,0.658373571260927,0.817291329841151,""
"V62","All","Chao1","water_temperature",0.231908414260979,0.658373571260927,0.817291329841151,""
