"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V2","All","Chao1","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V3","All","se.chao1","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V4","All","ACE","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V5","All","se.ACE","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V6","All","Shannon","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V7","All","Simpson","sed_pH",0.819688599970537,0.0458371412324532,0.450037386645904,""
"V8","All","InvSimpson","sed_pH",0.819688599970537,0.0458371412324532,0.450037386645904,""
"V9","All","Fisher","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V10","All","Pielou","sed_pH",0.516100229611079,0.294583741462461,0.713333333333333,""
"V11","All","Coverage","sed_pH",-0.94112394811432,0.00509754056486142,0.0611704867783375,""
"V12","All","PD","sed_pH",0.94112394811432,0.00509754056486146,0.0611704867783375,""
"V13","All","Observed","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V14","All","Chao1","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V15","All","se.chao1","sed_EC",-0.0869656553478673,0.869880378700103,0.945714285714285,""
"V16","All","ACE","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V17","All","se.ACE","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V18","All","Shannon","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V19","All","Simpson","sed_EC",0.579771035652448,0.227783956715016,0.585730174410041,""
"V20","All","InvSimpson","sed_EC",0.579771035652448,0.227783956715016,0.585730174410041,""
"V21","All","Fisher","sed_EC",0.202919862478357,0.699797968157019,0.89974024477331,""
"V22","All","Pielou","sed_EC",0.521793932087204,0.288343233800394,0.713333333333333,""
"V23","All","Coverage","sed_EC",0.0869656553478673,0.869880378700103,0.945714285714285,""
"V24","All","PD","sed_EC",0,1,1,""
"V25","All","Observed","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V26","All","Chao1","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V27","All","se.chao1","sed_OM",-0.142857142857143,0.802777777777778,0.945714285714285,""
"V28","All","ACE","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V29","All","se.ACE","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V30","All","Shannon","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V31","All","Simpson","sed_OM",-0.714285714285714,0.136111111111111,0.515953534563521,""
"V32","All","InvSimpson","sed_OM",-0.714285714285714,0.136111111111111,0.515953534563521,""
"V33","All","Fisher","sed_OM",-0.657142857142857,0.175,0.515953534563521,""
"V34","All","Pielou","sed_OM",-0.714285714285714,0.136111111111111,0.515953534563521,""
"V35","All","Coverage","sed_OM",0.142857142857143,0.802777777777778,0.945714285714285,""
"V36","All","PD","sed_OM",-0.428571428571429,0.419444444444444,0.789705882352941,""
"V37","All","Observed","sed_orgN",-0.657142857142857,0.175,0.515953534563521,""
"V38","All","Chao1","sed_orgN",-0.657142857142857,0.175,0.515953534563521,""
"V39","All","se.chao1","sed_orgN",-0.142857142857143,0.802777777777778,0.945714285714285,""
"V40","All","ACE","sed_orgN",-0.657142857142857,0.175,0.515953534563521,""
"V41","All","se.ACE","sed_orgN",-0.657142857142857,0.175,0.515953534563521,""
