"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V2","All","Chao1","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V3","All","se.chao1","water_COND",0.0285714285714286,1,1,""
"V4","All","ACE","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V5","All","se.ACE","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V6","All","Shannon","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V7","All","Simpson","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V8","All","InvSimpson","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V9","All","Fisher","water_COND",0.257142857142857,0.658333333333333,0.929411764705882,""
"V10","All","Pielou","water_COND",0.314285714285714,0.563888888888889,0.929411764705882,""
"V11","All","Coverage","water_COND",-0.0285714285714286,1,1,""
"V12","All","PD","water_COND",0.2,0.713888888888889,0.951851851851852,""
"V13","All","Observed","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V14","All","Chao1","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V15","All","se.chao1","water_TDS",0.0285714285714286,1,1,""
"V16","All","ACE","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V17","All","se.ACE","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V18","All","Shannon","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V19","All","Simpson","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V20","All","InvSimpson","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V21","All","Fisher","water_TDS",0.257142857142857,0.658333333333333,0.929411764705882,""
"V22","All","Pielou","water_TDS",0.314285714285714,0.563888888888889,0.929411764705882,""
"V23","All","Coverage","water_TDS",-0.0285714285714286,1,1,""
"V24","All","PD","water_TDS",0.2,0.713888888888889,0.951851851851852,""
"V25","All","Observed","water_ORP",-0.0285714285714286,1,1,""
"V26","All","Chao1","water_ORP",-0.0285714285714286,1,1,""
"V27","All","se.chao1","water_ORP",-0.428571428571429,0.419444444444444,0.929411764705882,""
"V28","All","ACE","water_ORP",-0.0285714285714286,1,1,""
"V29","All","se.ACE","water_ORP",-0.0285714285714286,1,1,""
"V30","All","Shannon","water_ORP",-0.0285714285714286,1,1,""
"V31","All","Simpson","water_ORP",0.0285714285714286,1,1,""
"V32","All","InvSimpson","water_ORP",0.0285714285714286,1,1,""
"V33","All","Fisher","water_ORP",-0.0285714285714286,1,1,""
"V34","All","Pielou","water_ORP",0.0857142857142857,0.919444444444444,1,""
"V35","All","Coverage","water_ORP",0.428571428571429,0.419444444444444,0.929411764705882,""
"V36","All","PD","water_ORP",-0.2,0.713888888888889,0.951851851851852,""
"V37","All","Observed","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V38","All","Chao1","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V39","All","se.chao1","water_pH",0.885714285714286,0.0333333333333333,0.929411764705882,""
"V40","All","ACE","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V41","All","se.ACE","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V42","All","Shannon","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V43","All","Simpson","water_pH",0.428571428571429,0.419444444444444,0.929411764705882,""
"V44","All","InvSimpson","water_pH",0.428571428571429,0.419444444444444,0.929411764705882,""
"V45","All","Fisher","water_pH",0.6,0.241666666666667,0.929411764705882,""
"V46","All","Pielou","water_pH",-0.0285714285714286,1,1,""
"V47","All","Coverage","water_pH",-0.885714285714286,0.0333333333333333,0.929411764705882,""
"V48","All","PD","water_pH",0.714285714285714,0.136111111111111,0.929411764705882,""
"V49","All","Observed","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V50","All","Chao1","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V51","All","se.chao1","water_salinity",0.257142857142857,0.658333333333333,0.929411764705882,""
"V52","All","ACE","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V53","All","se.ACE","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V54","All","Shannon","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V55","All","Simpson","water_salinity",0.314285714285714,0.563888888888889,0.929411764705882,""
"V56","All","InvSimpson","water_salinity",0.314285714285714,0.563888888888889,0.929411764705882,""
"V57","All","Fisher","water_salinity",0.428571428571429,0.419444444444444,0.929411764705882,""
"V58","All","Pielou","water_salinity",0.0857142857142857,0.919444444444444,1,""
"V59","All","Coverage","water_salinity",-0.257142857142857,0.658333333333333,0.929411764705882,""
"V60","All","PD","water_salinity",0.371428571428571,0.497222222222222,0.929411764705882,""
"V61","All","Observed","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V62","All","Chao1","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V63","All","se.chao1","water_temperature",0.657142857142857,0.175,0.929411764705882,""
"V64","All","ACE","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V65","All","se.ACE","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V66","All","Shannon","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V67","All","Simpson","water_temperature",-0.0857142857142857,0.919444444444444,1,""
"V68","All","InvSimpson","water_temperature",-0.0857142857142857,0.919444444444444,1,""
"V69","All","Fisher","water_temperature",0.371428571428571,0.497222222222222,0.929411764705882,""
"V70","All","Pielou","water_temperature",-0.142857142857143,0.802777777777778,1,""
"V71","All","Coverage","water_temperature",-0.657142857142857,0.175,0.929411764705882,""
"V72","All","PD","water_temperature",0.6,0.241666666666667,0.929411764705882,""
