"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0.529121102564532,0.0769043776350998,0.46455494920687,""
"V2","All","Chao1","sed_pH",0.529121102564532,0.0769043776350998,0.46455494920687,""
"V3","All","se.chao1","sed_pH",0.606725530940663,0.0364554743711062,0.46455494920687,""
"V4","All","ACE","sed_pH",0.567923316752597,0.0540660079902677,0.46455494920687,""
"V5","All","se.ACE","sed_pH",0.603198056923566,0.0378582447990736,0.46455494920687,""
"V6","All","Shannon","sed_pH",0.373912245812269,0.231172606981478,0.491437421734998,""
"V7","All","Simpson","sed_pH",0.321000135555816,0.308989115502768,0.530814870102105,""
"V8","All","InvSimpson","sed_pH",0.321000135555816,0.308989115502768,0.530814870102105,""
"V9","All","Fisher","sed_pH",0.529121102564532,0.0769043776350998,0.46455494920687,""
"V10","All","Pielou","sed_pH",0.134044012649681,0.677902166480942,0.831970840681156,""
"V11","All","Coverage","sed_pH",-0.652582693162922,0.0214309922242401,0.46455494920687,""
"V12","All","PD","sed_pH",0.455044148205497,0.137172201508843,0.46455494920687,""
"V13","All","Observed","sed_EC",-0.0595447498087594,0.854154624623348,0.913353459993283,""
"V14","All","Chao1","sed_EC",-0.0595447498087594,0.854154624623348,0.913353459993283,""
"V15","All","se.chao1","sed_EC",-0.20315267581812,0.526563052910977,0.704133649044607,""
"V16","All","ACE","sed_EC",-0.108581602592444,0.736943708354792,0.86384284537103,""
"V17","All","se.ACE","sed_EC",-0.171628984742895,0.59378680601684,0.755314045701771,""
"V18","All","Shannon","sed_EC",-0.0455342204419925,0.888252331652893,0.93073288627673,""
"V19","All","Simpson","sed_EC",-0.168126352401203,0.601453777132892,0.755314045701771,""
"V20","All","InvSimpson","sed_EC",-0.168126352401203,0.601453777132892,0.755314045701771,""
"V21","All","Fisher","sed_EC",-0.0595447498087594,0.854154624623348,0.913353459993283,""
"V22","All","Pielou","sed_EC",-0.115586867275827,0.72055456354042,0.863223026570915,""
"V23","All","Coverage","sed_EC",0.231173734551654,0.469732557172844,0.662916495740446,""
"V24","All","PD","sed_EC",0.0770579115172181,0.811858676333336,0.894701398408166,""
"V25","All","Observed","sed_OM",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V26","All","Chao1","sed_OM",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V27","All","se.chao1","sed_OM",-0.321678321678322,0.308312360549134,0.530814870102105,""
"V28","All","ACE","sed_OM",-0.454545454545455,0.140413038412287,0.46455494920687,""
"V29","All","se.ACE","sed_OM",-0.503496503496504,0.0987515700723274,0.46455494920687,""
"V30","All","Shannon","sed_OM",-0.461538461538462,0.133836315738433,0.46455494920687,""
"V31","All","Simpson","sed_OM",-0.573426573426573,0.0554813240816213,0.46455494920687,""
"V32","All","InvSimpson","sed_OM",-0.573426573426573,0.0554813240816213,0.46455494920687,""
"V33","All","Fisher","sed_OM",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V34","All","Pielou","sed_OM",-0.496503496503497,0.104092832873526,0.46455494920687,""
"V35","All","Coverage","sed_OM",0.405594405594406,0.192612183946047,0.46455494920687,""
"V36","All","PD","sed_OM",-0.230769230769231,0.470905693526396,0.662916495740446,""
"V37","All","Observed","sed_orgN",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V38","All","Chao1","sed_orgN",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V39","All","se.chao1","sed_orgN",-0.321678321678322,0.308312360549134,0.530814870102105,""
"V40","All","ACE","sed_orgN",-0.454545454545455,0.140413038412287,0.46455494920687,""
"V41","All","se.ACE","sed_orgN",-0.503496503496504,0.0987515700723274,0.46455494920687,""
"V42","All","Shannon","sed_orgN",-0.461538461538462,0.133836315738433,0.46455494920687,""
"V43","All","Simpson","sed_orgN",-0.573426573426573,0.0554813240816213,0.46455494920687,""
"V44","All","InvSimpson","sed_orgN",-0.573426573426573,0.0554813240816213,0.46455494920687,""
"V45","All","Fisher","sed_orgN",-0.391608391608392,0.209564351836237,0.46455494920687,""
"V46","All","Pielou","sed_orgN",-0.496503496503497,0.104092832873526,0.46455494920687,""
"V47","All","Coverage","sed_orgN",0.405594405594406,0.192612183946047,0.46455494920687,""
"V48","All","PD","sed_orgN",-0.230769230769231,0.470905693526396,0.662916495740446,""
"V49","All","Observed","sed_P",0.223776223776224,0.484911140402734,0.662916495740446,""
"V50","All","Chao1","sed_P",0.223776223776224,0.484911140402734,0.662916495740446,""
"V51","All","se.chao1","sed_P",0.314685314685315,0.319471912561452,0.530814870102105,""
"V52","All","ACE","sed_P",0.27972027972028,0.378709233642039,0.610456675124481,""
"V53","All","se.ACE","sed_P",0.286713286713287,0.366408456111988,0.599577473637799,""
"V54","All","Shannon","sed_P",0.41958041958042,0.176577010697551,0.46455494920687,""
"V55","All","Simpson","sed_P",0.468531468531469,0.127472652576309,0.46455494920687,""
"V56","All","InvSimpson","sed_P",0.468531468531469,0.127472652576309,0.46455494920687,""
"V57","All","Fisher","sed_P",0.223776223776224,0.484911140402734,0.662916495740446,""
"V58","All","Pielou","sed_P",0.363636363636364,0.246255228012161,0.511453165871411,""
"V59","All","Coverage","sed_P",-0.356643356643357,0.256012537309024,0.52168592508254,""
"V60","All","PD","sed_P",0.188811188811189,0.557827775088338,0.734699996457811,""
"V61","All","Observed","sed_K",0.244755244755245,0.443504275627885,0.662916495740446,""
"V62","All","Chao1","sed_K",0.244755244755245,0.443504275627885,0.662916495740446,""
"V63","All","se.chao1","sed_K",-0.0979020979020979,0.766288456385056,0.871148981995643,""
"V64","All","ACE","sed_K",0.202797202797203,0.528100236783455,0.704133649044607,""
"V65","All","se.ACE","sed_K",0.181818181818182,0.572958221209956,0.745535998682834,""
"V66","All","Shannon","sed_K",0.244755244755245,0.443504275627885,0.662916495740446,""
"V67","All","Simpson","sed_K",0.328671328671329,0.297385077720106,0.530814870102105,""
"V68","All","InvSimpson","sed_K",0.328671328671329,0.297385077720106,0.530814870102105,""
"V69","All","Fisher","sed_K",0.244755244755245,0.443504275627885,0.662916495740446,""
"V70","All","Pielou","sed_K",0.447552447552448,0.147205377767155,0.46455494920687,""
"V71","All","Coverage","sed_K",0.153846153846154,0.635139955377586,0.788449599779072,""
"V72","All","PD","sed_K",0.0979020979020979,0.766288456385056,0.871148981995643,""
"V73","All","Observed","sed_sand",0.316909266841799,0.315543603616405,0.530814870102105,""
"V74","All","Chao1","sed_sand",0.316909266841799,0.315543603616405,0.530814870102105,""
"V75","All","se.chao1","sed_sand",0.345078979449959,0.271964979807583,0.530814870102105,""
"V76","All","ACE","sed_sand",0.373248692058119,0.23206767137486,0.491437421734998,""
"V77","All","se.ACE","sed_sand",0.401418404666279,0.195884142069873,0.46455494920687,""
"V78","All","Shannon","sed_sand",0.436630545426479,0.155848725260584,0.46455494920687,""
"V79","All","Simpson","sed_sand",0.535224539555039,0.0729392408466441,0.46455494920687,""
"V80","All","InvSimpson","sed_sand",0.535224539555039,0.0729392408466441,0.46455494920687,""
"V81","All","Fisher","sed_sand",0.316909266841799,0.315543603616405,0.530814870102105,""
"V82","All","Pielou","sed_sand",0.521139683250959,0.0823084663390416,0.46455494920687,""
"V83","All","Coverage","sed_sand",-0.401418404666279,0.195884142069873,0.46455494920687,""
"V84","All","PD","sed_sand",0.23240012901732,0.467312644206468,0.662916495740446,""
"V85","All","Observed","sed_silt",0.0281697126081599,0.930749393226466,0.939447985686526,""
"V86","All","Chao1","sed_silt",0.0281697126081599,0.930749393226466,0.939447985686526,""
"V87","All","se.chao1","sed_silt",0.1056364222806,0.743864672402831,0.86384284537103,""
"V88","All","ACE","sed_silt",-0.0422545689122399,0.89626129789611,0.93073288627673,""
"V89","All","se.ACE","sed_silt",-0.0774667096724398,0.810876457198891,0.894701398408166,""
"V90","All","Shannon","sed_silt",-0.0422545689122399,0.89626129789611,0.93073288627673,""
"V91","All","Simpson","sed_silt",-0.11267885043264,0.727345327944012,0.863223026570915,""
"V92","All","InvSimpson","sed_silt",-0.11267885043264,0.727345327944012,0.863223026570915,""
"V93","All","Fisher","sed_silt",0.0281697126081599,0.930749393226466,0.939447985686526,""
"V94","All","Pielou","sed_silt",-0.22535770086528,0.481287412946627,0.662916495740446,""
"V95","All","Coverage","sed_silt",-0.01408485630408,0.965347215766319,0.965347215766319,""
"V96","All","PD","sed_silt",0.0915515659765198,0.777196289457806,0.874345825640032,""
"V97","All","Observed","sed_clay",-0.38947608173149,0.210770301029043,0.46455494920687,""
"V98","All","Chao1","sed_clay",-0.38947608173149,0.210770301029043,0.46455494920687,""
"V99","All","se.chao1","sed_clay",-0.463160745842853,0.129422497945027,0.46455494920687,""
"V100","All","ACE","sed_clay",-0.43158160408084,0.161238466646785,0.46455494920687,""
"V101","All","se.ACE","sed_clay",-0.44561677819729,0.146542947842794,0.46455494920687,""
"V102","All","Shannon","sed_clay",-0.508775061721315,0.0911807984177606,0.46455494920687,""
"V103","All","Simpson","sed_clay",-0.589477312890903,0.043681259295169,0.46455494920687,""
"V104","All","InvSimpson","sed_clay",-0.589477312890903,0.043681259295169,0.46455494920687,""
"V105","All","Fisher","sed_clay",-0.38947608173149,0.210770301029043,0.46455494920687,""
"V106","All","Pielou","sed_clay",-0.547371790541553,0.0654697318419984,0.46455494920687,""
"V107","All","Coverage","sed_clay",0.491231094075753,0.104843158477306,0.46455494920687,""
"V108","All","PD","sed_clay",-0.329826591736577,0.295107512568048,0.530814870102105,""
