"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.377622377622378,0.227443132465378,0.45162350976229,""
"V2","All","Chao1","water_COND",0.377622377622378,0.227443132465378,0.45162350976229,""
"V3","All","se.chao1","water_COND",0.223776223776224,0.484911140402734,0.554184160460269,""
"V4","All","ACE","water_COND",0.433566433566434,0.161446426349823,0.45162350976229,""
"V5","All","se.ACE","water_COND",0.405594405594406,0.192612183946047,0.45162350976229,""
"V6","All","Shannon","water_COND",0.573426573426573,0.0554813240816213,0.332887944489728,""
"V7","All","Simpson","water_COND",0.608391608391608,0.0400020487886457,0.329422320622755,""
"V8","All","InvSimpson","water_COND",0.608391608391608,0.0400020487886457,0.329422320622755,""
"V9","All","Fisher","water_COND",0.377622377622378,0.227443132465378,0.45162350976229,""
"V10","All","Pielou","water_COND",0.594405594405594,0.0457531000864937,0.329422320622755,""
"V11","All","Coverage","water_COND",-0.272727272727273,0.391232746026155,0.519398561925037,""
"V12","All","PD","water_COND",0.27972027972028,0.378709233642039,0.519398561925037,""
"V13","All","Observed","water_TDS",0.377622377622378,0.227443132465378,0.45162350976229,""
"V14","All","Chao1","water_TDS",0.377622377622378,0.227443132465378,0.45162350976229,""
"V15","All","se.chao1","water_TDS",0.223776223776224,0.484911140402734,0.554184160460269,""
"V16","All","ACE","water_TDS",0.433566433566434,0.161446426349823,0.45162350976229,""
"V17","All","se.ACE","water_TDS",0.405594405594406,0.192612183946047,0.45162350976229,""
"V18","All","Shannon","water_TDS",0.573426573426573,0.0554813240816213,0.332887944489728,""
"V19","All","Simpson","water_TDS",0.608391608391608,0.0400020487886457,0.329422320622755,""
"V20","All","InvSimpson","water_TDS",0.608391608391608,0.0400020487886457,0.329422320622755,""
"V21","All","Fisher","water_TDS",0.377622377622378,0.227443132465378,0.45162350976229,""
"V22","All","Pielou","water_TDS",0.594405594405594,0.0457531000864937,0.329422320622755,""
"V23","All","Coverage","water_TDS",-0.272727272727273,0.391232746026155,0.519398561925037,""
"V24","All","PD","water_TDS",0.27972027972028,0.378709233642039,0.519398561925037,""
"V25","All","Observed","water_ORP",-0.265734265734266,0.403976659275029,0.519398561925037,""
"V26","All","Chao1","water_ORP",-0.265734265734266,0.403976659275029,0.519398561925037,""
"V27","All","se.chao1","water_ORP",-0.307692307692308,0.330862674250893,0.517872011870963,""
"V28","All","ACE","water_ORP",-0.244755244755245,0.443504275627885,0.554184160460269,""
"V29","All","se.ACE","water_ORP",-0.223776223776224,0.484911140402735,0.554184160460269,""
"V30","All","Shannon","water_ORP",-0.41958041958042,0.176577010697551,0.45162350976229,""
"V31","All","Simpson","water_ORP",-0.524475524475525,0.0838845872329148,0.389198589523473,""
"V32","All","InvSimpson","water_ORP",-0.524475524475525,0.0838845872329148,0.389198589523473,""
"V33","All","Fisher","water_ORP",-0.265734265734266,0.403976659275029,0.519398561925037,""
"V34","All","Pielou","water_ORP",-0.454545454545455,0.140413038412287,0.45162350976229,""
"V35","All","Coverage","water_ORP",0.272727272727273,0.391232746026155,0.519398561925037,""
"V36","All","PD","water_ORP",-0.230769230769231,0.470905693526396,0.554184160460269,""
"V37","All","Observed","water_pH",0,1,1,""
"V38","All","Chao1","water_pH",0,1,1,""
"V39","All","se.chao1","water_pH",0.241681631576729,0.449188744038428,0.554184160460269,""
"V40","All","ACE","water_pH",0.0210157940501504,0.948311888497252,0.989542840171046,""
"V41","All","se.ACE","water_pH",0.0980737055673685,0.761715327826085,0.856929743804346,""
"V42","All","Shannon","water_pH",-0.0420315881003008,0.896806151754385,0.963731983974862,""
"V43","All","Simpson","water_pH",-0.0735552791755264,0.820284525702442,0.894855846220846,""
"V44","All","InvSimpson","water_pH",-0.0735552791755264,0.820284525702442,0.894855846220846,""
"V45","All","Fisher","water_pH",0,1,1,""
"V46","All","Pielou","water_pH",-0.266200057968572,0.40297832764889,0.519398561925037,""
"V47","All","Coverage","water_pH",-0.280210587335338,0.377698156076668,0.519398561925037,""
"V48","All","PD","water_pH",0.0315236910752256,0.92252486452154,0.976791033022807,""
"V49","All","Observed","water_salinity",0.493871160178534,0.102705183346472,0.389198589523473,""
"V50","All","Chao1","water_salinity",0.493871160178534,0.102705183346472,0.389198589523473,""
"V51","All","se.chao1","water_salinity",0.311734278410564,0.323943941249951,0.517872011870963,""
"V52","All","ACE","water_salinity",0.542908012962218,0.0681500850864122,0.377446625093975,""
"V53","All","se.ACE","water_salinity",0.511384321886993,0.0892571722151938,0.389198589523473,""
"V54","All","Shannon","water_salinity",0.630473821504512,0.0279602596510263,0.329422320622755,""
"V55","All","Simpson","water_salinity",0.64798698321297,0.022685763799563,0.329422320622755,""
"V56","All","InvSimpson","water_salinity",0.64798698321297,0.022685763799563,0.329422320622755,""
"V57","All","Fisher","water_salinity",0.493871160178534,0.102705183346472,0.389198589523473,""
"V58","All","Pielou","water_salinity",0.584939601062519,0.0457390744101121,0.329422320622755,""
"V59","All","Coverage","water_salinity",-0.367776395877632,0.239527868995875,0.45162350976229,""
"V60","All","PD","water_salinity",0.416813248661316,0.177675373725206,0.45162350976229,""
"V61","All","Observed","water_temperature",0.350879352911252,0.263447047361336,0.45162350976229,""
"V62","All","Chao1","water_temperature",0.350879352911252,0.263447047361336,0.45162350976229,""
"V63","All","se.chao1","water_temperature",0.368423320556815,0.238638628357289,0.45162350976229,""
"V64","All","ACE","water_temperature",0.410528842906165,0.184975414150198,0.45162350976229,""
"V65","All","se.ACE","water_temperature",0.449125571726403,0.143008567142138,0.45162350976229,""
"V66","All","Shannon","water_temperature",0.336844178794802,0.284326150651609,0.476080996439903,""
"V67","All","Simpson","water_temperature",0.36140573349859,0.248389384349584,0.45162350976229,""
"V68","All","InvSimpson","water_temperature",0.36140573349859,0.248389384349584,0.45162350976229,""
"V69","All","Fisher","water_temperature",0.350879352911252,0.263447047361336,0.45162350976229,""
"V70","All","Pielou","water_temperature",0.238597959979651,0.455172655470345,0.554184160460269,""
"V71","All","Coverage","water_temperature",-0.463160745842853,0.129422497945027,0.45162350976229,""
"V72","All","PD","water_temperature",0.308773830561902,0.328803940100449,0.517872011870963,""
