"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","sed_pH",0.322800343696785,0.123927891709659,0.743567350257954,""
"V2","All","Chao1","sed_pH",0.331595993388796,0.113438469848162,0.743567350257954,""
"V3","All","se.chao1","sed_pH",0.455614654046144,0.0252596048523533,0.743567350257954,""
"V4","All","ACE","sed_pH",0.341271208050007,0.102667722774064,0.743567350257954,""
"V5","All","se.ACE","sed_pH",0.314884258973976,0.133954635610743,0.761426349787381,""
"V6","All","Shannon","sed_pH",0.270026445544722,0.201920750666189,0.778837181141015,""
"V7","All","Simpson","sed_pH",0.196142988131834,0.358319990841759,0.912380104565564,""
"V8","All","InvSimpson","sed_pH",0.196142988131834,0.358319990841759,0.912380104565564,""
"V9","All","Fisher","sed_pH",0.322800343696785,0.123927891709659,0.743567350257954,""
"V10","All","Pielou","sed_pH",0.13369387531856,0.533412546379363,0.912380104565564,""
"V11","All","Coverage","sed_pH",-0.412255468561258,0.0453000411649713,0.743567350257954,""
"V12","All","PD","sed_pH",0.286738179959542,0.174316575968044,0.769040984279682,""
"V13","All","Observed","sed_EC",0.0436685386314793,0.839442183965449,0.912380104565564,""
"V14","All","Chao1","sed_EC",0.0375549432230722,0.861692320978588,0.912380104565564,""
"V15","All","se.chao1","sed_EC",-0.155459997528066,0.468227101366268,0.912380104565564,""
"V16","All","ACE","sed_EC",0.025327752406258,0.906483866754148,0.941348630860077,""
"V17","All","se.ACE","sed_EC",0.0873370772629586,0.684890575437411,0.912380104565564,""
"V18","All","Shannon","sed_EC",0.124018649713401,0.563691419527626,0.912380104565564,""
"V19","All","Simpson","sed_EC",0.215722580839508,0.311352661824607,0.912380104565564,""
"V20","All","InvSimpson","sed_EC",0.215722580839508,0.311352661824607,0.912380104565564,""
"V21","All","Fisher","sed_EC",0.0436685386314793,0.839442183965449,0.912380104565564,""
"V22","All","Pielou","sed_EC",0.171180671435399,0.423842955789108,0.912380104565564,""
"V23","All","Coverage","sed_EC",0.134557615019478,0.530747154982945,0.912380104565564,""
"V24","All","PD","sed_EC",0.120525166622883,0.574810124915331,0.912380104565564,""
"V25","All","Observed","sed_OM",-0.0802095158542079,0.709469147745088,0.912380104565564,""
"V26","All","Chao1","sed_OM",-0.0924153117450657,0.667564545518576,0.912380104565564,""
"V27","All","se.chao1","sed_OM",-0.329556489053159,0.115810681703371,0.743567350257954,""
"V28","All","ACE","sed_OM",-0.108108477890454,0.615086603752973,0.912380104565564,""
"V29","All","se.ACE","sed_OM",-0.0680037199633502,0.752207614160519,0.912380104565564,""
"V30","All","Shannon","sed_OM",-0.071491090217881,0.739918140702466,0.912380104565564,""
"V31","All","Simpson","sed_OM",-0.0540542389452271,0.801924555447483,0.912380104565564,""
"V32","All","InvSimpson","sed_OM",-0.0540542389452271,0.801924555447483,0.912380104565564,""
"V33","All","Fisher","sed_OM",-0.0802095158542079,0.709469147745088,0.912380104565564,""
"V34","All","Pielou","sed_OM",-0.0540542389452271,0.801924555447483,0.912380104565564,""
"V35","All","Coverage","sed_OM",0.327955424251947,0.117698172153717,0.743567350257954,""
"V36","All","PD","sed_OM",0.0104621107635923,0.961302865166811,0.970287004093603,""
"V37","All","Observed","sed_orgN",-0.0802095158542079,0.709469147745088,0.912380104565564,""
"V38","All","Chao1","sed_orgN",-0.0924153117450657,0.667564545518576,0.912380104565564,""
"V39","All","se.chao1","sed_orgN",-0.329556489053159,0.115810681703371,0.743567350257954,""
"V40","All","ACE","sed_orgN",-0.108108477890454,0.615086603752973,0.912380104565564,""
