"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","COND",0.0295652173913043,0.8916241654299,0.985400022669067,""
"V2","All","Chao1","COND",0.0530434782608696,0.805567495863948,0.985400022669067,""
"V3","All","se.chao1","COND",0.362608695652174,0.0823042845164241,0.408963402958094,""
"V4","All","ACE","COND",0.0669565217391304,0.755542652153825,0.985400022669067,""
"V5","All","se.ACE","COND",0.0173913043478261,0.936793025867031,0.985400022669067,""
"V6","All","Shannon","COND",0.0469565217391304,0.827706233654388,0.985400022669067,""
"V7","All","Simpson","COND",-0.0243478260869565,0.910949596045463,0.985400022669067,""
"V8","All","InvSimpson","COND",-0.0243478260869565,0.910949596045463,0.985400022669067,""
"V9","All","Fisher","COND",0.0295652173913043,0.8916241654299,0.985400022669067,""
"V10","All","Pielou","COND",0.0478260869565217,0.824535163728511,0.985400022669067,""
"V11","All","Coverage","COND",-0.352762103836787,0.0908807562129098,0.408963402958094,""
"V12","All","PD","COND",-0.0434782608695652,0.840416741309411,0.985400022669067,""
"V13","All","Observed","TDS",0.0782608695652174,0.715592731145311,0.985400022669067,""
"V14","All","Chao1","TDS",0.103478260869565,0.629225087450047,0.985400022669067,""
"V15","All","se.chao1","TDS",0.364347826086956,0.0807636087528708,0.408963402958094,""
"V16","All","ACE","TDS",0.118260869565217,0.580664390461,0.985400022669067,""
"V17","All","se.ACE","TDS",0.0634782608695652,0.767966446297045,0.985400022669067,""
"V18","All","Shannon","TDS",0.0895652173913043,0.676369394346365,0.985400022669067,""
"V19","All","Simpson","TDS",0.00608695652173913,0.978912358716292,0.985400022669067,""
"V20","All","InvSimpson","TDS",0.00608695652173913,0.978912358716292,0.985400022669067,""
"V21","All","Fisher","TDS",0.0782608695652174,0.715592731145311,0.985400022669067,""
"V22","All","Pielou","TDS",0.0878260869565217,0.682352776944699,0.985400022669067,""
"V23","All","Coverage","TDS",-0.383645099363806,0.0642156805880656,0.385294083528394,""
"V24","All","PD","TDS",0.00434782608695652,0.985400022669067,0.985400022669067,""
"V25","All","Observed","ORP",-0.0843478260869565,0.69437629919391,0.985400022669067,""
"V26","All","Chao1","ORP",-0.1,0.640886391280248,0.985400022669067,""
"V27","All","se.chao1","ORP",-0.389565217391304,0.0608243234839344,0.385294083528394,""
"V28","All","ACE","ORP",-0.0947826086956522,0.658536598621085,0.985400022669067,""
"V29","All","se.ACE","ORP",-0.011304347826087,0.959458946195308,0.985400022669067,""
"V30","All","Shannon","ORP",0.00782608695652174,0.972426019818546,0.985400022669067,""
"V31","All","Simpson","ORP",0.0956521739130435,0.65558199262205,0.985400022669067,""
"V32","All","InvSimpson","ORP",0.0956521739130435,0.65558199262205,0.985400022669067,""
"V33","All","Fisher","ORP",-0.0843478260869565,0.69437629919391,0.985400022669067,""
"V34","All","Pielou","ORP",0.0321739130434783,0.881983643334045,0.985400022669067,""
"V35","All","Coverage","ORP",0.356241877980677,0.0875193384319352,0.408963402958094,""
"V36","All","PD","ORP",0.0173913043478261,0.936793025867031,0.985400022669067,""
"V37","All","Observed","pH",0.184863001394124,0.387158215027991,0.985400022669067,""
"V38","All","Chao1","pH",0.169204017746622,0.429294188757639,0.985400022669067,""
"V39","All","se.chao1","pH",0.0243584190072258,0.910048456648922,0.985400022669067,""
"V40","All","ACE","pH",0.171813848354539,0.422104773972926,0.985400022669067,""
"V41","All","se.ACE","pH",0.183123114322179,0.391720355672922,0.985400022669067,""
"V42","All","Shannon","pH",0.130926502163838,0.541994434931008,0.985400022669067,""
"V43","All","Simpson","pH",0.133101361003769,0.535244601062558,0.985400022669067,""
"V44","All","InvSimpson","pH",0.133101361003769,0.535244601062558,0.985400022669067,""
"V45","All","Fisher","pH",0.184863001394124,0.387158215027991,0.985400022669067,""
"V46","All","Pielou","pH",0.0443671203345898,0.83690698499861,0.985400022669067,""
"V47","All","Coverage","pH",-0.129242819843342,0.547246825980124,0.985400022669067,""
"V48","All","PD","pH",0.191387577913917,0.370320724162249,0.985400022669067,""
"V49","All","Observed","salinity",-0.108719289371577,0.613078539719143,0.985400022669067,""
"V50","All","Chao1","salinity",-0.0895846944421797,0.677202457167463,0.985400022669067,""
