"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","water_COND",0.0295652173913043,0.8916241654299,0.985400022669067,""
"V2","All","Chao1","water_COND",0.0530434782608696,0.805567495863948,0.985400022669067,""
"V3","All","se.chao1","water_COND",0.362608695652174,0.0823042845164241,0.408963402958094,""
"V4","All","ACE","water_COND",0.0669565217391304,0.755542652153825,0.985400022669067,""
"V5","All","se.ACE","water_COND",0.0173913043478261,0.936793025867031,0.985400022669067,""
"V6","All","Shannon","water_COND",0.0469565217391304,0.827706233654388,0.985400022669067,""
"V7","All","Simpson","water_COND",-0.0243478260869565,0.910949596045463,0.985400022669067,""
"V8","All","InvSimpson","water_COND",-0.0243478260869565,0.910949596045463,0.985400022669067,""
"V9","All","Fisher","water_COND",0.0295652173913043,0.8916241654299,0.985400022669067,""
"V10","All","Pielou","water_COND",0.0478260869565217,0.824535163728511,0.985400022669067,""
"V11","All","Coverage","water_COND",-0.352762103836787,0.0908807562129098,0.408963402958094,""
"V12","All","PD","water_COND",-0.0434782608695652,0.840416741309411,0.985400022669067,""
"V13","All","Observed","water_TDS",0.0782608695652174,0.715592731145311,0.985400022669067,""
"V14","All","Chao1","water_TDS",0.103478260869565,0.629225087450047,0.985400022669067,""
"V15","All","se.chao1","water_TDS",0.364347826086956,0.0807636087528708,0.408963402958094,""
"V16","All","ACE","water_TDS",0.118260869565217,0.580664390461,0.985400022669067,""
"V17","All","se.ACE","water_TDS",0.0634782608695652,0.767966446297045,0.985400022669067,""
"V18","All","Shannon","water_TDS",0.0895652173913043,0.676369394346365,0.985400022669067,""
"V19","All","Simpson","water_TDS",0.00608695652173913,0.978912358716292,0.985400022669067,""
"V20","All","InvSimpson","water_TDS",0.00608695652173913,0.978912358716292,0.985400022669067,""
"V21","All","Fisher","water_TDS",0.0782608695652174,0.715592731145311,0.985400022669067,""
"V22","All","Pielou","water_TDS",0.0878260869565217,0.682352776944699,0.985400022669067,""
"V23","All","Coverage","water_TDS",-0.383645099363806,0.0642156805880656,0.385294083528394,""
"V24","All","PD","water_TDS",0.00434782608695652,0.985400022669067,0.985400022669067,""
"V25","All","Observed","water_ORP",-0.0843478260869565,0.69437629919391,0.985400022669067,""
"V26","All","Chao1","water_ORP",-0.1,0.640886391280248,0.985400022669067,""
"V27","All","se.chao1","water_ORP",-0.389565217391304,0.0608243234839344,0.385294083528394,""
"V28","All","ACE","water_ORP",-0.0947826086956522,0.658536598621085,0.985400022669067,""
"V29","All","se.ACE","water_ORP",-0.011304347826087,0.959458946195308,0.985400022669067,""
"V30","All","Shannon","water_ORP",0.00782608695652174,0.972426019818546,0.985400022669067,""
"V31","All","Simpson","water_ORP",0.0956521739130435,0.65558199262205,0.985400022669067,""
