"","by_group","Taxa","Env","Correlation","Pvalue","AdjPvalue","Significance"
"V1","All","Observed","latitude",0.10985216301772,0.609361327074267,0.992494469951698,""
"V2","All","Chao1","latitude",0.116826903526781,0.586684510507442,0.992494469951698,""
"V3","All","se.chao1","latitude",0.369661246980263,0.0754242602141498,0.683233451226018,""
"V4","All","ACE","latitude",0.123801644035843,0.56437926588471,0.992494469951698,""
"V5","All","se.ACE","latitude",0.0523105538179617,0.808196238487916,0.992494469951698,""
"V6","All","Shannon","latitude",0.0592852943270232,0.783182024189852,0.992494469951698,""
"V7","All","Simpson","latitude",-0.0505668686906963,0.814479404577763,0.992494469951698,""
"V8","All","InvSimpson","latitude",-0.0505668686906963,0.814479404577763,0.992494469951698,""
"V9","All","Fisher","latitude",0.10985216301772,0.609361327074267,0.992494469951698,""
"V10","All","Pielou","latitude",0.0470794984361655,0.827078724959748,0.992494469951698,""
"V11","All","Coverage","latitude",-0.358483189807315,0.0854041814032523,0.683233451226018,""
"V12","All","PD","latitude",0.00174368512726539,0.993548189627966,1,""
"V13","All","Observed","longitude",-0.0680037199633502,0.752207614160519,0.992494469951698,""
"V14","All","Chao1","longitude",-0.0662600348360848,0.758374535983458,0.992494469951698,""
"V15","All","se.chao1","longitude",-0.366173876725732,0.078437694590268,0.683233451226018,""
"V16","All","ACE","longitude",-0.0680037199633502,0.752207614160519,0.992494469951698,""
"V17","All","se.ACE","longitude",0.00348737025453078,0.987096771570372,1,""
"V18","All","Shannon","longitude",0,1,1,""
"V19","All","Simpson","longitude",0.0645163497088194,0.764555787324896,0.992494469951698,""
"V20","All","InvSimpson","longitude",0.0645163497088194,0.764555787324896,0.992494469951698,""
"V21","All","Fisher","longitude",-0.0680037199633502,0.752207614160519,0.992494469951698,""
"V22","All","Pielou","longitude",-0.00523105538179617,0.980646138077246,1,""
"V23","All","Coverage","longitude",0.317488761775821,0.130593419159312,0.783560514955872,""
"V24","All","PD","longitude",0.0540542389452271,0.801924555447483,0.992494469951698,""
