"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","PD"
"FCBAG1",1650,1685.40875912409,9.78107523324731,1681.41961460802,19.7120783017531,6.79563791424646,0.997090848072562,343.742789975494,419.536997748423,0.917272035646731,0.995285714285714,162.19002625
"FCBAG2",1787,1841.57746478873,13.0956010127395,1827.594832488,20.2923389401342,6.96981686104531,0.998326113378685,597.412027353614,466.772158914617,0.930761707849125,0.994047619047619,168.082744335
"FCBAG3",1744,1812.05670103093,14.3587091821088,1809.20791411292,19.7578495389603,6.71004961566007,0.997115986394558,346.73900224083,451.767207693014,0.898996062164103,0.992238095238095,165.854422102
"FCBAG4",1421,1455.23711340206,10.2021593841719,1446.69585093026,18.4788258472679,6.65264440753841,0.997633274376417,422.524685597561,344.32059419401,0.91645377896473,0.996095238095238,152.809557281
"FCBAG5",1615,1665.41666666667,12.3561671266934,1657.30801546023,19.4556050337543,6.77113162004872,0.997802145124717,454.989094705825,407.737168695594,0.916616882160872,0.994238095238095,162.905594643
"FCBAG6",1411,1464.70422535211,12.9486077285557,1462.22029656561,18.4100303562639,6.50884456580647,0.997123646258503,347.662384349044,341.143549846043,0.897517394247121,0.994095238095238,144.62801768
"FEZAG1",1180,1227.46774193548,12.2042876038882,1224.61978929816,16.6961972087706,5.9590059964174,0.992653941043084,136.127412788939,270.298841940899,0.842468368159092,0.994809523809524,113.862500733
"FEZAG2",1480,1582.94375,20.0739013830148,1561.97553641597,18.3955365117624,6.23415569257345,0.994176285714286,171.71172055144,363.249158919991,0.854017636292559,0.991333333333333,130.092328746
"FEZAG3",1365,1423.66153846154,14.0298930428601,1414.53214266525,18.0418179546909,6.3560109330387,0.995568707482993,225.667792447037,326.646027083356,0.88046688356974,0.994095238095238,130.938964017
"FEZAG4",1851,1962.2736318408,20.1815619430586,1941.99223629819,20.2595876392082,6.7695242564194,0.997042439909297,338.11654516961,489.408236447345,0.899786146222753,0.989904761904762,173.694424746
"FEZAG5",1219,1263.89743589744,11.8756304031225,1258.06250276527,16.9065256277512,5.90272264566694,0.987850979591837,82.3111630735324,281.914250372717,0.830692415745117,0.995095238095238,111.75870431
"FEZAG6",1420,1496.51898734177,16.2617372191379,1488.16413420712,17.9131345130621,6.05318655177866,0.984715455782313,65.4255688463914,344.002482182358,0.833954648232837,0.992571428571429,134.519943723
"SCBAG1",861,914.65625,14.0482870909592,909.753175166196,14.3931165196092,5.40536981898317,0.988512825396825,87.0536084411601,180.73813194888,0.79983637628058,0.995142857142857,95.487287645
"SCBAG2",914,942.835443037975,9.42709541640444,939.694941972667,14.9696643469949,5.65505643028183,0.98857177324263,87.5026389684768,194.929257198015,0.82945100659427,0.996761904761905,103.811809015
"SCBAG3",1186,1255.73404255319,17.0746492685461,1234.82718741008,17.1176083003873,6.16430082663222,0.99449168707483,181.543789102927,272.076590741853,0.870867950825486,0.994523809523809,122.996448491
"SCBAG4",727,771.28,12.9190521306094,767.818966559858,13.5324759583947,5.17721751395893,0.977016988662131,43.5103992814174,146.141248892989,0.785745224447694,0.996095238095238,85.776715634
"SCBAG5",893,942.112359550562,13.4035044632459,937.127063552948,14.9785345251094,5.62013098508086,0.989830684807256,98.3350384019508,189.272636187426,0.827148336132596,0.995523809523809,94.982146751
"SCBAG6",837,876.061224489796,11.1635018110849,879.598285503581,14.3250639129315,5.20378664759321,0.98036746031746,50.9358450903505,174.405279305997,0.773242597887812,0.995809523809524,100.272056176
"SEZAG1",1179,1241.00787401575,14.6657870026012,1239.5449010419,17.1493009845578,6.08526982470291,0.992956476190476,141.974390524224,270.002877787749,0.860422343333412,0.994,118.661414078
"SEZAG2",1090,1147.55555555556,14.3986139455071,1142.19177786696,16.4269425311973,5.99136828158871,0.994163950113379,171.348775186521,244.038693957521,0.856652230270696,0.994666666666667,110.073335366
"SEZAG3",778,802.5,9.23410410876923,796.421576743572,13.943075307778,5.71351155898729,0.99169610430839,120.425404790473,159.088331402076,0.858306487165248,0.997619047619048,83.128893174
"SEZAG4",1672,1807.48387096774,23.6944089867322,1780.33024746926,19.5078544840842,6.52192701686172,0.996402548752835,277.974580138622,427.009860904559,0.878755596800232,0.989285714285714,148.71098482
"SEZAG5",415,419.2,3.15005611364051,420.158935973578,9.79000355492076,4.97624262625461,0.985509301587302,69.0097862449256,73.30727765167,0.825483197160601,0.999285714285714,52.176580444
"SEZAG6",1020,1113.2421875,19.6584824051885,1113.39694610328,16.1938075804679,5.71553118879379,0.990472131519274,104.955269063899,224.14651987095,0.825042715790785,0.992619047619048,111.283400519
