"","Method","Measure","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"1","lme formula for season+site+(1|`transect-position`)","Observed","Model","Conditional R2: NA; Marginal R2: 0.514367587264655",NA,NA,NA,NA
"2","lme formula for season+site+(1|`transect-position`)","Observed","season",NA,NA,NA,7.11294459960845e-05,"***"
"3","lme formula for season+site+(1|`transect-position`)","Observed","site",NA,NA,NA,0.780166014359897,"ns"
"4","lme formula for season+site+(1|`transect-position`)","Observed","<none>",NA,NA,NA,NA,NA
"5","lme formula for season+site+(1|`transect-position`)","Observed","(1 | `transect-position`)",NA,NA,NA,1,"ns"
"6","lme formula for season+site+(1|`transect-position`)","Observed","(Intercept)",NA,1527.625,96.2382194913903,3.59486096266591e-13,"***"
"7","lme formula for season+site+(1|`transect-position`)","Observed","seasonSeptember",NA,-547.583333333334,111.126323859369,7.11294459960845e-05,"***"
"8","lme formula for season+site+(1|`transect-position`)","Observed","siteEsteroZacatecas",NA,-31.4166666666671,111.126323859369,0.780166014359897,"ns"
"9","lme formula for season+site+(1|`transect-position`)","Chao1","Model","Conditional R2: NA; Marginal R2: 0.47843878730462",NA,NA,NA,NA
"10","lme formula for season+site+(1|`transect-position`)","Chao1","season",NA,NA,NA,0.000157764391928359,"***"
"11","lme formula for season+site+(1|`transect-position`)","Chao1","site",NA,NA,NA,0.924233307483082,"ns"
"12","lme formula for season+site+(1|`transect-position`)","Chao1","<none>",NA,NA,NA,NA,NA
"13","lme formula for season+site+(1|`transect-position`)","Chao1","(1 | `transect-position`)",NA,NA,NA,1,"ns"
"14","lme formula for season+site+(1|`transect-position`)","Chao1","(Intercept)",NA,1579.2356545068,104.466807921175,9.25984252898396e-13,"***"
"15","lme formula for season+site+(1|`transect-position`)","Chao1","seasonSeptember",NA,-553.957934014254,120.627879349342,0.000157764391928359,"***"
"16","lme formula for season+site+(1|`transect-position`)","Chao1","siteEsteroZacatecas",NA,-11.6106397066703,120.627879349342,0.924233307483082,"ns"
"17","lme formula for season+site+(1|`transect-position`)","ACE","Model","Conditional R2: NA; Marginal R2: 0.484840971137611",NA,NA,NA,NA
"18","lme formula for season+site+(1|`transect-position`)","ACE","season",NA,NA,NA,0.000137167660164452,"***"
"19","lme formula for season+site+(1|`transect-position`)","ACE","site",NA,NA,NA,0.904932665398564,"ns"
"20","lme formula for season+site+(1|`transect-position`)","ACE","<none>",NA,NA,NA,NA,NA
"21","lme formula for season+site+(1|`transect-position`)","ACE","(1 | `transect-position`)",NA,NA,NA,1,"ns"
"22","lme formula for season+site+(1|`transect-position`)","ACE","(Intercept)",NA,1571.64421454633,102.611717871022,7.18864086900107e-13,"***"
"23","lme formula for season+site+(1|`transect-position`)","ACE","seasonSeptember",NA,-551.077405037593,118.485805869689,0.000137167660164452,"***"
"24","lme formula for season+site+(1|`transect-position`)","ACE","siteEsteroZacatecas",NA,-14.3229514568209,118.485805869689,0.904932665398564,"ns"
"25","lme formula for season+site+(1|`transect-position`)","Shannon","Model","Conditional R2: NA; Marginal R2: 0.488119965052314",NA,NA,NA,NA
"26","lme formula for season+site+(1|`transect-position`)","Shannon","season",NA,NA,NA,0.000142229642991438,"***"
"27","lme formula for season+site+(1|`transect-position`)","Shannon","site",NA,NA,NA,0.513441196494547,"ns"
"28","lme formula for season+site+(1|`transect-position`)","Shannon","<none>",NA,NA,NA,NA,NA
"29","lme formula for season+site+(1|`transect-position`)","Shannon","(1 | `transect-position`)",NA,NA,NA,0.999999883508083,"ns"
"30","lme formula for season+site+(1|`transect-position`)","Shannon","(Intercept)",NA,6.53004136476134,0.147162310823776,3.042168422503e-22,"***"
"31","lme formula for season+site+(1|`transect-position`)","Shannon","seasonSeptember",NA,-0.787751528376733,0.169928399537349,0.000142229642991438,"***"
"32","lme formula for season+site+(1|`transect-position`)","Shannon","siteEsteroZacatecas",NA,-0.112960886149343,0.169928399537349,0.513441196494547,"ns"
"33","lme formula for season+site+(1|`transect-position`)","Simpson","Model","Conditional R2: NA; Marginal R2: 0.229937084145373",NA,NA,NA,NA
"34","lme formula for season+site+(1|`transect-position`)","Simpson","season",NA,NA,NA,0.0159813851803864,"*"
"35","lme formula for season+site+(1|`transect-position`)","Simpson","site",NA,NA,NA,0.979217195445862,"ns"
"36","lme formula for season+site+(1|`transect-position`)","Simpson","<none>",NA,NA,NA,NA,NA
