"","Method","Measure","Factors","Df","Fvalue","P.unadj","Significance"
"1","anova formula for season*site","Observed","season",1,25.4551814609956,6.1937166547546e-05,"***"
"2","anova formula for season*site","Observed","site",1,0.0837907279274182,0.775204043208743,"ns"
"3","anova formula for season*site","Observed","season:site",1,2.01551987580987,0.171097829256976,"ns"
"4","anova formula for season*site","Observed","Residuals",20,NA,NA,NA
"5","anova formula for season*site","Chao1","season",1,21.6735588843228,0.000152376929150087,"***"
"6","anova formula for season*site","Chao1","site",1,0.00952114004874405,0.923239980507496,"ns"
"7","anova formula for season*site","Chao1","season:site",1,1.58198254168879,0.222963302322741,"ns"
"8","anova formula for season*site","Chao1","Residuals",20,NA,NA,NA
"9","anova formula for season*site","ACE","season",1,22.3416907393101,0.000129171704257769,"***"
"10","anova formula for season*site","ACE","site",1,0.01509231519133,0.903451395746837,"ns"
"11","anova formula for season*site","ACE","season:site",1,1.68916210197726,0.208492878980453,"ns"
"12","anova formula for season*site","ACE","Residuals",20,NA,NA,NA
"13","anova formula for season*site","Shannon","season",1,28.2796398748002,3.32459529896255e-05,"***"
"14","anova formula for season*site","Shannon","site",1,0.581502447602392,0.454624468176283,"ns"
"15","anova formula for season*site","Shannon","season:site",1,7.63418079350782,0.0119979295107475,"*"
"16","anova formula for season*site","Shannon","Residuals",20,NA,NA,NA
"17","anova formula for season*site","Simpson","season",1,9.49826851598143,0.0058808858704291,"**"
"18","anova formula for season*site","Simpson","site",1,0.000961275273977698,0.975573318538008,"ns"
"19","anova formula for season*site","Simpson","season:site",1,9.04671623751379,0.00695308715229994,"**"
"20","anova formula for season*site","Simpson","Residuals",20,NA,NA,NA
"21","anova formula for season*site","InvSimpson","season",1,26.4391093444895,4.96435969888215e-05,"***"
"22","anova formula for season*site","InvSimpson","site",1,8.04057963713296,0.010218774477789,"*"
"23","anova formula for season*site","InvSimpson","season:site",1,20.1298675713166,0.00022569244099401,"***"
"24","anova formula for season*site","InvSimpson","Residuals",20,NA,NA,NA
"25","anova formula for season*site","Fisher","season",1,25.5567758917942,6.05241687778778e-05,"***"
"26","anova formula for season*site","Fisher","site",1,0.0898639544559481,0.767443514079328,"ns"
"27","anova formula for season*site","Fisher","season:site",1,2.38172579783862,0.138437526081493,"ns"
"28","anova formula for season*site","Fisher","Residuals",20,NA,NA,NA
"29","anova formula for season*site","Pielou","season",1,24.9152519577992,7.00836054389781e-05,"***"
"30","anova formula for season*site","Pielou","site",1,0.877434899537197,0.360079523075033,"ns"
"31","anova formula for season*site","Pielou","season:site",1,19.4285847752411,0.000271244757042617,"***"
"32","anova formula for season*site","Pielou","Residuals",20,NA,NA,NA
"33","anova formula for season*site","Coverage","season",1,2.65052883749657,0.119167087863984,"ns"
"34","anova formula for season*site","Coverage","site",1,1.83265092027916,0.190916577845236,"ns"
"35","anova formula for season*site","Coverage","season:site",1,0.0282620779282148,0.868182561100705,"ns"
"36","anova formula for season*site","Coverage","Residuals",20,NA,NA,NA
"37","anova formula for season*site","PD","season",1,25.141230858737,6.65385444048131e-05,"***"
"38","anova formula for season*site","PD","site",1,1.81784485306888,0.192642451046398,"ns"
"39","anova formula for season*site","PD","season:site",1,3.04363300730948,0.0964034551657844,"ns"
"40","anova formula for season*site","PD","Residuals",20,NA,NA,NA
