"","Df","ChiSquare","F","Pr(>F)"
"CCA1",1,0.195110484450378,4.12076715347469,0.091
"CCA2",1,0.0573379348163807,1.29748617140656,0.996
"CCA3",1,0.0553177893355974,1.33522431040823,0.996
"CCA4",1,0.0391192012984049,1.0032480695637,0.996
"CCA5",1,0.0313584654697201,0.851523699284715,0.997
"CCA6",1,0.0187782954313698,0.538244004001278,1
"CCA7",1,0.0174876415462835,0.369342011930639,NA
"CCA8",1,0.0117399490897859,0.247949753848099,NA
"CCA9",1,0.00931190957482164,0.196669139642316,NA
"Residual",14,0.662873363277035,NA,NA
