"","Df","ChiSquare","F","Pr(>F)"
"sed_pH",1,0.0411615577604746,0.869339214051068,0.552
"sed_EC",1,0.081622952666752,1.72389086760898,0.066
"sed_OM",1,0.0646444506180648,1.3653019698646,0.172
"sed_orgN",1,0.0361301556248333,0.763075131344911,0.664
"sed_P",1,0.0485246711612452,1.02484944167762,0.405
"sed_K",1,0.0463183607835832,0.978251785174169,0.448
"sed_sand",1,0.0510255118163995,1.07766762854678,0.365
"sed_silt",1,0.0324577399864089,0.685513078340144,0.782
"sed_clay",1,0.0336762705949809,0.711248655397686,0.741
"Residual",14,0.662873363277035,NA,NA
