"","x","y","Family"
"ASV_3923",1.58901998717281,2.54414669847929,"f__Nevskiaceae"
"ASV_8643",1.58901998717275,2.54414669847891,"f__Rubidibacteraceae"
"ASV_5092",1.58901998717275,2.54414669847891,"f__Burkholderiaceae"
"ASV_7007",1.58901998717275,2.54414669847891,"f__Chloroflexaceae"
"ASV_15714",0.973770891818292,-1.65930266791873,"f__Idiomarinaceae"
"ASV_7496",0.973770891818292,-1.65930266791873,"f__WD2101_soil_group"
"ASV_8114",1.19717583096959,1.24299508413594,"f__Phormidiaceae"
"ASV_11514",0.988337484181614,1.11066971722009,"f__Roseiflexaceae"
"ASV_6678",0.616865290801862,1.20059261601601,"f__Pseudonocardiaceae"
"ASV_5584",0.932013516636948,0.964823400115058,"f__Rhodobiaceae"
