"","Df","ChiSquare","F","Pr(>F)"
"CCA1",1,0.265506817643233,3.77848107654001,0.051
"CCA2",1,0.0885191094074901,1.34971425099339,0.99
"CCA3",1,0.0780336584466913,1.26915740949965,0.995
"CCA4",1,0.0602974880175607,1.04198551036771,0.997
"CCA5",1,0.0504586676974181,0.923255328706447,0.999
"CCA6",1,0.0363609397981367,0.702266964438605,1
"CCA7",1,0.0312510106297599,0.444739435828601,NA
"CCA8",1,0.0203858226478776,0.290114754070872,NA
"CCA9",1,0.0190296200099416,0.270814360774453,NA
"Residual",14,0.983753887265472,NA,NA
