"","Df","ChiSquare","F","Pr(>F)"
"sed_pH",1,0.0603908871533342,0.859434896360946,0.608
"sed_EC",1,0.111197765361919,1.58247782826474,0.073
"sed_OM",1,0.100629869783476,1.4320839746664,0.13
"sed_orgN",1,0.0519489553664067,0.739296062302045,0.744
"sed_P",1,0.0687397518726956,0.978249274209008,0.473
"sed_K",1,0.0690585554369486,0.982786232036893,0.468
"sed_sand",1,0.0801356428235595,1.14042649696497,0.286
"sed_silt",1,0.0534926639140945,0.761264890021449,0.729
"sed_clay",1,0.0542490425856759,0.772029067463812,0.739
"Residual",14,0.983753887265472,NA,NA
