"","x","y","Genus"
"ASV_5237",1.92697744152267,3.44426287608311,"g__Desertibacillus"
"ASV_6678",1.92114693665555,3.43384148191943,"g__Thermotunica"
"ASV_6319",1.92114693665555,3.43384148191943,"g__Priestia"
"ASV_15074",1.9205629126455,3.43279760243584,"g__Candidatus_Endobugula"
"ASV_9213",1.91997871098556,3.43175340542235,"g__Paraclostridium"
"ASV_3373",1.91822503848294,3.42861890630087,"g__Metabacillus"
"ASV_12394",0.861770510070755,1.5403211846601,"g__Phormidium_MBIC10002"
"ASV_1715",0.861770510070755,1.5403211846601,"g__Chroococcus_HUW_799"
"ASV_14929",0.861770510070755,1.5403211846601,"g__Dinoroseobacter"
"ASV_4186",0.861770510070755,1.5403211846601,"g__Neptuniibacter"
