"","Df","Variance","F","Pr(>F)"
"sed_pH",1,183835.02602108,0.493585553079134,0.792
"sed_EC",1,559689.032123763,1.50273006429936,0.198
"sed_OM",1,375575.875551878,1.00839774807765,0.393
"sed_orgN",1,119546.912454635,0.320975986894128,0.926
"sed_P",1,263030.426733611,0.706220253375777,0.601
"sed_K",1,466791.510135896,1.25330602491742,0.264
"sed_sand",1,233049.339049047,0.625722907102916,0.676
"sed_silt",1,133542.583276962,0.358553488162899,0.91
"sed_clay",1,384621.954451394,1.03268590443967,0.377
"Residual",14,5214274.0974481,NA,NA
