"","Df","Variance","F","Pr(>F)"
"sed_pH",1,180718.657156993,0.663896624115647,0.677
"sed_EC",1,516093.097510778,1.89594406331352,0.102
"sed_OM",1,312310.092188408,1.14731715663984,0.352
"sed_orgN",1,114859.151906334,0.421952024207205,0.87
"sed_P",1,218993.118128109,0.804503497962081,0.537
"sed_K",1,350931.046028678,1.28919692311247,0.24
"sed_sand",1,213394.2098318,0.783935083083789,0.548
"sed_silt",1,131845.481102406,0.484353808211127,0.858
"sed_clay",1,222926.23222667,0.818952372324997,0.532
"Residual",14,3810926.44290533,NA,NA
