"","Df","SumOfSqs","F","Pr(>F)"
"dbRDA1",1,1.62546099345862,6.58053980945993,0.002
"dbRDA2",1,1.31014122746387,5.96699404371477,0.002
"dbRDA3",1,0.494732114478521,2.50360081497325,0.745
"dbRDA4",1,0.422450808227601,2.35160195284172,0.79
"dbRDA5",1,0.320554086584349,1.94660370474194,0.952
"dbRDA6",1,0.274040944212217,1.80282590222712,0.961
"dbRDA7",1,0.241895102550194,1.71376035923902,0.973
"dbRDA8",1,0.211376932067524,1.60451518277304,0.983
"dbRDA9",1,0.153770802576832,1.24505588502171,0.996
"dbRDA10",1,0.147080155668054,1.26531304032005,0.996
"dbRDA11",1,0.142882522799531,1.30150726444375,0.996
"dbRDA12",1,0.118334981835448,1.13778900086802,0.996
"dbRDA13",1,0.101717840150038,1.02948994028974,0.996
"dbRDA14",1,0.090061834502744,0.957095039692589,0.996
"dbRDA15",1,0.0861442066241553,0.959055495115654,0.996
"Residual",8,1.9760822552848,NA,NA
