"","Df","SumOfSqs","F","Pr(>F)"
"water_COND",1,0.967904193409531,3.91847734403154,0.001
"water_TDS",1,0.872461257267828,3.5320847801129,0.002
"water_ORP",1,0.56001727136998,2.26718202593957,0.016
"water_pH",1,0.390562485800464,1.58115881970379,0.071
"water_salinity",1,0.27273093015036,1.10412784456102,0.366
"water_temperature",1,0.450398013909604,1.82339783763583,0.038
"sed_pH",1,0.25707224634532,1.04073500243347,0.409
"sed_EC",1,0.219226018217441,0.887517784772963,0.578
"sed_OM",1,0.167535059905344,0.678251361074839,0.802
"sed_orgN",1,0.256837601599184,1.03978506324745,0.371
"sed_P",1,0.282704543288598,1.14450516432719,0.308
"sed_K",1,0.289596749132138,1.17240767020764,0.259
"sed_sand",1,0.27864875726803,1.12808566150652,0.3
"sed_silt",1,0.278186879194547,1.12621578762956,0.308
"sed_clay",1,0.196762546341336,0.796576340140166,0.669
"Residual",8,1.9760822552848,NA,NA
