"","x","y","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","water_COND","water_TDS","water_ORP","water_pH","water_salinity","water_temperature","sed_pH","sed_EC","sed_OM","sed_orgN","sed_P","sed_K","sed_sand","sed_silt","sed_clay"
"FCBAG1",0.399414239498725,-0.842592552684299,"February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,-110.3496596,"2024-02",80.39,110,-50.5,6.68,62.5,20.3,7,47,2.62,0.13,5.98,102.03,22.5,35,42.5
"FCBAG2",0.383518459388572,-0.977650494109823,"February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,-110.349705,"2024-02",76.84,100.75,-52,6.62,51.5,19.4,6.8,70,5.34,0.27,4.42,119.14,12.5,22.5,65
"FCBAG3",0.314013589495714,-0.798201534102115,"February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,-110.3497365,"2024-02",66.28,81.66,-83,6.66,35.5,18.7,6.1,72,5.33,0.26,5.63,106.9,15,30,55
"FCBAG4",0.0390271867824348,-1.32080165167695,"February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,-110.3497073,"2024-02",55.24,62.67,20.5,7.07,23,19.3,6.5,54,5.62,0.28,5.79,103.65,12.5,27.5,60
"FCBAG5",0.238868163119366,-1.25675108513318,"February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,-110.3497003,"2024-02",55.63,63.57,10.5,7.41,31,18.3,7.2,25,1.81,0.09,4.48,109.15,30,12,57.5
"FCBAG6",0.215045410244395,-1.16020192642663,"February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,-110.3496416,"2024-02",56.11,64.83,-11,7.62,25.5,17.85,6.7,76,4.99,0.25,5.49,102.9,12.5,17.5,70
"FEZAG1",-0.950422628476094,0.334460207649316,"February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,-110.4316143,"2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,6.9,39,1.43,0.071,10.99,98.52,87.5,5,7.5
"FEZAG2",-0.967204535549637,-0.213356526202353,"February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,-110.437037,"2024-02",89.65,128,-112,6.75,64,22.2,6.9,44,1.5,0.075,10.04,114.15,62.5,25.5,12.5
"FEZAG3",-1.20855643957281,0.0367472835632776,"February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,-110.4365979,"2024-02",93.47,136.45,-192,6.75,66,22.05,6.1,52,2.33,0.116,7.4,106.15,75,12.5,12.5
"FEZAG4",-1.21489327888151,-0.360419517549699,"February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,-110.4357429,"2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,7.4,40,1.7,0.085,6.75,110.15,82.5,12.5,5
"FEZAG5",-0.853181401754476,-0.46448577277255,"February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,-110.4349064,"2024-02",62.17,74.2,-115,7.13,42.5,20.15,6,38,2.81,0.14,6.71,103.28,80,10,10
"FEZAG6",-1.21653987002131,-0.0783487798007612,"February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,-110.4330398,"2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,6.9,38,2.9,0.145,7.1,46.53,77.5,12.5,10
"SCBAG1",0.970585213411877,0.556033465860646,"September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,-110.3496596,"2024-09",64.88,75.5,-82,6.42,44.3,30.3,7,47,2.62,0.13,5.98,102.03,22.5,35,42.5
"SCBAG2",1.04862344942117,0.269903521214442,"September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,-110.349705,"2024-09",87,116,-78,6.35,64.3,30.8,6.8,70,5.34,0.27,4.42,119.14,12.5,22.5,65
"SCBAG3",0.94596840171776,0.207470837551151,"September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,-110.3497365,"2024-09",62.7,72.19,-104,6.48,48.6,30.3,6.1,72,5.33,0.26,5.63,106.9,15,30,55
"SCBAG4",1.05352766167666,0.320584086725327,"September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,-110.3497073,"2024-09",57.3,63.5,-38,6.8,35.7,30.1,6.5,54,5.62,0.28,5.79,103.65,12.5,27.5,60
