"","Df","SumOfSqs","F","Pr(>F)"
"dbRDA1",1,1.51897886322113,4.72850375628176,0.003
"dbRDA2",1,0.369635501306284,1.23284621759137,0.996
"dbRDA3",1,0.304312512073361,1.08263923971812,0.999
"dbRDA4",1,0.273407556824478,1.03348316719451,0.999
"dbRDA5",1,0.227897990346311,0.912130488772449,0.999
"dbRDA6",1,0.172854047121459,0.730259348517317,1
"dbRDA7",1,0.131983437815114,0.410857712761268,NA
"dbRDA8",1,0.117558672488749,0.365954153744943,NA
"dbRDA9",1,0.10275505465194,0.319871246179349,NA
"Residual",14,4.49734317263567,NA,NA
