"","Df","SumOfSqs","F","Pr(>F)"
"sed_pH",1,0.246244069772548,0.766545234482366,0.693
"sed_EC",1,0.592258285300455,1.84366984593419,0.032
"sed_OM",1,0.557352230380814,1.73500907664969,0.041
"sed_orgN",1,0.238702001697675,0.743067161096574,0.75
"sed_P",1,0.313109938249726,0.974695273904836,0.456
"sed_K",1,0.330786750508203,1.02972228921567,0.368
"sed_sand",1,0.415553276507977,1.29359616284345,0.2
"sed_silt",1,0.259203064439254,0.806885924167284,0.655
"sed_clay",1,0.266174018992182,0.828586150277402,0.639
"Residual",14,4.49734317263567,NA,NA
