"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","February","sed_pH","mantel test","pearson",-0.135815942700667,0.922,0.922,""
"2","February","sed_EC","mantel test","pearson",0.052094932280504,0.297,0.334125,""
"3","February","sed_OM","mantel test","pearson",0.208795507347384,0.083,0.1245,""
"4","February","sed_orgN","mantel test","pearson",0.2056998712568,0.064,0.1152,""
"5","February","sed_P","mantel test","pearson",0.356514200557398,0.001,0.009,"**"
"6","February","sed_K","mantel test","pearson",0.0474316344112263,0.274,0.334125,""
"7","February","sed_sand","mantel test","pearson",0.775248839035489,0.002,0.009,"**"
"8","February","sed_silt","mantel test","pearson",0.248255281274136,0.035,0.07875,""
"9","February","sed_clay","mantel test","pearson",0.726539670674264,0.003,0.009,"**"
"10","September","sed_pH","mantel test","pearson",0.237132148290208,0.038,0.057,""
"11","September","sed_EC","mantel test","pearson",0.185485388777814,0.098,0.126,""
"12","September","sed_OM","mantel test","pearson",0.319645507466688,0.028,0.057,""
"13","September","sed_orgN","mantel test","pearson",0.313521761915107,0.025,0.057,""
"14","September","sed_P","mantel test","pearson",0.281480903081891,0.034,0.057,""
"15","September","sed_K","mantel test","pearson",-0.0806462009344123,0.696,0.696,""
"16","September","sed_sand","mantel test","pearson",0.756289830967697,0.001,0.0045,"**"
"17","September","sed_silt","mantel test","pearson",0.113866483214944,0.171,0.192375,""
"18","September","sed_clay","mantel test","pearson",0.721899913346042,0.001,0.0045,"**"
