"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","ColaDeBallena","sed_pH","mantel test","pearson",-0.0492686600674166,0.587,0.976,""
"2","ColaDeBallena","sed_EC","mantel test","pearson",-0.119743659496376,0.845,0.976,""
"3","ColaDeBallena","sed_OM","mantel test","pearson",-0.117768602345462,0.859,0.976,""
"4","ColaDeBallena","sed_orgN","mantel test","pearson",-0.121715129247202,0.884,0.976,""
"5","ColaDeBallena","sed_P","mantel test","pearson",-0.166905512583917,0.976,0.976,""
"6","ColaDeBallena","sed_K","mantel test","pearson",-0.173726403928789,0.965,0.976,""
"7","ColaDeBallena","sed_sand","mantel test","pearson",-0.110967544527478,0.787,0.976,""
"8","ColaDeBallena","sed_silt","mantel test","pearson",-0.0824774538604534,0.727,0.976,""
"9","ColaDeBallena","sed_clay","mantel test","pearson",-0.155930341241367,0.892,0.976,""
"10","EsteroZacatecas","sed_pH","mantel test","pearson",0.0253464146004569,0.385,0.993,""
"11","EsteroZacatecas","sed_EC","mantel test","pearson",-0.25781464852997,0.993,0.993,""
"12","EsteroZacatecas","sed_OM","mantel test","pearson",-0.00577867498317496,0.437,0.993,""
"13","EsteroZacatecas","sed_orgN","mantel test","pearson",-0.00718321101136586,0.441,0.993,""
"14","EsteroZacatecas","sed_P","mantel test","pearson",-0.0854323255637787,0.721,0.993,""
"15","EsteroZacatecas","sed_K","mantel test","pearson",-0.112131352380604,0.751,0.993,""
"16","EsteroZacatecas","sed_sand","mantel test","pearson",-0.164424939986361,0.907,0.993,""
"17","EsteroZacatecas","sed_silt","mantel test","pearson",-0.141981813591321,0.86,0.993,""
"18","EsteroZacatecas","sed_clay","mantel test","pearson",-0.0351361909497451,0.562,0.993,""
