"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","February","water_COND","mantel test","pearson",0.432943651350825,0.012,0.018,"*"
"2","February","water_TDS","mantel test","pearson",0.421522081766454,0.01,0.018,"*"
"3","February","water_ORP","mantel test","pearson",0.449103359113495,0.002,0.012,"*"
"4","February","water_pH","mantel test","pearson",0.0792906534623869,0.187,0.187,""
"5","February","water_salinity","mantel test","pearson",0.333432727638473,0.015,0.018,"*"
"6","February","water_temperature","mantel test","pearson",0.377869208632104,0.009,0.018,"*"
"7","September","water_COND","mantel test","pearson",0.393186832252097,0.009,0.02,"*"
"8","September","water_TDS","mantel test","pearson",0.370266430350133,0.01,0.02,"*"
"9","September","water_ORP","mantel test","pearson",0.426748226501628,0.004,0.02,"*"
"10","September","water_pH","mantel test","pearson",0.00676985321300848,0.429,0.429,""
"11","September","water_salinity","mantel test","pearson",0.300433524062947,0.027,0.0405,"*"
"12","September","water_temperature","mantel test","pearson",0.229534695564602,0.054,0.0648,""
