"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","February","water_COND","partial mantel test","pearson",0.0936462435646924,0.203,0.3555,""
"2","February","water_TDS","partial mantel test","pearson",0.0813588063580862,0.237,0.3555,""
"3","February","water_ORP","partial mantel test","pearson",0.386012905554774,0.007,0.042,"*"
"4","February","water_pH","partial mantel test","pearson",-0.1845874502391,0.972,0.972,""
"5","February","water_salinity","partial mantel test","pearson",-0.0494985261206972,0.666,0.7992,""
"6","February","water_temperature","partial mantel test","pearson",0.19121032059853,0.071,0.213,""
"7","September","water_COND","partial mantel test","pearson",0.132400401473008,0.143,0.279,""
"8","September","water_TDS","partial mantel test","pearson",0.110183863083617,0.186,0.279,""
"9","September","water_ORP","partial mantel test","pearson",0.381695669280717,0.008,0.048,"*"
"10","September","water_pH","partial mantel test","pearson",-0.0300198230103606,0.492,0.492,""
"11","September","water_salinity","partial mantel test","pearson",-0.00117341972574829,0.492,0.492,""
"12","September","water_temperature","partial mantel test","pearson",0.194504258887535,0.083,0.249,""
