"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","ColaDeBallena","water_COND","mantel test","pearson",-0.0151453147108418,0.444,0.537,""
"2","ColaDeBallena","water_TDS","mantel test","pearson",-0.0237888546551601,0.502,0.537,""
"3","ColaDeBallena","water_ORP","mantel test","pearson",-0.0278692919305866,0.537,0.537,""
"4","ColaDeBallena","water_pH","mantel test","pearson",0.15259714592388,0.121,0.242,""
"5","ColaDeBallena","water_salinity","mantel test","pearson",0.248397794110681,0.045,0.135,""
"6","ColaDeBallena","water_temperature","mantel test","pearson",0.733117549787191,0.001,0.006,"**"
"7","EsteroZacatecas","water_COND","mantel test","pearson",0.153198318206951,0.165,0.2475,""
"8","EsteroZacatecas","water_TDS","mantel test","pearson",0.0788695532051712,0.311,0.366,""
"9","EsteroZacatecas","water_ORP","mantel test","pearson",0.0352091673792729,0.366,0.366,""
"10","EsteroZacatecas","water_pH","mantel test","pearson",0.205436802329745,0.06,0.18,""
"11","EsteroZacatecas","water_salinity","mantel test","pearson",0.150625997553837,0.146,0.2475,""
"12","EsteroZacatecas","water_temperature","mantel test","pearson",0.630019856176265,0.005,0.03,"*"
