"","DCA1","DCA2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",0.38867137314139,0.607198315760693,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",0.487180798331802,0.584881639670172,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",0.353223188455139,0.59815723296617,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",1.38560778636673,1.17387797894093,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",0.972865572665914,1.21801495125935,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",0.599361748515251,0.845503927239658,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",0.301067815639557,-0.894832261576183,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",0.856016281598893,-0.660978497249549,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",0.544668867338433,-0.808046170530015,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",0.944757251698197,-0.916413919848072,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",1.11263643507238,-0.78439870459512,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",0.664398869480723,-0.937907831401373,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
"SCBAG1",-0.919552452914145,0.097440083887773,"SCBAG1","September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG2",-0.775357999295576,0.354797204638064,"SCBAG2","September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG3",-0.803260880552194,0.282140626434809,"SCBAG3","September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG4",-0.930795883632076,0.287505520983086,"SCBAG4","September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG5",-0.667977251569951,0.334599727451848,"SCBAG5","September","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG6",-0.877782208396539,0.389902639296925,"SCBAG6","September","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SEZAG1",-0.315420223333503,-0.0958615356627285,"SEZAG1","September","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG2",-0.389290776788441,-0.154331788079934,"SEZAG2","September","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG3",-0.551287665108259,-0.237116706816591,"SEZAG3","September","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG4",0.0803558953038144,-0.190756861194181,"SEZAG4","September","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG5",-1.03199038661875,-0.210714397202848,"SEZAG5","September","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG6",-0.685791538923914,-0.239180362484305,"SEZAG6","September","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
