"","MDS1","MDS2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",-0.310968698126521,-0.0769291625483872,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",-0.321177060734502,-0.114579837998996,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",-0.243696285638933,-0.127174721800982,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",-0.307329183116132,-0.429827776560017,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",-0.244350689294162,-0.254967921869175,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",-0.199228386747881,-0.227313609953638,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",0.464640899200812,0.162448503572466,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",0.244694992812809,-0.221874264097557,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",0.367215345437149,-0.0532124685270393,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",0.417300386929525,-0.205036853242697,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",0.212686009715818,-0.380893243866523,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",0.536978906415703,-0.0468136523689237,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
"SCBAG1",-0.166302470186364,0.257895239109275,"SCBAG1","September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG2",-0.19948883271927,0.191950896335271,"SCBAG2","September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG3",-0.252159127690866,0.191148375209134,"SCBAG3","September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG4",-0.187771515650542,0.183203447363796,"SCBAG4","September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG5",-0.188302976653819,0.105363344820911,"SCBAG5","September","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG6",-0.223955320897183,0.229246443108966,"SCBAG6","September","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SEZAG1",0.0682074512122394,0.0645429755681886,"SEZAG1","September","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG2",0.0804479645530966,0.109491328270554,"SEZAG2","September","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG3",0.126065751299106,0.187900473850893,"SEZAG3","September","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
