"","PC1","PC2","dist"
"Gramella",-54.1308338853085,43.986854168931,4864.99051679767
"Palleronia-Pseudomaribius",40.1437332309143,36.398330501874,2936.35778103846
"Nocardioides",21.9769743639077,24.8447646659617,1100.24973349888
"Fulvimarina",23.6658279989606,19.5141071724908,940.871793615844
"Sphingomicrobium",-16.8100514310866,20.5089916063477,703.196565825016
"Rubrobacter",24.0412567655594,-3.75800569634941,592.104633681352
"Rubrivirga",19.0407524045835,12.1080328416551,509.154711427251
"Lewinella",10.1219588295406,10.127571792158,205.021760952229
"Hoppeia",-10.5544489061812,-5.81579041715064,145.21980988941
"Ilumatobacter",0.874864409077033,-11.0888972219427,123.729029333079
"Qipengyuania",-10.3598500956797,0.776815409434182,107.929936185289
"Tunicatimonas",7.61309535501865,-6.8101040368233,104.336737876964
"Aestuariibacter",-7.14806664604831,5.62848174718852,82.7746635547826
"Marinomonas",-6.70300325253772,5.94099316988856,80.2256524481937
"Alteromonas",-7.24067360468452,5.08259615071322,78.26013788082
"Woeseia",-8.32371854053988,-2.76266142806411,76.9165885082406
"Marinobacter",5.9828882227846,3.95979590540547,51.4749350988006
"Pacificimonas",5.34952792609715,-3.70314309072004,42.3307177824409
"Maribius",4.35114592270197,4.04036438777222,35.257015226624
"Sulfurovum",-2.2315427916049,-5.45830401880577,34.772865992475
"Vibrio",-3.36480120090522,4.57123766302591,32.2181008934797
"Fulvivirga",-5.3550112365207,-1.86202933588296,32.1432985909517
"Wenxinia",4.17987769248137,3.40760167202811,29.0831266793122
"Acuticoccus",3.59525653530712,-3.6399272989611,26.1749402963908
"Actibacterium",2.91596873587179,3.94308293213569,24.0507766782815
"Parvularcula",4.3734335298507,-1.79896062310864,22.3631801635178
"Robiginitalea",-3.40538356717501,-3.14427742171359,21.4831177442834
"Sufflavibacter",2.68352672510298,3.33831926212244,18.3456911801996
"Mycobacterium",3.01708350369542,-2.89527217971252,17.4853938628883
"Rhodopirellula",-3.49234997600122,0.141418481707013,12.216507541844
"Thiophaeococcus",-1.2071654568399,-3.26991274913571,12.1495778271477
"Croceibacterium",2.84020481756889,1.9109677783167,11.7185612555062
"Limibaculum",2.64439448171364,1.9128692812582,10.6518910620988
"Haloferula",-2.49953832543097,-1.74137473963278,9.28007782412939
"Allosediminivita",1.6053885576249,2.49550314088711,8.80480834713038
"Candidatus_Uzinura",2.15341419181331,1.85253085575917,8.06906325304277
"Sporichthya",2.46647343226417,1.39508271154198,8.02974696410831
"Pseudoalteromonas",-2.81298757840291,-0.191983567018387,7.94975680625418
"Salinisphaera",2.09970219346634,1.87806872240937,7.93589142733971
"Planctomicrobium",-2.4191180664549,-1.03673620784456,6.92695418410442
"Muricauda",-2.04154074406976,-1.43994751174265,6.24133744627074
"Candidatus_Electrothrix",-0.927132183723215,-2.27153522964479,6.01944638561278
"Nonlabens",-2.37076897625077,0.481688889177568,5.85256972471026
"Patulibacter",1.77320546442882,-1.63692157410993,5.82376985886677
"Silicimonas",-2.33197690762932,-0.327829711185022,5.54558861725208
"Thiohalocapsa",-0.779444442655346,-2.09592266410225,5.00042545308377
"Hasllibacter",2.21276257133228,-0.0329021112833102,4.89740074601595
"Pseudahrensia",0.799487336684939,-2.02939904027783,4.75764046620015
"Desulfosarcina",-1.13668443494395,-1.83955190155927,4.67600270317417
"Roseibacillus",-1.95573880940514,-0.867286730772967,4.5771005639883
"Rubricoccus",1.2979371229263,1.61893630287761,4.30559552784521
"Pseudohaliea",-1.0834043673435,-1.59144398676011,3.70645898617388
"Novosphingobium",1.50638719042904,1.18133831917483,3.66476259183951
"Pseudohongiella",-0.942611206377315,-1.66338035342149,3.65535008653668
"Marivita",-0.89867199194395,-1.65833346490361,3.55768122992371
"Desulfatiglans",-0.521189822608981,-1.67952142353822,3.09243104331505
"Euzebya",1.42440357477356,0.950673175702618,2.9327050308282
"Iamia",1.61663869529843,-0.119970552798826,2.62791360467508
"Geodermatophilus",1.46006535519265,0.696104174846935,2.61635186367317
"Phaeodactylibacter",-1.48325219070027,-0.518656470478831,2.46904159558671
"Vicingus",-1.45683081654544,-0.529577302701102,2.40280814757262
"Truepera",0.834937779613238,-1.25697966053496,2.27711896282407
