"","PC1","PC2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",-3.39831213837798,-11.4604768482856,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",-5.89715716917826,-9.81950270611637,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",-6.11598694809408,-13.3517118929184,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",-7.99648094283932,-20.1698597166656,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",-7.16160285541613,-14.2878750114159,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",-7.23737820495558,-16.3234039815009,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",-1.00958218662085,-14.0375599670636,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",-34.5599809981375,18.6900127030448,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",-9.96145545458241,-9.23283775901053,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",-14.9122057102914,-9.86360526777472,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",-54.1308338853085,43.986854168931,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",-8.60640960859248,-11.0993748382534,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
"SCBAG1",25.6785451453035,27.0696283342696,"SCBAG1","September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG2",18.5908111193128,19.4244297437823,"SCBAG2","September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG3",16.0741813195072,7.63584325703431,"SCBAG3","September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG4",22.0341032050073,23.5748393215801,"SCBAG4","September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG5",15.6374118479453,19.9277265345979,"SCBAG5","September","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG6",19.8900804612211,30.0625752583237,"SCBAG6","September","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SEZAG1",2.3079177155359,-7.23751486270795,"SEZAG1","September","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG2",5.26370137316662,-6.7221573438435,"SEZAG2","September","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG3",8.93687079549885,-9.7627854338308,"SEZAG3","September","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG4",-2.0356587567283,-12.4230908588691,"SEZAG4","September","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG5",20.0427079976125,-14.4137536359122,"SEZAG5","September","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
"SEZAG6",8.56671387901185,-10.1663991973954,"SEZAG6","September","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
