"","PCo1","PCo2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",0.173990297570402,-0.259271182009313,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",0.160048933726128,-0.298853909234751,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",0.149495845727871,-0.253269497420543,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",0.0335771928370553,-0.442166483645069,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",0.115134149106104,-0.409561738260816,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",0.114820862682222,-0.380996535546203,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",-0.370818888250058,0.120707919805877,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",-0.320832331002213,-0.101948175365207,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",-0.450890146211964,0.0169015974150043,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",-0.434212972642304,-0.099231805811208,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",-0.265811698285038,-0.176720460724159,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",-0.456228529438682,-0.00443224889869699,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
