"","PCo1","PCo2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",0.0649445877881072,-0.0983780275643104,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",0.0936033786105734,-0.10692864327948,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",0.0448806433394555,-0.0810286451511715,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",0.10713952035062,-0.104239495658729,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",0.0704871192850685,-0.102137668005013,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",0.0416417331844676,-0.0739770657339375,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",0.0813390342607639,0.149048107108694,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",0.0973089383966081,0.0425245348454568,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",0.108871176197097,0.112121996043455,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",0.13876288186177,0.0341793550101687,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",0.125703635119922,-0.0272649718839446,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",0.131143834938697,0.132599725097393,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
"SCBAG1",-0.133201032495188,-0.0304300350145878,"SCBAG1","September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG2",-0.117369012813514,-0.0629662792993983,"SCBAG2","September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG3",-0.0797198610923181,-0.064179226754087,"SCBAG3","September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG4",-0.126029693888599,-0.0214254959296321,"SCBAG4","September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG5",-0.0910090099167491,-0.0283009710695782,"SCBAG5","September","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG6",-0.1303595896941,-0.0449297530131233,"SCBAG6","September","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SEZAG1",-0.0581818461757702,0.0307096996988774,"SEZAG1","September","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_EsteroZacatecas"
