"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FCBAG1",0,0.514190476190476,0.676619047619048,0.819857142857143,0.720428571428571,0.719047619047619,0.958571428571429,0.886190476190476,0.903571428571429,0.918857142857143,0.907238095238095,0.947809523809524,0.814095238095238,0.759714285714286,0.806952380952381,0.724857142857143,0.769285714285714,0.775,0.81752380952381,0.834428571428571,0.875380952380952,0.848619047619048,0.912714285714286,0.852857142857143
"FCBAG2",0.514190476190476,0,0.672285714285714,0.787190476190476,0.704619047619048,0.740047619047619,0.953238095238095,0.885571428571429,0.894428571428571,0.912619047619048,0.896238095238095,0.946238095238095,0.830857142857143,0.756333333333333,0.799571428571429,0.793047619047619,0.771095238095238,0.770380952380952,0.866238095238095,0.847666666666667,0.879666666666667,0.879809523809524,0.919619047619048,0.891857142857143
"FCBAG3",0.676619047619048,0.672285714285714,0,0.829857142857143,0.736952380952381,0.660095238095238,0.952714285714286,0.864380952380952,0.92152380952381,0.924857142857143,0.877285714285714,0.959238095238095,0.853619047619048,0.789857142857143,0.792238095238095,0.764666666666667,0.770619047619048,0.744047619047619,0.805190476190476,0.821952380952381,0.869809523809524,0.78547619047619,0.915285714285714,0.867619047619048
"FCBAG4",0.819857142857143,0.787190476190476,0.829857142857143,0,0.559333333333333,0.617571428571429,0.963666666666667,0.925571428571429,0.913428571428571,0.919571428571429,0.912285714285714,0.958095238095238,0.939904761904762,0.878904761904762,0.894,0.927666666666667,0.871619047619048,0.924047619047619,0.942095238095238,0.932095238095238,0.944285714285714,0.938095238095238,0.973,0.954714285714286
"FCBAG5",0.720428571428571,0.704619047619048,0.736952380952381,0.559333333333333,0,0.475,0.949952380952381,0.874095238095238,0.900666666666667,0.908809523809524,0.880857142857143,0.948761904761905,0.864238095238095,0.810952380952381,0.825380952380952,0.821047619047619,0.761476190476191,0.843571428571429,0.884904761904762,0.863285714285714,0.885619047619048,0.890095238095238,0.924714285714286,0.898095238095238
"FCBAG6",0.719047619047619,0.740047619047619,0.660095238095238,0.617571428571429,0.475,0,0.948333333333333,0.854857142857143,0.898904761904762,0.904714285714286,0.861238095238095,0.947619047619048,0.862476190476191,0.812095238095238,0.825952380952381,0.785333333333333,0.726428571428571,0.835952380952381,0.846952380952381,0.835238095238095,0.872952380952381,0.833285714285714,0.912047619047619,0.885523809523809
"FEZAG1",0.958571428571429,0.953238095238095,0.952714285714286,0.963666666666667,0.949952380952381,0.948333333333333,0,0.869714285714286,0.631047619047619,0.783047619047619,0.92652380952381,0.617095238095238,0.923809523809524,0.928333333333333,0.933285714285714,0.927761904761905,0.917571428571429,0.938,0.855095238095238,0.804428571428571,0.745666666666667,0.899142857142857,0.806190476190476,0.755904761904762
"FEZAG2",0.886190476190476,0.885571428571429,0.864380952380952,0.925571428571429,0.874095238095238,0.854857142857143,0.869714285714286,0,0.700571428571429,0.689428571428571,0.587952380952381,0.796380952380952,0.901857142857143,0.908,0.928619047619048,0.904047619047619,0.881095238095238,0.91952380952381,0.768238095238095,0.745952380952381,0.849761904761905,0.729904761904762,0.904095238095238,0.840619047619048
"FEZAG3",0.903571428571429,0.894428571428571,0.92152380952381,0.913428571428571,0.900666666666667,0.898904761904762,0.631047619047619,0.700571428571429,0,0.551285714285714,0.803,0.545619047619048,0.921571428571429,0.916,0.933047619047619,0.915333333333333,0.904428571428571,0.933238095238095,0.809761904761905,0.766809523809524,0.736285714285714,0.841238095238095,0.827380952380952,0.746619047619048
"FEZAG4",0.918857142857143,0.912619047619048,0.924857142857143,0.919571428571429,0.908809523809524,0.904714285714286,0.783047619047619,0.689428571428571,0.551285714285714,0,0.766,0.653238095238095,0.953809523809524,0.94552380952381,0.949666666666667,0.947095238095238,0.939571428571429,0.959047619047619,0.868142857142857,0.859666666666667,0.860857142857143,0.859619047619048,0.912047619047619,0.857904761904762
