"","Value","season","site"
"1",0.514190476190476,"February","ColaDeBallena vs ColaDeBallena"
"2",0.676619047619048,"February","ColaDeBallena vs ColaDeBallena"
"3",0.819857142857143,"February","ColaDeBallena vs ColaDeBallena"
"4",0.720428571428571,"February","ColaDeBallena vs ColaDeBallena"
"5",0.719047619047619,"February","ColaDeBallena vs ColaDeBallena"
"6",0.958571428571429,"February","ColaDeBallena vs EsteroZacatecas"
"7",0.886190476190476,"February","ColaDeBallena vs EsteroZacatecas"
"8",0.903571428571429,"February","ColaDeBallena vs EsteroZacatecas"
"9",0.918857142857143,"February","ColaDeBallena vs EsteroZacatecas"
"10",0.907238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"11",0.947809523809524,"February","ColaDeBallena vs EsteroZacatecas"
"12",0.672285714285714,"February","ColaDeBallena vs ColaDeBallena"
"13",0.787190476190476,"February","ColaDeBallena vs ColaDeBallena"
"14",0.704619047619048,"February","ColaDeBallena vs ColaDeBallena"
"15",0.740047619047619,"February","ColaDeBallena vs ColaDeBallena"
"16",0.953238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"17",0.885571428571429,"February","ColaDeBallena vs EsteroZacatecas"
"18",0.894428571428571,"February","ColaDeBallena vs EsteroZacatecas"
"19",0.912619047619048,"February","ColaDeBallena vs EsteroZacatecas"
"20",0.896238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"21",0.946238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"22",0.829857142857143,"February","ColaDeBallena vs ColaDeBallena"
"23",0.736952380952381,"February","ColaDeBallena vs ColaDeBallena"
"24",0.660095238095238,"February","ColaDeBallena vs ColaDeBallena"
"25",0.952714285714286,"February","ColaDeBallena vs EsteroZacatecas"
"26",0.864380952380952,"February","ColaDeBallena vs EsteroZacatecas"
"27",0.92152380952381,"February","ColaDeBallena vs EsteroZacatecas"
"28",0.924857142857143,"February","ColaDeBallena vs EsteroZacatecas"
"29",0.877285714285714,"February","ColaDeBallena vs EsteroZacatecas"
"30",0.959238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"31",0.559333333333333,"February","ColaDeBallena vs ColaDeBallena"
"32",0.617571428571429,"February","ColaDeBallena vs ColaDeBallena"
"33",0.963666666666667,"February","ColaDeBallena vs EsteroZacatecas"
"34",0.925571428571429,"February","ColaDeBallena vs EsteroZacatecas"
"35",0.913428571428571,"February","ColaDeBallena vs EsteroZacatecas"
"36",0.919571428571429,"February","ColaDeBallena vs EsteroZacatecas"
"37",0.912285714285714,"February","ColaDeBallena vs EsteroZacatecas"
"38",0.958095238095238,"February","ColaDeBallena vs EsteroZacatecas"
"39",0.475,"February","ColaDeBallena vs ColaDeBallena"
"40",0.949952380952381,"February","ColaDeBallena vs EsteroZacatecas"
"41",0.874095238095238,"February","ColaDeBallena vs EsteroZacatecas"
"42",0.900666666666667,"February","ColaDeBallena vs EsteroZacatecas"
"43",0.908809523809524,"February","ColaDeBallena vs EsteroZacatecas"
"44",0.880857142857143,"February","ColaDeBallena vs EsteroZacatecas"
"45",0.948761904761905,"February","ColaDeBallena vs EsteroZacatecas"
"46",0.948333333333333,"February","ColaDeBallena vs EsteroZacatecas"
"47",0.854857142857143,"February","ColaDeBallena vs EsteroZacatecas"
"48",0.898904761904762,"February","ColaDeBallena vs EsteroZacatecas"
"49",0.904714285714286,"February","ColaDeBallena vs EsteroZacatecas"
"50",0.861238095238095,"February","ColaDeBallena vs EsteroZacatecas"
"51",0.947619047619048,"February","ColaDeBallena vs EsteroZacatecas"
"52",0.869714285714286,"February","EsteroZacatecas vs EsteroZacatecas"
"53",0.631047619047619,"February","EsteroZacatecas vs EsteroZacatecas"
"54",0.783047619047619,"February","EsteroZacatecas vs EsteroZacatecas"
"55",0.92652380952381,"February","EsteroZacatecas vs EsteroZacatecas"
"56",0.617095238095238,"February","EsteroZacatecas vs EsteroZacatecas"
"57",0.700571428571429,"February","EsteroZacatecas vs EsteroZacatecas"
"58",0.689428571428571,"February","EsteroZacatecas vs EsteroZacatecas"
"59",0.587952380952381,"February","EsteroZacatecas vs EsteroZacatecas"
"60",0.796380952380952,"February","EsteroZacatecas vs EsteroZacatecas"
"61",0.551285714285714,"February","EsteroZacatecas vs EsteroZacatecas"
"62",0.803,"February","EsteroZacatecas vs EsteroZacatecas"
"63",0.545619047619048,"February","EsteroZacatecas vs EsteroZacatecas"
"64",0.766,"February","EsteroZacatecas vs EsteroZacatecas"
"65",0.653238095238095,"February","EsteroZacatecas vs EsteroZacatecas"
"66",0.862666666666667,"February","EsteroZacatecas vs EsteroZacatecas"
"67",0.39952380952381,"September","ColaDeBallena vs ColaDeBallena"
"68",0.537285714285714,"September","ColaDeBallena vs ColaDeBallena"
"69",0.438047619047619,"September","ColaDeBallena vs ColaDeBallena"
"70",0.605666666666667,"September","ColaDeBallena vs ColaDeBallena"
"71",0.517190476190476,"September","ColaDeBallena vs ColaDeBallena"
"72",0.760142857142857,"September","ColaDeBallena vs EsteroZacatecas"
"73",0.724904761904762,"September","ColaDeBallena vs EsteroZacatecas"
