"","Value","site","season"
"1",0.514190476190476,"ColaDeBallena","February vs February"
"2",0.676619047619048,"ColaDeBallena","February vs February"
"3",0.819857142857143,"ColaDeBallena","February vs February"
"4",0.720428571428571,"ColaDeBallena","February vs February"
"5",0.719047619047619,"ColaDeBallena","February vs February"
"6",0.814095238095238,"ColaDeBallena","February vs September"
"7",0.759714285714286,"ColaDeBallena","February vs September"
"8",0.806952380952381,"ColaDeBallena","February vs September"
"9",0.724857142857143,"ColaDeBallena","February vs September"
"10",0.769285714285714,"ColaDeBallena","February vs September"
"11",0.775,"ColaDeBallena","February vs September"
"12",0.672285714285714,"ColaDeBallena","February vs February"
"13",0.787190476190476,"ColaDeBallena","February vs February"
"14",0.704619047619048,"ColaDeBallena","February vs February"
"15",0.740047619047619,"ColaDeBallena","February vs February"
"16",0.830857142857143,"ColaDeBallena","February vs September"
"17",0.756333333333333,"ColaDeBallena","February vs September"
"18",0.799571428571429,"ColaDeBallena","February vs September"
"19",0.793047619047619,"ColaDeBallena","February vs September"
"20",0.771095238095238,"ColaDeBallena","February vs September"
"21",0.770380952380952,"ColaDeBallena","February vs September"
"22",0.829857142857143,"ColaDeBallena","February vs February"
"23",0.736952380952381,"ColaDeBallena","February vs February"
"24",0.660095238095238,"ColaDeBallena","February vs February"
"25",0.853619047619048,"ColaDeBallena","February vs September"
"26",0.789857142857143,"ColaDeBallena","February vs September"
"27",0.792238095238095,"ColaDeBallena","February vs September"
"28",0.764666666666667,"ColaDeBallena","February vs September"
"29",0.770619047619048,"ColaDeBallena","February vs September"
"30",0.744047619047619,"ColaDeBallena","February vs September"
"31",0.559333333333333,"ColaDeBallena","February vs February"
"32",0.617571428571429,"ColaDeBallena","February vs February"
"33",0.939904761904762,"ColaDeBallena","February vs September"
"34",0.878904761904762,"ColaDeBallena","February vs September"
"35",0.894,"ColaDeBallena","February vs September"
"36",0.927666666666667,"ColaDeBallena","February vs September"
"37",0.871619047619048,"ColaDeBallena","February vs September"
"38",0.924047619047619,"ColaDeBallena","February vs September"
"39",0.475,"ColaDeBallena","February vs February"
"40",0.864238095238095,"ColaDeBallena","February vs September"
"41",0.810952380952381,"ColaDeBallena","February vs September"
"42",0.825380952380952,"ColaDeBallena","February vs September"
"43",0.821047619047619,"ColaDeBallena","February vs September"
"44",0.761476190476191,"ColaDeBallena","February vs September"
"45",0.843571428571429,"ColaDeBallena","February vs September"
"46",0.862476190476191,"ColaDeBallena","February vs September"
"47",0.812095238095238,"ColaDeBallena","February vs September"
"48",0.825952380952381,"ColaDeBallena","February vs September"
"49",0.785333333333333,"ColaDeBallena","February vs September"
"50",0.726428571428571,"ColaDeBallena","February vs September"
"51",0.835952380952381,"ColaDeBallena","February vs September"
"52",0.39952380952381,"ColaDeBallena","September vs September"
"53",0.537285714285714,"ColaDeBallena","September vs September"
"54",0.438047619047619,"ColaDeBallena","September vs September"
"55",0.605666666666667,"ColaDeBallena","September vs September"
"56",0.517190476190476,"ColaDeBallena","September vs September"
"57",0.519619047619048,"ColaDeBallena","September vs September"
"58",0.405142857142857,"ColaDeBallena","September vs September"
"59",0.588142857142857,"ColaDeBallena","September vs September"
"60",0.475428571428571,"ColaDeBallena","September vs September"
"61",0.540095238095238,"ColaDeBallena","September vs September"
"62",0.640238095238095,"ColaDeBallena","September vs September"
"63",0.612761904761905,"ColaDeBallena","September vs September"
"64",0.526761904761905,"ColaDeBallena","September vs September"
"65",0.406047619047619,"ColaDeBallena","September vs September"
"66",0.539380952380952,"ColaDeBallena","September vs September"
"67",0.869714285714286,"EsteroZacatecas","February vs February"
"68",0.631047619047619,"EsteroZacatecas","February vs February"
"69",0.783047619047619,"EsteroZacatecas","February vs February"
"70",0.92652380952381,"EsteroZacatecas","February vs February"
"71",0.617095238095238,"EsteroZacatecas","February vs February"
"72",0.855095238095238,"EsteroZacatecas","February vs September"
"73",0.804428571428571,"EsteroZacatecas","February vs September"
"74",0.745666666666667,"EsteroZacatecas","February vs September"
"75",0.899142857142857,"EsteroZacatecas","February vs September"
"76",0.806190476190476,"EsteroZacatecas","February vs September"
"77",0.755904761904762,"EsteroZacatecas","February vs September"
"78",0.700571428571429,"EsteroZacatecas","February vs February"
"79",0.689428571428571,"EsteroZacatecas","February vs February"
"80",0.587952380952381,"EsteroZacatecas","February vs February"
"81",0.796380952380952,"EsteroZacatecas","February vs February"
"82",0.768238095238095,"EsteroZacatecas","February vs September"
"83",0.745952380952381,"EsteroZacatecas","February vs September"
"84",0.849761904761905,"EsteroZacatecas","February vs September"
"85",0.729904761904762,"EsteroZacatecas","February vs September"
"86",0.904095238095238,"EsteroZacatecas","February vs September"
"87",0.840619047619048,"EsteroZacatecas","February vs September"
"88",0.551285714285714,"EsteroZacatecas","February vs February"
"89",0.803,"EsteroZacatecas","February vs February"
"90",0.545619047619048,"EsteroZacatecas","February vs February"
"91",0.809761904761905,"EsteroZacatecas","February vs September"
"92",0.766809523809524,"EsteroZacatecas","February vs September"
"93",0.736285714285714,"EsteroZacatecas","February vs September"
"94",0.841238095238095,"EsteroZacatecas","February vs September"
"95",0.827380952380952,"EsteroZacatecas","February vs September"
"96",0.746619047619048,"EsteroZacatecas","February vs September"
"97",0.766,"EsteroZacatecas","February vs February"
"98",0.653238095238095,"EsteroZacatecas","February vs February"
"99",0.868142857142857,"EsteroZacatecas","February vs September"
"100",0.859666666666667,"EsteroZacatecas","February vs September"
"101",0.860857142857143,"EsteroZacatecas","February vs September"
"102",0.859619047619048,"EsteroZacatecas","February vs September"
"103",0.912047619047619,"EsteroZacatecas","February vs September"
"104",0.857904761904762,"EsteroZacatecas","February vs September"
"105",0.862666666666667,"EsteroZacatecas","February vs February"
"106",0.851857142857143,"EsteroZacatecas","February vs September"
"107",0.850428571428571,"EsteroZacatecas","February vs September"
"108",0.900142857142857,"EsteroZacatecas","February vs September"
"109",0.810809523809524,"EsteroZacatecas","February vs September"
"110",0.950238095238095,"EsteroZacatecas","February vs September"
"111",0.903380952380952,"EsteroZacatecas","February vs September"
"112",0.886809523809524,"EsteroZacatecas","February vs September"
"113",0.863619047619048,"EsteroZacatecas","February vs September"
"114",0.855,"EsteroZacatecas","February vs September"
"115",0.901190476190476,"EsteroZacatecas","February vs September"
"116",0.890238095238095,"EsteroZacatecas","February vs September"
"117",0.845142857142857,"EsteroZacatecas","February vs September"
