"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FCBAG1",0,0.716579536967887,0.833676975945017,0.89173583543847,0.860383944153578,0.854844743733633,0.973521944142184,0.926979773740144,0.939500527611678,0.956482861400894,0.94093761535622,0.968067226890756,0.907310704960836,0.867491166077739,0.922492401215805,0.870783847980998,0.897224631396357,0.897606382978723,0.927189988623436,0.933852140077821,0.947550931946251,0.941026458399745,0.9675,0.945497630331753
"FCBAG2",0.716579536967887,0,0.80507614213198,0.884561891515994,0.854159649713708,0.860299358517463,0.970149253731343,0.930605564648118,0.941571524513096,0.953394706559264,0.938184387142353,0.967814612166077,0.898502495840266,0.856961489631824,0.901330376940133,0.882169853268119,0.884263114071607,0.869452822059457,0.933477166486875,0.932071269487751,0.947908121410993,0.943494196701283,0.969101123595506,0.950654205607477
"FCBAG3",0.833676975945017,0.80507614213198,0,0.902185223725286,0.877714667557634,0.846013167520117,0.971147079521464,0.931388796818031,0.952493261455526,0.957971014492754,0.929552023121387,0.974059662775616,0.923998347790169,0.892961266139109,0.908752327746741,0.885430762291385,0.888748419721871,0.862995594713656,0.924972416329533,0.933784800601956,0.955693581780538,0.922057431366362,0.971414959504526,0.951839211224877
"FCBAG4",0.89173583543847,0.884561891515994,0.902185223725286,0,0.738678853344412,0.770299609205384,0.972748815165877,0.951572099747018,0.947089947089947,0.956299840510367,0.94188376753507,0.975108225108225,0.948387096774194,0.917477978674084,0.93155737704918,0.940305870744943,0.913104744011273,0.940403566400751,0.961661341853035,0.961108812577575,0.965176470588235,0.961034598589184,0.983951300498063,0.966553767993226
"FCBAG5",0.860383944153578,0.854159649713708,0.877714667557634,0.738678853344412,0,0.707390004271679,0.967872968980798,0.93128453038674,0.939124243503026,0.952870090634441,0.935386927122464,0.968739381583418,0.924880590534086,0.898039215686274,0.910540645663166,0.898918664786084,0.869761153672826,0.920299427564949,0.940864291129644,0.941291585127202,0.949517120280948,0.943426550948248,0.971631205673759,0.948942959712804
"FCBAG6",0.854844743733633,0.860299358517463,0.846013167520117,0.770299609205384,0.707390004271679,0,0.9636,0.917633845001872,0.935990801073208,0.951462552234008,0.92080426754206,0.967541940189643,0.91963861150737,0.889684813753582,0.902830587241234,0.87651077246453,0.841628959276018,0.912959381044487,0.917676556623485,0.921517895644674,0.943022694350555,0.918245614035088,0.964852607709751,0.942123585726719
"FEZAG1",0.973521944142184,0.970149253731343,0.971147079521464,0.972748815165877,0.967872968980798,0.9636,0,0.903092783505155,0.807962529274005,0.869873228933632,0.930926916221034,0.778769375293565,0.943034697048162,0.948795180722892,0.95862676056338,0.951621770203408,0.944501018329939,0.965110312981016,0.926751592356688,0.899660688317984,0.863609982588508,0.940958039361307,0.892361111111111,0.87352790578597
"FEZAG2",0.926979773740144,0.930605564648118,0.931388796818031,0.951572099747018,0.93128453038674,0.917633845001872,0.903092783505155,0,0.80512389752205,0.827525519183386,0.757366482504604,0.857818038597873,0.941681735985533,0.941176470588235,0.955738347042695,0.934331240946403,0.925271739130435,0.95536519386835,0.836323851203501,0.849081952530228,0.882731321128154,0.832592592592593,0.929378531073446,0.882431828341529
"FEZAG3",0.939500527611678,0.941571524513096,0.952493261455526,0.947089947089947,0.939124243503026,0.935990801073208,0.807962529274005,0.80512389752205,0,0.739317914543316,0.860167622408469,0.740388964269561,0.947517730496454,0.938518863530508,0.955364455364455,0.945032778618255,0.937411764705882,0.962788506829958,0.894874022589053,0.861845155308299,0.845366379310345,0.904005774088777,0.904615384615385,0.846153846153846
"FEZAG4",0.956482861400894,0.953394706559264,0.957971014492754,0.956299840510367,0.952870090634441,0.951462552234008,0.869873228933632,0.827525519183386,0.739317914543316,0,0.865903213889915,0.796098638203901,0.967250571210967,0.962476547842401,0.968410326086957,0.966733466933868,0.961392884178653,0.975609756097561,0.925912796880539,0.911949685534591,0.913636363636364,0.919656547071451,0.948979591836735,0.905868902439024
