"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FCBAG1",0,0.534149015384186,0.600546423922989,0.638379553911744,0.629653957064121,0.639229546240619,0.756219060067607,0.693777719023012,0.695138447939807,0.689946701182805,0.708230463626787,0.72418064475226,0.714006118013278,0.663710714825182,0.712120497241657,0.72226668113766,0.717350623729978,0.697200198048573,0.725135839025826,0.738288912738014,0.762322793986008,0.742883535216314,0.828475584373359,0.758048671649583
"FCBAG2",0.534149015384186,0,0.572275508377848,0.623151945890127,0.630600476734902,0.645783401361124,0.773008779408249,0.707096214210067,0.709174719812563,0.700068607917722,0.713981518686882,0.73127450092427,0.712643304085277,0.647554413455415,0.683230636138283,0.71771302369958,0.696721428458378,0.679938457292135,0.740057510901455,0.753987284165576,0.780567804112627,0.744217317299102,0.83857680161492,0.774378225375284
"FCBAG3",0.600546423922989,0.572275508377848,0,0.65107388490661,0.65520928177243,0.646365605690041,0.757593274107403,0.695711659481687,0.711218036693565,0.699047970952348,0.684255350422561,0.727622211939553,0.709911901630399,0.65842462775219,0.669837900055522,0.716037282377693,0.693825409437292,0.661142245865564,0.718417839796616,0.724756583443402,0.771384898984033,0.722112138833909,0.832180838553251,0.758452494599451
"FCBAG4",0.638379553911744,0.623151945890127,0.65107388490661,0,0.53976677949246,0.558458212608294,0.760212120462844,0.728360136683177,0.71673377893005,0.703614158158992,0.716364590004916,0.739086148089744,0.756789784240205,0.683548797293663,0.715444455145033,0.740914966838232,0.721765409002183,0.732338466622247,0.74840767324853,0.758301203884279,0.783858315835086,0.758848095903727,0.8433110849342,0.77442616016312
"FCBAG5",0.629653957064121,0.630600476734902,0.65520928177243,0.53976677949246,0,0.527800115335646,0.767424273040191,0.730978431428004,0.717312249080309,0.725003743127714,0.725526414595527,0.73974385295291,0.759245306690572,0.698506979905229,0.725599968344785,0.729832390549968,0.716772789713546,0.73667120347209,0.746529225555674,0.753406695410751,0.788193566808419,0.770993441311714,0.8409368712206,0.773983717556744
"FCBAG6",0.639229546240619,0.645783401361124,0.646365605690041,0.558458212608294,0.527800115335646,0,0.74774646073038,0.700739023920232,0.695176419361615,0.7095776746865,0.692316414536934,0.727613101708545,0.739692996584466,0.67056095319257,0.713493560478675,0.69957295698554,0.682217264561148,0.726469957583589,0.718709554693716,0.726861926936812,0.761878759824605,0.733590229604434,0.81397887270702,0.739740269493616
"FEZAG1",0.756219060067607,0.773008779408249,0.757593274107403,0.760212120462844,0.767424273040191,0.74774646073038,0,0.660653133701715,0.596849551812546,0.656069110729175,0.687953039123634,0.580884656935379,0.754325951580723,0.741343949649719,0.768968493681246,0.745428290219251,0.737245924962365,0.762775572655696,0.712249870011033,0.682999082361424,0.669390792862449,0.722330300628223,0.750225742565588,0.669995804900599
"FEZAG2",0.693777719023012,0.707096214210067,0.695711659481687,0.728360136683177,0.730978431428004,0.700739023920232,0.660653133701715,0,0.591019088737772,0.616537546662099,0.562526131002057,0.628685946992062,0.734534052011628,0.715120763159892,0.753470136046235,0.722656231049445,0.698048261710507,0.750543067238532,0.628240933127124,0.647253114273354,0.666077074719499,0.633727031940535,0.752996371598812,0.669259317249623
"FEZAG3",0.695138447939807,0.709174719812563,0.711218036693565,0.71673377893005,0.717312249080309,0.695176419361615,0.596849551812546,0.591019088737772,0,0.567511985766779,0.627536643455382,0.537671340291363,0.744119355912787,0.715618626607276,0.753985200226177,0.733577342410622,0.71563563457631,0.744007204212422,0.670688051373453,0.660395348349867,0.651319290356342,0.688314949459475,0.756238134279763,0.665178321732048
"FEZAG4",0.689946701182805,0.700068607917722,0.699047970952348,0.703614158158992,0.725003743127714,0.7095776746865,0.656069110729175,0.616537546662099,0.567511985766779,0,0.658624398449821,0.584256116022784,0.770542682926817,0.739408748559002,0.755524636244917,0.780204480152323,0.750824404817497,0.769946079592403,0.708872870560316,0.702248399113717,0.723194528114994,0.688680579433055,0.81272661451326,0.716668231536081
"FEZAG5",0.708230463626787,0.713981518686882,0.684255350422561,0.716364590004916,0.725526414595527,0.692316414536934,0.687953039123634,0.562526131002057,0.627536643455382,0.658624398449821,0,0.659152582331879,0.713965726484087,0.700826362694748,0.737967607657622,0.730763183290048,0.693970191642132,0.737272875924505,0.661800964005742,0.639962873767708,0.677498240019134,0.658865349970735,0.754773441920203,0.701412812413075
"FEZAG6",0.72418064475226,0.73127450092427,0.727622211939553,0.739086148089744,0.73974385295291,0.727613101708545,0.580884656935379,0.628685946992062,0.537671340291363,0.584256116022784,0.659152582331879,0,0.764288494746432,0.740085715526832,0.76451612288132,0.761760704562532,0.748354865278403,0.768721582497662,0.70537104452506,0.689608204216372,0.687038128182951,0.714111336142389,0.764362991088782,0.683229495824385
"SCBAG1",0.714006118013278,0.712643304085277,0.709911901630399,0.756789784240205,0.759245306690572,0.739692996584466,0.754325951580723,0.734534052011628,0.744119355912787,0.770542682926817,0.713965726484087,0.764288494746432,0,0.590728752079336,0.667292864151539,0.64744846143982,0.623128295711591,0.631696243431739,0.681929337862747,0.686139373304924,0.700553630187016,0.736702669139137,0.74027692947353,0.731784469989462
"SCBAG2",0.663710714825182,0.647554413455415,0.65842462775219,0.683548797293663,0.698506979905229,0.67056095319257,0.741343949649719,0.715120763159892,0.715618626607276,0.739408748559002,0.700826362694748,0.740085715526832,0.590728752079336,0,0.633571166009599,0.625180243804156,0.617093465769835,0.598512693144457,0.686735331475501,0.679103044189046,0.705162257860224,0.730235261218225,0.761745923219045,0.70235700420779
"SCBAG3",0.712120497241657,0.683230636138283,0.669837900055522,0.715444455145033,0.725599968344785,0.713493560478675,0.768968493681246,0.753470136046235,0.753985200226177,0.755524636244917,0.737967607657622,0.76451612288132,0.667292864151539,0.633571166009599,0,0.675618754941272,0.657443821695646,0.649973338233953,0.724360172772792,0.713957800126405,0.744429813992031,0.739235231418397,0.791461817525261,0.752501310247069
"SCBAG4",0.72226668113766,0.71771302369958,0.716037282377693,0.740914966838232,0.729832390549968,0.69957295698554,0.745428290219251,0.722656231049445,0.733577342410622,0.780204480152323,0.730763183290048,0.761760704562532,0.64744846143982,0.625180243804156,0.675618754941272,0,0.601776205346439,0.656111067460814,0.684070913802205,0.665716904617677,0.684885878734825,0.733803040950737,0.723564022442548,0.687370634571815
"SCBAG5",0.717350623729978,0.696721428458378,0.693825409437292,0.721765409002183,0.716772789713546,0.682217264561148,0.737245924962365,0.698048261710507,0.71563563457631,0.750824404817497,0.693970191642132,0.748354865278403,0.623128295711591,0.617093465769835,0.657443821695646,0.601776205346439,0,0.640865971957543,0.640282608122638,0.66934967570664,0.690891023666309,0.701803440974393,0.738684900738817,0.699289949884337
"SCBAG6",0.697200198048573,0.679938457292135,0.661142245865564,0.732338466622247,0.73667120347209,0.726469957583589,0.762775572655696,0.750543067238532,0.744007204212422,0.769946079592403,0.737272875924505,0.768721582497662,0.631696243431739,0.598512693144457,0.649973338233953,0.656111067460814,0.640865971957543,0,0.71985374648413,0.710784712232594,0.736072712466643,0.757225863812505,0.765069009083776,0.739765521207927
"SEZAG1",0.725135839025826,0.740057510901455,0.718417839796616,0.74840767324853,0.746529225555674,0.718709554693716,0.712249870011033,0.628240933127124,0.670688051373453,0.708872870560316,0.661800964005742,0.70537104452506,0.681929337862747,0.686735331475501,0.724360172772792,0.684070913802205,0.640282608122638,0.71985374648413,0,0.580008208807119,0.613031891351362,0.589582867514999,0.705730523375781,0.644119315864896
"SEZAG2",0.738288912738014,0.753987284165576,0.724756583443402,0.758301203884279,0.753406695410751,0.726861926936812,0.682999082361424,0.647253114273354,0.660395348349867,0.702248399113717,0.639962873767708,0.689608204216372,0.686139373304924,0.679103044189046,0.713957800126405,0.665716904617677,0.66934967570664,0.710784712232594,0.580008208807119,0,0.599557852621197,0.629345976146733,0.68914468482284,0.61018482671665
"SEZAG3",0.762322793986008,0.780567804112627,0.771384898984033,0.783858315835086,0.788193566808419,0.761878759824605,0.669390792862449,0.666077074719499,0.651319290356342,0.723194528114994,0.677498240019134,0.687038128182951,0.700553630187016,0.705162257860224,0.744429813992031,0.684885878734825,0.690891023666309,0.736072712466643,0.613031891351362,0.599557852621197,0,0.679325299443692,0.589299411567453,0.58676806735695
"SEZAG4",0.742883535216314,0.744217317299102,0.722112138833909,0.758848095903727,0.770993441311714,0.733590229604434,0.722330300628223,0.633727031940535,0.688314949459475,0.688680579433055,0.658865349970735,0.714111336142389,0.736702669139137,0.730235261218225,0.739235231418397,0.733803040950737,0.701803440974393,0.757225863812505,0.589582867514999,0.629345976146733,0.679325299443692,0,0.770650309402204,0.697350846371921
"SEZAG5",0.828475584373359,0.83857680161492,0.832180838553251,0.8433110849342,0.8409368712206,0.81397887270702,0.750225742565588,0.752996371598812,0.756238134279763,0.81272661451326,0.754773441920203,0.764362991088782,0.74027692947353,0.761745923219045,0.791461817525261,0.723564022442548,0.738684900738817,0.765069009083776,0.705730523375781,0.68914468482284,0.589299411567453,0.770650309402204,0,0.664707514976226
"SEZAG6",0.758048671649583,0.774378225375284,0.758452494599451,0.77442616016312,0.773983717556744,0.739740269493616,0.669995804900599,0.669259317249623,0.665178321732048,0.716668231536081,0.701412812413075,0.683229495824385,0.731784469989462,0.70235700420779,0.752501310247069,0.687370634571815,0.699289949884337,0.739765521207927,0.644119315864896,0.61018482671665,0.58676806735695,0.697350846371921,0.664707514976226,0
