"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FCBAG1",0,0.0786195472296003,0.128698708731211,0.153613231537817,0.143799572559593,0.166641148790358,0.27283069809612,0.255800806008167,0.235658986628704,0.221418537096391,0.258861974076248,0.258865925773921,0.25714950833731,0.220746978550927,0.194234931501038,0.24670691708316,0.232488245902,0.241440026580949,0.226305564987629,0.236729198906757,0.25816964969642,0.19681189717938,0.296776544464818,0.277532431240526
"FCBAG2",0.0786195472296003,0,0.127659660956534,0.134831491403437,0.144691764544212,0.172000998658622,0.275636986933399,0.250918596773393,0.230520105070115,0.206848902876827,0.247776309772155,0.254333225221609,0.275868128032187,0.235103778314218,0.202882342466293,0.267925579557185,0.245866171977204,0.257126286170948,0.250546382023873,0.256246850343654,0.276634255537668,0.216353445189455,0.31739788866524,0.300877261656842
"FCBAG3",0.128698708731211,0.127659660956534,0,0.153125528212664,0.148539009571323,0.138400191541304,0.261529514123818,0.225330661550154,0.231054996107622,0.20322567773017,0.231026194357535,0.265340139665038,0.237743471035694,0.19773138143705,0.17023174790104,0.227347590383355,0.209917976728589,0.220891607234937,0.201477065022143,0.204558195573376,0.226052797195939,0.174460510992243,0.26773542757392,0.247757792411688
"FCBAG4",0.153613231537817,0.134831491403437,0.153125528212664,0,0.115990823854115,0.139136802188411,0.274826948683481,0.246091118854681,0.237916381955788,0.207012828578613,0.244160544535693,0.268623816520955,0.28936160846454,0.254216510428016,0.223582402368925,0.281641326078497,0.260308849405869,0.280907111277281,0.258454018898088,0.263316339631764,0.280740623869768,0.220858825083855,0.322346146682833,0.304792747847631
"FCBAG5",0.143799572559593,0.144691764544212,0.148539009571323,0.115990823854115,0,0.114548716709399,0.279682789991079,0.250105626106533,0.243508714280904,0.222582775481235,0.256156354417008,0.27314212658808,0.263037901555314,0.236608860243522,0.217255740472528,0.249022220668962,0.232813493369103,0.255303802193778,0.239458414936093,0.238717374472839,0.259724031084537,0.212050010490052,0.297440311658385,0.279483169464669
"FCBAG6",0.166641148790358,0.172000998658622,0.138400191541304,0.139136802188411,0.114548716709399,0,0.268616374581192,0.203988103718515,0.229157176523764,0.209217384258037,0.220614325260564,0.266776127642857,0.224594405431583,0.208915945755597,0.193735631961922,0.214136343683243,0.19849023171853,0.226491414262907,0.210337522517682,0.195057007588094,0.227160321939634,0.186135176133041,0.257792901972879,0.242400880012552
"FEZAG1",0.27283069809612,0.275636986933399,0.261529514123818,0.274826948683481,0.279682789991079,0.268616374581192,0,0.237891875086901,0.132305187607724,0.215228661312996,0.298885556008666,0.102352835940887,0.310498226846374,0.313797245379781,0.294277883014466,0.298301018949036,0.282520023233021,0.315026746431099,0.24364781753802,0.225268038946754,0.197185008415835,0.232857926346748,0.252597267525851,0.207434308742466
"FEZAG2",0.255800806008167,0.250918596773393,0.225330661550154,0.246091118854681,0.250105626106533,0.203988103718515,0.237891875086901,0,0.166507735228421,0.147822945404835,0.129579954781875,0.220831302013813,0.271394956827092,0.282394533233949,0.273647104821496,0.265764959075694,0.248178522756296,0.286087249240495,0.225626145717938,0.216426427442985,0.243673524891555,0.189240577258786,0.291782226091311,0.263466298067758
"FEZAG3",0.235658986628704,0.230520105070115,0.231054996107622,0.237916381955788,0.243508714280904,0.229157176523764,0.132305187607724,0.166507735228421,0,0.121357095050717,0.234367815592051,0.106099523820357,0.302336881868639,0.298759204485232,0.278011871157627,0.282511353472813,0.263428122002864,0.298409438590457,0.229805080587423,0.209778377857534,0.188835162239941,0.211335008768972,0.249798393558323,0.204032967581836
"FEZAG4",0.221418537096391,0.206848902876827,0.20322567773017,0.207012828578613,0.222582775481235,0.209217384258037,0.215228661312996,0.147822945404835,0.121357095050717,0,0.199029300170542,0.163995278236503,0.301775013443726,0.289239674484967,0.269752273924155,0.289966286668291,0.276377836812399,0.298137078747087,0.237889408727045,0.233255590271671,0.256586165392409,0.204391934552287,0.305983973264164,0.28165868766123
