"","MDS1","MDS2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",-54.3771936639916,-3.27395737050941,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",-60.7524154935938,-6.11083737535722,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",-64.055648813233,25.0084336309977,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",-31.9810342672611,-43.1424917692464,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",-43.267829692257,-36.8608615764049,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",-41.5862197924134,-24.3781267550168,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",30.4069706559766,-41.4658501989378,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",60.1425215529301,22.4800626319774,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",44.9056704833796,-20.4807169377941,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",79.1490241733978,-29.3889939019375,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
