"","PCo1","PCo2","sample-id","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","COND","TDS","ORP","pH","salinity","temperature","group"
"FCBAG1",-38.3469883762142,-21.3622934996285,"FCBAG1","February","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,"-110.3496596","2024-02",80.39,110,-50.5,6.68,62.5,20.3,"February_ColaDeBallena"
"FCBAG2",-42.9682717862861,-24.3212458853449,"FCBAG2","February","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,"-110.349705","2024-02",76.84,100.75,-52,6.62,51.5,19.4,"February_ColaDeBallena"
"FCBAG3",-39.6865131616308,-17.395124675501,"FCBAG3","February","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,"-110.3497365","2024-02",66.28,81.66,-83,6.66,35.5,18.7,"February_ColaDeBallena"
"FCBAG4",-30.5379254775655,-43.0207899155691,"FCBAG4","February","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,"-110.3497073","2024-02",55.24,62.67,20.5,7.07,23,19.3,"February_ColaDeBallena"
"FCBAG5",-39.8695761244685,-41.1937277196798,"FCBAG5","February","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,"-110.3497003","2024-02",55.63,63.57,10.5,7.41,31,18.3,"February_ColaDeBallena"
"FCBAG6",-38.7118370229863,-34.0107929117935,"FCBAG6","February","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,"-110.3496416","2024-02",56.11,64.83,-11,7.62,25.5,17.85,"February_ColaDeBallena"
"FEZAG1",41.7066147770032,-12.6113273183813,"FEZAG1","February","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,"-110.4316143","2024-02",81.76,110.25,-39.5,6.91,60.5,21.6,"February_EsteroZacatecas"
"FEZAG2",44.5316330647065,-11.3576450438324,"FEZAG2","February","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,"-110.437037","2024-02",89.65,128,-112,6.75,64,22.2,"February_EsteroZacatecas"
"FEZAG3",54.6857187209892,-27.345416077134,"FEZAG3","February","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,"-110.4365979","2024-02",93.47,136.45,-192,6.75,66,22.05,"February_EsteroZacatecas"
"FEZAG4",60.3771476565232,-41.5565074816212,"FEZAG4","February","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,"-110.4357429","2024-02",85.78,119.9,-243.5,6.81,56.5,21.4,"February_EsteroZacatecas"
"FEZAG5",25.6188297097314,-14.9646064139868,"FEZAG5","February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,"-110.4349064","2024-02",62.17,74.2,-115,7.13,42.5,20.15,"February_EsteroZacatecas"
"FEZAG6",59.8068091378802,-32.2457635075736,"FEZAG6","February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,"-110.4330398","2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,"February_EsteroZacatecas"
"SCBAG1",-21.3262739043306,27.2077696686029,"SCBAG1","September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG2",-28.2505430463383,19.5569600943156,"SCBAG2","September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
"SCBAG3",-30.0060340272109,20.8272545069411,"SCBAG3","September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",NA,NA,"2024-09",NA,NA,NA,NA,NA,NA,"September_ColaDeBallena"
