"","FCBAG1","FCBAG2","FCBAG3","FCBAG4","FCBAG5","FCBAG6","FEZAG1","FEZAG2","FEZAG3","FEZAG4","FEZAG5","FEZAG6","SCBAG1","SCBAG2","SCBAG3","SCBAG4","SCBAG5","SCBAG6","SEZAG1","SEZAG2","SEZAG3","SEZAG4","SEZAG5","SEZAG6"
"FCBAG1",0,97.1955839702374,119.533211071451,123.008517800346,120.359499445108,118.351968470946,139.743951292727,140.665195730275,136.197713973185,147.770232454824,131.082392627818,144.502519409516,117.252163242005,112.028631107865,127.084142388255,105.174623107379,117.240660667923,110.819741459648,130.329290419215,128.063804533859,121.960700565026,148.212571234058,114.384412688494,129.559740156005
"FCBAG2",97.1955839702374,0,117.03977139533,122.172959799118,120.789865717681,120.836031855413,141.258759721613,143.092496698651,137.816755817208,149.266643414113,132.051979198953,146.669353577613,117.616038092641,111.811533961141,125.739794574815,110.065147361916,116.14269584227,108.301362250721,133.936793221313,130.258894348133,124.033959679848,151.413968901482,117.259477127908,132.902219332454
"FCBAG3",119.533211071451,117.03977139533,0,128.190990958844,127.24497985347,119.077010167268,144.352517978137,144.336050156961,143.09040299667,153.069803800786,133.249360282045,150.937034608067,125.403895429009,121.025756175673,129.542350476823,113.588472989025,119.46396144449,110.876152881326,133.987238948453,132.549744549934,128.158952715744,147.625292681612,120.958999214248,135.5862429898
"FCBAG4",123.008517800346,122.172959799118,128.190990958844,0,95.5600364826685,100.581388151986,135.115189158473,140.932113290888,132.688639821164,142.940957851584,126.365483906359,141.189244149925,121.521707416755,117.406100678792,126.195643706567,116.564266234836,117.650273848288,116.615952998658,133.823223208055,130.112015428368,121.368794573632,149.747760668595,113.268677214651,131.04576372056
"FCBAG5",120.359499445108,120.789865717681,127.24497985347,95.5600364826685,0,92.4490603077666,139.271597163981,141.136584539686,136.09502069236,146.879369091734,130.017644465993,145.236586916408,120.919313376065,117.36944978995,126.444637504684,112.146586355063,111.888918737322,115.758888718753,134.420361478707,130.548817183755,123.296273904669,150.254490834958,116.380376633692,131.889515269981
"FCBAG6",118.351968470946,120.836031855413,119.077010167268,100.581388151986,92.4490603077666,0,138.30063910366,137.421228794705,135.131563842776,145.925430886477,126.619757612514,144.6294072441,119.590223637616,116.001400194051,124.700618657896,107.924307219958,106.576341171733,114.422329695056,129.387030257291,126.475348678651,121.729008874215,143.757660926898,115.09726651112,130.128957202609
"FEZAG1",139.743951292727,141.258759721613,144.352517978137,135.115189158473,139.271597163981,138.30063910366,0,133.822224443079,107.670925231407,127.503190442696,127.972004559461,104.363325143086,122.128554353804,124.670751261802,133.512928579517,120.376517595702,125.842643611988,122.160275267237,128.720099711347,120.858256237788,106.934009663495,147.369061080159,101.997995198401,114.933684661486
"FEZAG2",140.665195730275,143.092496698651,144.336050156961,140.932113290888,141.136584539686,137.421228794705,133.822224443079,0,116.704626997826,125.527367647543,103.707883324261,129.954538856151,132.612015265558,133.920542653646,142.823537911762,127.372266377762,132.215125120466,130.667996422041,121.572919758108,119.93325611376,120.758947458916,132.517413851014,118.457492280862,126.081875420874
"FEZAG3",136.197713973185,137.816755817208,143.09040299667,132.688639821164,136.09502069236,135.131563842776,107.670925231407,116.704626997826,0,103.315371646597,117.522030510448,99.6555514770039,125.737432927792,126.244979472131,135.788828159953,122.103242378069,127.376060173172,124.5811592088,125.746793627424,117.194376707807,105.68590314498,142.307672794524,105.36323865585,112.764293586791
"FEZAG4",147.770232454824,149.266643414113,153.069803800786,142.940957851584,146.879369091734,145.925430886477,127.503190442696,125.527367647543,103.315371646597,0,123.848003628963,116.719037130105,138.883684140484,139.083004928723,147.320305139004,134.978841327872,140.313028722142,136.641114080535,139.42014692744,133.998810586967,125.551455735061,153.188310544274,121.734847982601,131.537802234336
"FEZAG5",131.082392627818,132.051979198953,133.249360282045,126.365483906359,130.017644465993,126.619757612514,127.972004559461,103.707883324261,117.522030510448,123.848003628963,0,126.803768975679,121.373364737586,121.859208621119,131.228093297332,117.531659889729,122.578296173491,119.162912867565,119.298757956095,117.201061260069,114.633488753806,129.018304660641,109.663066215017,122.722178377832
"FEZAG6",144.502519409516,146.669353577613,150.937034608067,141.189244149925,145.236586916408,144.6294072441,104.363325143086,129.954538856151,99.6555514770039,116.719037130105,126.803768975679,0,132.889787768487,134.022223148278,142.648356369954,129.760208493934,136.579885243109,131.341904657144,136.222902974744,129.0136728182,118.151270606486,152.404988589739,112.420829888781,123.554079614217
"SCBAG1",117.252163242005,117.616038092641,125.403895429009,121.521707416755,120.919313376065,119.590223637616,122.128554353804,132.612015265558,125.737432927792,138.883684140484,121.373364737586,132.889787768487,0,76.878260426641,95.9474290201843,75.6997603591048,90.1905602393437,82.3815090282162,110.840674041317,105.259567510473,96.4827760261049,135.380179328352,88.3026328199997,104.985845170918
"SCBAG2",112.028631107865,111.811533961141,121.025756175673,117.406100678792,117.36944978995,116.001400194051,124.670751261802,133.920542653646,126.244979472131,139.083004928723,121.859208621119,134.022223148278,76.878260426641,0,95.3127958520761,77.0232777016916,90.5112759476261,82.33323236101,112.918958954405,106.088340832236,100.283670754944,136.729233962029,92.9413599158844,109.046553100925
"SCBAG3",127.084142388255,125.739794574815,129.542350476823,126.195643706567,126.444637504684,124.700618657896,133.512928579517,142.823537911762,135.788828159953,147.320305139004,131.228093297332,142.648356369954,95.9474290201843,95.3127958520761,0,92.2413434466597,101.701498174923,96.8211068649815,124.601815869374,119.390150683431,111.746515195764,145.354491705943,104.230146553434,120.13982169367
"SCBAG4",105.174623107379,110.065147361916,113.588472989025,116.564266234836,112.146586355063,107.924307219958,120.376517595702,127.372266377762,122.103242378069,134.978841327872,117.531659889729,129.760208493934,75.6997603591048,77.0232777016916,92.2413434466597,0,79.3049817618997,74.0992407814249,104.445576530048,100.849470986564,94.0541146639905,127.72841284323,86.3959797035179,102.291009195656
"SCBAG5",117.240660667923,116.14269584227,119.46396144449,117.650273848288,111.888918737322,106.576341171733,125.842643611988,132.215125120466,127.376060173172,140.313028722142,122.578296173491,136.579885243109,90.1905602393437,90.5112759476261,101.701498174923,79.3049817618997,0,88.1073910904722,111.960681023527,108.105774875188,102.172741450544,132.855820785947,98.668110042261,111.800415723151
"SCBAG6",110.819741459648,108.301362250721,110.876152881326,116.615952998658,115.758888718753,114.422329695056,122.160275267237,130.667996422041,124.5811592088,136.641114080535,119.162912867565,131.341904657144,82.3815090282162,82.33323236101,96.8211068649815,74.0992407814249,88.1073910904722,0,111.62363980146,106.241586530183,99.6929246256258,133.062013483438,91.0602451202248,108.029990292869
"SEZAG1",130.329290419215,133.936793221313,133.987238948453,133.823223208055,134.420361478707,129.387030257291,128.720099711347,121.572919758108,125.746793627424,139.42014692744,119.298757956095,136.222902974744,110.840674041317,112.918958954405,124.601815869374,104.445576530048,111.960681023527,111.62363980146,0,88.538776295223,97.3062854338197,107.104274763569,97.6454834664689,103.532863201054
"SEZAG2",128.063804533859,130.258894348133,132.549744549934,130.112015428368,130.548817183755,126.475348678651,120.858256237788,119.93325611376,117.194376707807,133.998810586967,117.201061260069,129.0136728182,105.259567510473,106.088340832236,119.390150683431,100.849470986564,108.105774875188,106.241586530183,88.538776295223,0,87.4191231221315,116.078489900541,88.4598128958678,91.3589051110299
"SEZAG3",121.960700565026,124.033959679848,128.158952715744,121.368794573632,123.296273904669,121.729008874215,106.934009663495,120.758947458916,105.68590314498,125.551455735061,114.633488753806,118.151270606486,96.4827760261049,100.283670754944,111.746515195764,94.0541146639905,102.172741450544,99.6929246256258,97.3062854338197,87.4191231221315,0,125.092187254965,67.4993668112382,74.9871997326008
"SEZAG4",148.212571234058,151.413968901482,147.625292681612,149.747760668595,150.254490834958,143.757660926898,147.369061080159,132.517413851014,142.307672794524,153.188310544274,129.018304660641,152.404988589739,135.380179328352,136.729233962029,145.354491705943,127.72841284323,132.855820785947,133.062013483438,107.104274763569,116.078489900541,125.092187254965,0,124.533466142088,130.236439556612
"SEZAG5",114.384412688494,117.259477127908,120.958999214248,113.268677214651,116.380376633692,115.09726651112,101.997995198401,118.457492280862,105.36323865585,121.734847982601,109.663066215017,112.420829888781,88.3026328199997,92.9413599158844,104.230146553434,86.3959797035179,98.668110042261,91.0602451202248,97.6454834664689,88.4598128958678,67.4993668112382,124.533466142088,0,75.0026852679905
"SEZAG6",129.559740156005,132.902219332454,135.5862429898,131.04576372056,131.889515269981,130.128957202609,114.933684661486,126.081875420874,112.764293586791,131.537802234336,122.722178377832,123.554079614217,104.985845170918,109.046553100925,120.13982169367,102.291009195656,111.800415723151,108.029990292869,103.532863201054,91.3589051110299,74.9871997326008,130.236439556612,75.0026852679905,0
