"Family","metagenomeSeq_n_sig","DESeq2_n_sig","ANCOM-BC2_n_sig","metagenomeSeq_season_enriched","DESeq2_season_enriched","ANCOM-BC2_season_enriched","LEfSe_LDA","LEfSe_enriched","LEfSe_sig"
"Paracoccaceae",48,40,NA,"September","February",NA,4.46947628483455,"September","**"
"Flavobacteriaceae",34,32,NA,"February","February",NA,4.7160103240811,"February","***"
"Sphingomonadaceae",38,25,1,"September","February","September",NA,NA,NA
"Rhodothermaceae",35,21,4,"September","September","September",4.41391110872403,"September","**"
"Cyclobacteriaceae",14,9,NA,"September","February",NA,NA,NA,NA
"Nitriliruptoraceae",11,5,7,"September","September","September",4.47368030683244,"September","***"
"Saprospiraceae",10,13,NA,"February","February",NA,NA,NA,NA
"Euzebyaceae",10,7,3,"September","September","September",4.57254972138506,"September","**"
"Rhizobiaceae",13,5,NA,"September","September",NA,4.20540851397792,"September","**"
"Pirellulaceae",7,9,NA,"February","February",NA,3.93002565637888,"February","***"
"Prolixibacteraceae",7,6,NA,"February","February",NA,3.78770896928621,"February","*"
"Desulfosarcinaceae",5,7,NA,"February","February",NA,3.7685133791021,"February","**"
"Woeseiaceae",6,6,NA,"February","February",NA,3.83848677444016,"February","***"
"Neomegalonemataceae",7,3,NA,"September","September",NA,NA,NA,NA
"Phormidesmiaceae",3,6,NA,"February","February",NA,NA,NA,NA
"Gimesiaceae",5,3,NA,"February","February",NA,3.54031170997998,"February","**"
"Ilumatobacteraceae",4,4,NA,"September","February",NA,NA,NA,NA
"Sulfurovaceae",4,4,NA,"February","February",NA,3.71861490878757,"February","**"
"Parvularculaceae",3,2,2,"September","September","September",3.60767565766819,"September","**"
"Rubinisphaeraceae",3,4,NA,"February","February",NA,3.49566183685314,"February","*"
"Alteromonadaceae",3,3,NA,"February","February",NA,NA,NA,NA
"DEV007",3,3,NA,"February","February",NA,3.34399433305712,"February","**"
"Desulfocapsaceae",2,4,NA,"February","February",NA,3.84830189006712,"February","***"
"Halieaceae",3,3,NA,"February","February",NA,3.64450620898276,"February","***"
"A4b",2,3,NA,"September","February",NA,NA,NA,NA
"Microtrichaceae",3,2,NA,"September","September",NA,NA,NA,NA
"Nocardioidaceae",3,2,NA,"September","September",NA,NA,NA,NA
"Rubritaleaceae",2,3,NA,"February","February",NA,3.58707973431042,"February","**"
"Anaerolineaceae",2,2,NA,"February","February",NA,3.53330808697828,"February","**"
"Bacteroidetes_BD2-2",2,2,NA,"February","February",NA,3.47056284673588,"February","**"
"Caldilineaceae",2,2,NA,"February","February",NA,3.45919169692292,"February","*"
"Nostocaceae",2,2,NA,"February","February",NA,NA,NA,NA
"Rubrobacteriaceae",3,1,NA,"September","September",NA,4.20333344010459,"September","**"
"Xenococcaceae",2,2,NA,"September","September",NA,NA,NA,NA
"Balneolaceae",2,1,NA,"September","February",NA,NA,NA,NA
"Cellvibrionaceae",2,1,NA,"September","September",NA,NA,NA,NA
"Geodermatophilaceae",2,1,NA,"September","September",NA,3.47848379934447,"September","**"
"Hyphomonadaceae",2,1,NA,"February","February",NA,3.37852796425147,"February","*"
"Kiloniellaceae",1,2,NA,"February","February",NA,3.43237253676282,"February","*"
"Puniceicoccaceae",2,1,NA,"February","February",NA,3.49507441521813,"February","**"
"Sandaracinaceae",2,1,NA,"September","February",NA,NA,NA,NA
"Calditrichaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Crocinitomicaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Cryomorphaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Desulfobulbaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Flammeovirgaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Halomonadaceae",2,NA,NA,"September",NA,NA,NA,NA,NA
"Hyphomicrobiaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Iamiaceae",1,1,NA,"September","September",NA,3.54227087206201,"September","**"
"Peptostreptococcaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Saccharospirillaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Salinisphaeraceae",1,1,NA,"September","September",NA,3.38045636123083,"September","***"
"Spirochaetaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Sporichthyaceae",1,1,NA,"September","September",NA,3.33362095489318,"September","***"
"Stappiaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Tenderiaceae",1,1,NA,"February","February",NA,NA,NA,NA
"Thermoanaerobaculaceae",1,1,NA,"February","February",NA,3.70698576882621,"February","**"
"Chromatiaceae",NA,2,NA,NA,"February",NA,3.73524070664181,"February","*"
"Intrasporangiaceae",NA,1,1,NA,"September","September",3.74726821210868,"September","**"
"Pseudoalteromonadaceae",NA,2,NA,NA,"February",NA,NA,NA,NA
"Acidimicrobiaceae",1,NA,NA,"September",NA,NA,NA,NA,NA
"Devosiaceae",1,NA,NA,"September",NA,NA,NA,NA,NA
"Halomicrobiaceae",1,NA,NA,"September",NA,NA,NA,NA,NA
"Marinobacteraceae",1,NA,NA,"September",NA,NA,NA,NA,NA
"Phormidiaceae",1,NA,NA,"February",NA,NA,NA,NA,NA
"Phycisphaeraceae",1,NA,NA,"February",NA,NA,NA,NA,NA
"Spongiibacteraceae",1,NA,NA,"September",NA,NA,NA,NA,NA
"KI89A_clade",NA,1,NA,NA,"February",NA,NA,NA,NA
"Marinifilaceae",NA,1,NA,NA,"February",NA,NA,NA,NA
"Pseudohongiellaceae",NA,1,NA,NA,"February",NA,3.34793004836758,"February","*"
