"Family","metagenomeSeq_n_sig","DESeq2_n_sig","ANCOM-BC2_n_sig","metagenomeSeq_site_enriched","DESeq2_site_enriched","ANCOM-BC2_site_enriched","LEfSe_LDA","LEfSe_enriched","LEfSe_sig"
"Paracoccaceae",59,61,2,"ColaDeBallena","EsteroZacatecas","ColaDeBallena",NA,NA,NA
"Cyclobacteriaceae",36,45,2,"EsteroZacatecas","EsteroZacatecas","EsteroZacatecas",4.32143738394671,"EsteroZacatecas","***"
"Flavobacteriaceae",38,43,2,"EsteroZacatecas","EsteroZacatecas","ColaDeBallena",NA,NA,NA
"Saprospiraceae",28,42,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Sphingomonadaceae",30,31,1,"ColaDeBallena","ColaDeBallena","EsteroZacatecas",NA,NA,NA
"Rhodothermaceae",24,34,2,"ColaDeBallena","EsteroZacatecas","EsteroZacatecas",NA,NA,NA
"Nitriliruptoraceae",13,15,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Rhizobiaceae",12,14,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Xenococcaceae",11,14,NA,"EsteroZacatecas","EsteroZacatecas",NA,3.72398117693881,"EsteroZacatecas","*"
"Ilumatobacteraceae",11,13,NA,"ColaDeBallena","EsteroZacatecas",NA,NA,NA,NA
"Nocardioidaceae",10,11,NA,"ColaDeBallena","ColaDeBallena",NA,4.18215675994134,"ColaDeBallena","***"
"Nostocaceae",10,11,NA,"EsteroZacatecas","EsteroZacatecas",NA,4.62675769667808,"EsteroZacatecas","***"
"Woeseiaceae",7,11,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Sandaracinaceae",7,10,NA,"ColaDeBallena","ColaDeBallena",NA,4.0900708672032,"ColaDeBallena","**"
"Prolixibacteraceae",6,8,NA,"ColaDeBallena","ColaDeBallena",NA,3.78965792607261,"ColaDeBallena","**"
"Neomegalonemataceae",8,5,NA,"EsteroZacatecas","EsteroZacatecas",NA,3.68591159117547,"EsteroZacatecas","**"
