"","Comparison","Taxa","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","Significance","Method"
"1","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566",847.62346797369,3.16087692419317,0.614779579342726,5.14148002048561,2.72582643612263e-07,4.31176181713943e-06,"***","DESeq formula: season+site"
"2","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441",395.980010602273,1.61517947775712,0.35970002116254,4.49035135593516,7.11057826113361e-06,8.73346318190999e-05,"***","DESeq formula: season+site"
"3","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845",553.902921198056,-0.993575589754159,0.573623758538104,-1.73210327320876,0.0832551765193838,0.178477216193505,"","DESeq formula: season+site"
"4","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325",321.009795839194,-0.4081469903476,1.02240408237664,-0.399203208773224,0.689743479083317,0.783560600830232,"","DESeq formula: season+site"
"5","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535",334.9592356777,0.157911742731631,0.466976321228689,0.33815792268897,0.735244182771551,0.817728887312038,"","DESeq formula: season+site"
"6","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535",826.864660432734,-9.05173165935056,2.1239838330264,-4.26167634546117,2.02899153527972e-05,0.000227770662670111,"***","DESeq formula: season+site"
"7","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823",246.213611165972,3.77521038219334,0.984287472617737,3.83547539435108,0.000125321653051683,0.00112789487746515,"**","DESeq formula: season+site"
"8","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82",183.622342519246,2.67416520179369,0.588467741577045,4.5442851202466,5.5122005033331e-06,7.10461398207377e-05,"***","DESeq formula: season+site"
"9","September - February","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417",184.703146695184,2.5964401569126,0.768263642746732,3.37962128160807,0.000725857739847439,0.00541282486000519,"**","DESeq formula: season+site"
"10","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541",205.242607931908,0.0435214934739432,0.905326011148839,0.048072730638453,0.961658278869008,0.978529476743903,"","DESeq formula: season+site"
"11","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7012",198.712082315569,-1.23316075746816,0.749282711849076,-1.64578834926669,0.0998073418011072,0.199997821190702,"","DESeq formula: season+site"
"12","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_13670",483.652334072137,-28.6172951111757,2.05729178592753,-13.9101780831121,5.49424821814863e-44,1.91199837991573e-41,"***","DESeq formula: season+site"
"13","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_7541",142.11409273669,4.44400740173303,1.20818089573253,3.6782632612632,0.00023482751248703,0.00194571367489254,"**","DESeq formula: season+site"
"14","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_14091",181.239552567031,-0.748357501101039,0.89177673172417,-0.839175854761492,0.40137063448679,0.54208401345952,"","DESeq formula: season+site"
"15","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_13236",169.454545321436,-0.0407751380244695,0.619152766990716,-0.0658563446670035,0.947492196998721,0.971361481606101,"","DESeq formula: season+site"
"16","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_6338",144.340349328657,6.60961191754785,1.49385973655089,4.42451975632497,9.66570586149592e-06,0.000114670419538656,"***","DESeq formula: season+site"
"17","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas|s__|ASV_10664",104.139004925551,4.55082569502207,0.939066743558936,4.84611528012914,1.2590237653493e-06,1.82558445975649e-05,"***","DESeq formula: season+site"
"18","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_4439",215.110556191416,-1.79151147490211,0.875963951324744,-2.04518858589187,0.0408362693490969,0.109596568638707,"","DESeq formula: season+site"
"19","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_15946",123.563050466718,5.07090500772201,0.94521602267223,5.36481067405735,8.10341711348681e-08,1.30153345638157e-06,"***","DESeq formula: season+site"
"20","September - February","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_7782",93.5117407661629,0.724581208110829,0.451924671339307,1.60332297407771,0.108863366853678,0.2124067132677,"","DESeq formula: season+site"
"21","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides|s__|ASV_5509",119.601222156072,1.13005993419112,1.38155957581355,0.817959611713213,0.413380249661085,0.552585122466291,"","DESeq formula: season+site"
"22","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_10676",113.230454269253,2.23470954937921,0.990190004675237,2.25684922977197,0.0240174973703717,0.0790986348727699,"","DESeq formula: season+site"
"23","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Lewinella|s__|ASV_12828",97.4848250490174,2.60342342593388,1.1326704418466,2.29848270931261,0.0215343308775238,0.072756768401731,"","DESeq formula: season+site"
"24","September - February","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_16064",72.3742765710336,1.12735971072757,0.948295223647004,1.18882778549902,0.234507441790189,0.368713507874936,"","DESeq formula: season+site"
"25","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_10841",101.705306661212,3.93457540224979,1.04362529360757,3.77010352887183,0.00016317984177739,0.00141966462346329,"**","DESeq formula: season+site"
"26","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Qipengyuania|s__|ASV_3585",165.638741948104,-3.29387686322876,1.25122217266057,-2.63252756800555,0.00847521446149952,0.0368671829075229,"*","DESeq formula: season+site"
"27","September - February","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__Marinobacter|s__|ASV_13594",103.785189935394,1.77138403779681,0.603884811857957,2.93331443847186,0.00335364056501933,0.0180474265457741,"*","DESeq formula: season+site"
"28","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__|s__|ASV_4049",100.928999918464,-0.537460855063682,1.19740600412284,-0.448854317761166,0.653536752057156,0.755953145383528,"","DESeq formula: season+site"
"29","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomicrobium|s__|ASV_14934",158.592999255564,-4.28239515593668,1.13110815527385,-3.78601739892846,0.000153080960914832,0.00136595318970158,"**","DESeq formula: season+site"
"30","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_659",102.160152179652,1.75135149011478,0.701676204222307,2.49595394510473,0.0125618909887803,0.0491184052145566,"*","DESeq formula: season+site"
"31","September - February","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__|s__|ASV_2086",81.8214948972171,2.4761818273735,0.617627160746542,4.00918545159263,6.09285534323295e-05,0.00060580390269859,"***","DESeq formula: season+site"
"32","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_8981",198.859947693552,-30,2.00725634394879,-14.9457741610532,1.6595132605291e-50,1.73253184399238e-47,"***","DESeq formula: season+site"
"33","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_9614",74.4236400748041,1.68636769324861,0.950936989531913,1.7733747996055,0.0761666219352605,0.167054523740361,"","DESeq formula: season+site"
"34","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_15365",85.9896032686543,5.66232863890699,1.43838589294573,3.93658521449406,8.26492803052881e-05,0.000777349987736223,"***","DESeq formula: season+site"
"35","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__|s__|ASV_9068",79.8514781721758,0.643805890057312,0.867304290185253,0.742306820504481,0.457901460350607,0.596815386524386,"","DESeq formula: season+site"
"36","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Hoppeia|s__|ASV_11816",94.6594455214077,-1.68455103174248,1.31424856589029,-1.28175984015729,0.199926906061663,0.326641142297929,"","DESeq formula: season+site"
"37","September - February","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_4057",82.6951415317207,2.94745386214619,0.675684742776339,4.36217317862665,1.28776869975082e-05,0.000151059609274141,"***","DESeq formula: season+site"
"38","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_5775",94.292467264206,0.974745062562353,0.972412589956654,1.00239864500911,0.316151096298191,0.457149230658326,"","DESeq formula: season+site"
"39","September - February","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_12448",140.660160383313,-2.14589649058711,1.71010273372259,-1.25483484019459,0.209538722102376,0.339160350193613,"","DESeq formula: season+site"
"40","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_3202",81.78207897473,4.16000539334135,1.34057502153744,3.10315001138126,0.00191472558678274,0.0119699012730609,"*","DESeq formula: season+site"
"41","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_6146",88.1564038965582,5.54991329633113,1.63203170775602,3.40061609707451,0.000672341787339308,0.00508641178247998,"**","DESeq formula: season+site"
"42","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_14489",87.8787234689884,2.70225874119049,1.058845590015,2.55208008294412,0.0107081902621098,0.0441871566547141,"*","DESeq formula: season+site"
"43","September - February","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__|s__|ASV_1096",119.890362374374,-0.856901336669532,0.998696212537232,-0.858020012404509,0.390881412985543,0.532047190556593,"","DESeq formula: season+site"
"44","September - February","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Sufflavibacter|s__|ASV_4707",82.1384622288725,-0.285628721091979,0.998413922736033,-0.286082469993255,0.774814957627294,0.852378098801786,"","DESeq formula: season+site"
"45","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter|s__|ASV_6948",94.4007492316412,-0.936223271115298,0.425033143601972,-2.20270650702957,0.0276154413447228,0.086838917963526,"","DESeq formula: season+site"
"46","September - February","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Palleronia-Pseudomaribius|s__|ASV_10594",76.2014850127718,8.31186855738026,1.12510628810385,7.38762963576382,1.49469380946868e-13,3.71538175496502e-12,"***","DESeq formula: season+site"
