"","Taxa","Factors","lfc","se","W","p","P.adj","diff","passed_ss","Significance","Method"
"1","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",-0.484085114523089,0.376575547804489,-1.28549269156057,0.213306575385445,1,FALSE,TRUE,"","ancombc2_formula"
"2","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","seasonSeptember",2.78711263739578,0.400317995379239,6.96224668779984,9.29602544952943e-07,0.00115828477101137,TRUE,FALSE,"**","ancombc2_formula"
"3","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","siteEsteroZacatecas",-1.53819862078373,0.395691506086282,-3.88736830870542,0.00091538964098681,1,FALSE,FALSE,"","ancombc2_formula"
"4","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","(Intercept)",-0.484085114523089,0.376575547804489,-1.28549269156057,0.213306575385445,1,FALSE,TRUE,"","ancombc2_formula"
"5","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","seasonSeptember",2.78711263739578,0.400317995379239,6.96224668779984,9.29602544952943e-07,0.00115828477101137,FALSE,FALSE,"**","ancombc2_formula"
"6","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","siteEsteroZacatecas",-1.53819862078373,0.395691506086282,-3.88736830870542,0.00091538964098681,1,FALSE,FALSE,"","ancombc2_formula"
"7","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",0.0111183549012376,0.285123570343807,0.038994864184083,0.969262824363575,1,FALSE,TRUE,"","ancombc2_formula"
"8","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","seasonSeptember",1.88333161772184,0.318886874351591,5.90595527505268,7.31690435588473e-06,0.00906564449694118,TRUE,FALSE,"**","ancombc2_formula"
"9","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","siteEsteroZacatecas",-1.43651603764926,0.314078503602604,-4.57374835008399,0.000164894769197349,0.20150140795916,FALSE,FALSE,"","ancombc2_formula"
"10","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","(Intercept)",0.0111183549012376,0.285123570343807,0.038994864184083,0.969262824363575,1,FALSE,TRUE,"","ancombc2_formula"
"11","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","seasonSeptember",1.88333161772184,0.318886874351591,5.90595527505268,7.31690435588473e-06,0.00906564449694118,FALSE,FALSE,"**","ancombc2_formula"
"12","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","siteEsteroZacatecas",-1.43651603764926,0.314078503602604,-4.57374835008399,0.000164894769197349,0.20150140795916,FALSE,FALSE,"","ancombc2_formula"
"13","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","(Intercept)",0.0634420503778299,0.250676044113987,0.253083818208738,0.802664459126661,1,FALSE,TRUE,"","ancombc2_formula"
"14","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","seasonSeptember",0.162416185469293,0.321643043141399,0.504957868458834,0.618846620104068,1,FALSE,TRUE,"","ancombc2_formula"
"15","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","siteEsteroZacatecas",0.179752003650104,0.316841389149721,0.567324881804388,0.576508618522486,1,FALSE,TRUE,"","ancombc2_formula"
"16","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","(Intercept)",0.0634420503778299,0.250676044113987,0.253083818208738,0.802664459126661,1,FALSE,TRUE,"","ancombc2_formula"
"17","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","seasonSeptember",0.162416185469293,0.321643043141399,0.504957868458834,0.618846620104068,1,FALSE,TRUE,"","ancombc2_formula"
"18","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","siteEsteroZacatecas",0.179752003650104,0.316841389149721,0.567324881804388,0.576508618522486,1,FALSE,TRUE,"","ancombc2_formula"
