"","Taxa","Factors","baseMean","log2FoldChange","lfcSE","stat","P.unadj","P.adj","reject","df","Significance","Method"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__|s__|ASV_3566","seasonSeptember",23849.3276447973,5.96595803956195,0.684093057681537,8.72097439459656,2.00966731972752e-08,1.35591424883783e-06,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Fulvimarina|s__|ASV_6441","seasonSeptember",27868.021934195,4.14750596900076,0.406018641949122,10.2150629071866,1.33302744400186e-09,2.56322134232358e-07,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_10845","seasonSeptember",47611.9467698735,1.69022013988523,0.357386296336724,4.72939269695089,0.000113823358877375,0.00093418439663992,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_8325","seasonSeptember",61.8027281472665,2.14330564353569,0.740046943412658,2.89617525295359,0.00863920972574902,0.0287120402243412,TRUE,21,"*","linda formula: season+site"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_6535","seasonSeptember",12764.9997133601,2.92495660376884,0.414230134660481,7.06118739083588,5.73332774920892e-07,1.71490203343005e-05,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116|s__|ASV_7535","seasonSeptember",287.035635433707,-2.28766921469968,1.32508134442246,-1.72643681410878,0.0989526409229868,0.200587732955332,FALSE,21,"","linda formula: season+site"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae|g__|s__|ASV_1823","seasonSeptember",2013.84400701518,7.19247903353375,1.14277417805086,6.29387605327362,3.05397132919991e-06,6.32406986015859e-05,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae|g__|s__|ASV_82","seasonSeptember",6450.45220699817,5.23345111877833,0.639788606505853,8.17996923602679,5.75418271420799e-08,2.76611783332998e-06,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae|g__Rubrobacter|s__|ASV_4417","seasonSeptember",3030.8523232647,5.34903802945279,0.962630089537127,5.55669107748837,1.63057617298145e-05,0.000231026897771899,TRUE,21,"***","linda formula: season+site"
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_2541","seasonSeptember",4419.19151336109,3.0446710870635,1.15217416292507,2.64254414396334,0.0152250722243041,0.0452382940704489,TRUE,21,"*","linda formula: season+site"
